business_name,mobile_number,coaching_type,rating,reviews,website,short_address,district,taluka,city,maps_link
Aarav Engineering Classes,,"Computer Classes, Tuition",5.0,32,,"Pipeline Rd, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/aarav engineering classes/data=!4m7!3m6!1s0x3bdcbb1dec96334f:0x298ccf89246954e5!8m2!3d19.1277564!4d74.7478718!16s/g/11j1pmv3b8!19sChIJTzOW7B273DsR5VRpJInPjCk
Abacus Classes,,"Banking, Tuition, Abacus, Mathematics",5.0,1,,"Bhingar, Ahmadnagar",Ahmednagar,,,https://www.google.com/maps/place/Abacus Classes/data=!4m7!3m6!1s0x3bdcb10007e92419:0x69e8b9454cec99e4!8m2!3d19.0964947!4d74.7697802!16s/g/11y5_1h7m4!19sChIJGSTpBwCx3DsR5JnsTEW56Gk
Academy,,UPSC,5.0,28,,"Ahmednagar, Bhingar",Ahmednagar,,,https://www.google.com/maps/place/Academy/data=!4m7!3m6!1s0x3bdcafec893904bb:0xeecd2a24a5c34130!8m2!3d19.0927175!4d74.7814724!16s/g/11sqndc11w!19sChIJuwQ5ieyv3DsRMEHDpSQqze4
Accountancy Classes,,"NEET, Tuition",5.0,96,,"Nandanvan Nagar, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Accountancy Classes/data=!4m7!3m6!1s0x3bdcbb62205f7743:0xc9be8594e10a8286!8m2!3d19.1329077!4d74.7283659!16s/g/11f7stt8qm!19sChIJQ3dfIGK73DsRhoIK4ZSFvsk
Ahuja Classes,9850063399,Tuition,5.0,184,,"Ahmednagar, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/AHUJA CLASSES/data=!4m7!3m6!1s0x3bdcb1e5b91abbbd:0x59cf8524edade33!8m2!3d19.1119137!4d74.7275522!16s/g/11f61fjy7j!19sChIJvbsaueWx3DsRM97aTlL4nAU
Aims Aryabhatt Institute Of Mathematics & Sciences,8446723960,"Tuition, Mathematics",5.0,24,,"Savedi, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/AIMS Aryabhatt Institute of Mathematics & Sciences/data=!4m7!3m6!1s0x3bdcbbbc47d97d27:0xd7b57adbf782f081!8m2!3d19.1204319!4d74.7313898!16s/g/11jfcwqc01!19sChIJJ33ZR7y73DsRgfCC99t6tdc
Ambition Science NEET Academy,9067795407,NEET,5.0,1,,"Savedi, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/ambition SCIENCE NEET ACADEMY/data=!4m7!3m6!1s0x3bdcba7db60f8e3d:0xeb79055817362c65!8m2!3d19.1203914!4d74.7311846!16s/g/11l6tlyvyh!19sChIJPY4Ptn263DsRZSw2F1gFees
Apprize Tutorials,9923136446,"Commerce Classes, Tuition",5.0,1,,"Nalegaon, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/AppriZe Tutorials/data=!4m7!3m6!1s0x3bdcb174638f9d27:0x5c5eed08f1ceb74!8m2!3d19.0967755!4d74.7373284!16s/g/11r5syfybk!19sChIJJ52PY3Sx3DsRdOscj9DuxQU
Artech Point Institute Of Professional Studies,,"Aptitude, Tuition",5.0,11,,"Tarakpur, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Artech Point Institute of Professional Studies/data=!4m7!3m6!1s0x3bdcb1bc34fa1fb1:0xbd43878b215cdb8b!8m2!3d19.1024561!4d74.7417341!16s/g/11x82yk2l6!19sChIJsR_6NLyx3DsRi9tcIYuHQ70
Asha Computer Typing Institute,9225730429,"Computer Classes, Tuition",5.0,1,,"Savedi, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Asha Computer Typing Institute/data=!4m7!3m6!1s0x3bdcba7e7c000001:0xb696b432a57c1f72!8m2!3d19.1192096!4d74.7316867!16s/g/11c2prnhlt!19sChIJAQAAfH663DsRch98pTK0lrY
