Lead Score,Priority,Class Name,Category,Rating,Reviews,Mobile,WhatsApp,Website,Address,Taluka,District,Google Maps Name Link,Reason Why Good Client
70,HIGH PRIORITY,CA Vision Academy Best CA CS CMA Live All Level Coaching Ahilyanagar,"Commerce Classes, CA, Tuition",5.0,161,9404911581,9404911581,https://cavisionacademy.com,"Tarakpur, Ahmednagar",,Ahmednagar,https://www.google.com/maps/place/CA Vision Academy BEST CA CS CMA LIVE ALL LEVEL COACHING AHILYANAGAR/data=!4m7!3m6!1s0x3bdcb1fac41dd6a9:0x65aec976a8e85ba4!8m2!3d19.1020665!4d74.7385213!16s/g/11vyq3kl9z!19sChIJqdYdxPqx3DsRpFvoqHbJrmU,strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Inspire Abacus & Vedic Math Academy,"Tuition, Mathematics, Abacus, Vedic Maths",5.0,108,9881837277,9881837277,http://inspireabacus.com,"Iwale Nagar, Ahmednagar",,Ahmednagar,https://www.google.com/maps/place/Inspire Abacus & Vedic Math Academy/data=!4m7!3m6!1s0x3bdcb15fc3d6c31f:0xf0cfeb52da3bd5f2!8m2!3d19.0766794!4d74.7483221!16s/g/11t88s_jh7!19sChIJH8PWw1-x3DsR8tU72lLrz_A,strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Sayu Softtech Software Solution & Corporate Training,"Computer Classes, Tuition",5.0,356,8459002270,8459002270,http://sayusofttech.com,"Savedi, Ahmednagar",,Ahmednagar,https://www.google.com/maps/place/Sayu Softtech Software Solution & Corporate Training/data=!4m7!3m6!1s0x3bdcbb2113d94731:0x280756c8278fd06a!8m2!3d19.1253428!4d74.7484907!16s/g/11sx0gdrwq!19sChIJMUfZEyG73DsRatCPJ8hWByg,strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Todmal Commerce Academy,"Commerce Classes, Tuition",5.0,323,9960098090,9960098090,http://todmalsacademy.com,"Oppo. Ashirwad Chiwada, Ahmednagar",,Ahmednagar,https://www.google.com/maps/place/TODMAL COMMERCE ACADEMY/data=!4m7!3m6!1s0x3bdcb08a1d6c47dd:0xbe2533b1aeb1b19c!8m2!3d19.0956179!4d74.7328733!16s/g/11c5g8v242!19sChIJ3UdsHYqw3DsRnLGxrrEzJb4,strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,A2z It Hub Pvt. Ltd.,"Computer Classes, Tuition",4.9,344,9011144920,9011144920,http://a2zithub.org,"Bagade Mala, Ahmednagar",,Ahmednagar,https://www.google.com/maps/place/A2Z IT HUB PVT. LTD./data=!4m7!3m6!1s0x3bdcb17ca9d749e5:0x516744f9b2f35ec9!8m2!3d19.1053687!4d74.7303281!16s/g/11fqkx4vh6!19sChIJ5UnXqXyx3DsRyV7zsvlEZ1E,strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Asus Exclusive Store,"Computer Classes, Tuition",4.9,2142,8037016502,8037016502,https://shopnearme.asus.com,"Savedi, Ahmednagar",,Ahmednagar,https://www.google.com/maps/place/ASUS Exclusive Store - Inspire Computers/data=!4m7!3m6!1s0x3bdcbbb5b60b1eb5:0xeaba26049eff374b!8m2!3d19.1149101!4d74.7302958!16s/g/11nlgg1g8y!19sChIJtR4LtrW73DsRSzf_ngQmuuo,strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Disha Computer Institute,"Computer Classes, Tuition",4.9,250,9921174240,9921174240,http://dishagroup.in,"Pipeline Rd, Ahmednagar",,Ahmednagar,https://www.google.com/maps/place/DISHA COMPUTER INSTITUTE - BHISTBAG CHOWK PIPELINE ROAD SAVEDI AHILYANAGAR/data=!4m7!3m6!1s0x3bdcba626b6587c1:0x9373ff0942821df1!8m2!3d19.1290214!4d74.7325642!16s/g/11gdyvszrq!19sChIJwYdla2K63DsR8R2CQgn_c5M,strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Disha Computer Institute Ahmednagar Best Computer Institute For Tally Graphic Design Coding C Programming Near Old Stand,"Computer Classes, Tuition",4.9,577,9371151769,9371151769,http://dishagroup.in,"Maliwada, Ahmednagar",,Ahmednagar,"https://www.google.com/maps/place/DISHA COMPUTER INSTITUTE AHMEDNAGAR BEST COMPUTER INSTITUTE FOR TALLY, Graphic Design, Coding, C Programming Near Old Stand/data=!4m7!3m6!1s0x3bdcb1eabf3fca07:0xd26b843ff5d3a94f!8m2!3d19.0866579!4d74.7375521!16s/g/11h7kvvll9!19sChIJB8o_v-qx3DsRT6nT9T-Ea9I",strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
80,HIGH PRIORITY,Hi Tech Computer Education Mkcl Authorize Center,"Computer Classes, Tuition",4.9,192,8007521808,8007521808,https://g.page,"Savedi, Ahmednagar",,Ahmednagar,https://www.google.com/maps/place/Hi-Tech Computer Education- MKCL Authorize center/data=!4m7!3m6!1s0x3bdcbb45c7e2a4df:0x99170870b428a5ee!8m2!3d19.128727!4d74.7373334!16s/g/11h1knp9h2!19sChIJ36Tix0W73DsR7qUotHAIF5k,strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match; possible multiple branches
70,HIGH PRIORITY,Kd's Classes Ahilyanagar,"CET, Tuition",4.9,438,9511677064,9511677064,http://kdsclass.com,"Savedi, Ahmednagar",,Ahmednagar,"https://www.google.com/maps/place/KD's Classes, Ahilyanagar/data=!4m7!3m6!1s0x3bdcba85f781f58d:0x3addc1c9387a7f10!8m2!3d19.1170543!4d74.7358786!16s/g/11m_vyv03r!19sChIJjfWB94W63DsREH96OMnB3To",strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Success Science Academy,"IIT JEE, NEET, CET, Tuition, Science",4.9,505,8830002899,8830002899,https://successscienceacademy.com,"Savedi, Ahmednagar",,Ahmednagar,https://www.google.com/maps/place/Success Science Academy NEET JEE MHT-CET Classes/data=!4m7!3m6!1s0x3bdcbbac31d4779d:0x7447213f587c2f28!8m2!3d19.123545!4d74.7304099!16s/g/11q1lg0drf!19sChIJnXfUMay73DsRKC98WD8hR3Q,strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
