business_name,mobile_number,coaching_type,rating,reviews,website,short_address,district,taluka,city,maps_link
Abc Science Academy,,"NEET, Science",5.0,2,https://abcscienceacademy.blogspot.com,"Sudke Mala, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/ABC Science Academy/data=!4m7!3m6!1s0x3bdcb1ec62567715:0xe7e2e6cb9be1ca0f!8m2!3d19.1012967!4d74.7311502!16s/g/11xgnv3ljk!19sChIJFXdWYuyx3DsRD8rhm8vm4uc
Ada Abacus Center Achievers Destination Academy,7722077861,"Tuition, Abacus",5.0,1,http://adaminischool.com,"Govindpura, Ahmednagar",Ahmednagar,Akot,,https://www.google.com/maps/place/ADA Abacus Center- Achievers Destination Academy/data=!4m7!3m6!1s0x3bdcb15267be6261:0x4af73b0cb77ad9e9!8m2!3d19.1063885!4d74.7501658!16s/g/11s4szqbf8!19sChIJYWK-Z1Kx3DsR6dl6tww790o
Amol Sayambar's Master Mind Academy,9960933377,UPSC,5.0,99,https://amold.on-app.in,"Nepti Suburban, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Amol Sayambar's Master Mind Academy/data=!4m7!3m6!1s0x3bdcb14dd77ecfd5:0x8d78b9b1cd954067!8m2!3d19.1012417!4d74.7312111!16s/g/11j933s7t_!19sChIJ1c9-102x3DsRZ0CVzbG5eI0
Arrow Computer Academy,8788335443,"Computer Classes, Tuition",5.0,87,http://arrow.com,"Chanakya Chowk, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Arrow Computer Academy/data=!4m7!3m6!1s0x3bdcb1b2de9a521b:0xe71de7f51f422bc8!8m2!3d19.081092!4d74.7402305!16s/g/11frdszjy7!19sChIJG1Ka3rKx3DsRyCtCH_XnHec
Ask Share Market Classes Ahmednagar,9823299557,"Banking, Tuition",5.0,1,https://diy.sharekhan.com,"13, Savedi Naka Rd",Ahmednagar,,,https://www.google.com/maps/place/ASK SHARE MARKET CLASSES AHMEDNAGAR/data=!4m7!3m6!1s0x3bdcbb167bde94a5:0x3571a54a4a28fed2!8m2!3d19.1253253!4d74.7268718!16s/g/11k2blqsf4!19sChIJpZTeexa73DsR0v4oSkqlcTU
Bihani Classes,7887881202,"SSC, Tuition",5.0,8,https://shikshamarg108.com,"Beside Idbi Bank, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Bihani Classes/data=!4m7!3m6!1s0x3bdcba79a93a000d:0x10c8cfa33382634e!8m2!3d19.0968106!4d74.7324706!16s/g/11f3fd5zc5!19sChIJDQA6qXm63DsRTmOCM6PPyBA
Bts Coaching Center Bridge To Success,7020727471,NEET,5.0,63,https://spage.in,"Surya Nagar, Burhanagar",Ahmednagar,,,https://www.google.com/maps/place/BTS Coaching center (BRIDGE TO SUCCESS)/data=!4m7!3m6!1s0x3bdcbb188500f7a1:0x1916a95eb98de75f!8m2!3d19.1388343!4d74.7557919!16s/g/11xnctml92!19sChIJofcAhRi73DsRX-eNuV6pFhk
CA Vision Academy Best CA CS CMA Live All Level Coaching Ahilyanagar,9404911581,"Commerce Classes, CA, Tuition",5.0,161,https://cavisionacademy.com,"Tarakpur, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/CA Vision Academy BEST CA CS CMA LIVE ALL LEVEL COACHING AHILYANAGAR/data=!4m7!3m6!1s0x3bdcb1fac41dd6a9:0x65aec976a8e85ba4!8m2!3d19.1020665!4d74.7385213!16s/g/11vyq3kl9z!19sChIJqdYdxPqx3DsRpFvoqHbJrmU
Chaures Krishna Computer Typing Institute,,"SSC, Computer Classes",5.0,4,https://instagram.com,"Bhistabag, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Chaures Krishna Computer Typing Institute/data=!4m7!3m6!1s0x3bdcbb088016f3a7:0xfecbe2290749b01!8m2!3d19.1312385!4d74.7448345!16s/g/11k3wr16jy!19sChIJp_MWgAi73DsRAZt0kCK-7A8
Guru Computers,9922939493,"SSC, Computer Classes",5.0,21,https://scnsplatform.blogspot.com,"Ahmednagar, Nagapur",Ahmednagar,,,https://www.google.com/maps/place/Guru Computers/data=!4m7!3m6!1s0x3bdcbb80907b9aef:0x93b324ab3398ba28!8m2!3d19.1630549!4d74.7046217!16s/g/11n9bp4mw9!19sChIJ75p7kIC73DsRKLqYM6sks5M
