business_name,mobile_number,coaching_type,rating,reviews,website,short_address,district,taluka,city,maps_link
A Coaching Classes .....,,Tuition,5.0,10,,"Ranpise Nagar, Akola",Akola,,,https://www.google.com/maps/place/A coaching classes ...../data=!4m7!3m6!1s0x3bd72e1d4f43667d:0xd6ddbc5991c3bd13!8m2!3d20.7058213!4d77.0113913!16s/g/11fyx9rsy6!19sChIJfWZDTx0u1zsRE73DkVm83dY
Abacus & Vedic Maths Academy,,"Mathematics, Abacus, Vedic Maths",5.0,1,,"Siddhivinayak Nagar, Amravati",Akola,Akot,,https://www.google.com/maps/place/Abacus & Vedic Maths Academy/data=!4m7!3m6!1s0x3bd6a36c55d4926f:0xb9e2a9c9cd9b4a48!8m2!3d20.956901!4d77.7652119!16s/g/11gm8hxq69!19sChIJb5LUVWyj1jsRSEqbzcmp4rk
Agrawal Commerce Academy Akola,9960220131,"Commerce Classes, Tuition",5.0,2,,"Kapila Nagar, Akola",Akola,,,https://www.google.com/maps/place/Agrawal Commerce Academy Akola/data=!4m7!3m6!1s0x3bd731b144c5b105:0xdf15053c4bcccefa!8m2!3d20.6918363!4d77.0172483!16s/g/11j3x4h_8q!19sChIJBbHFRLEx1zsR-s7MSzwFFd8
Akola Coaching Classes,9834427915,"Banking, Tuition",5.0,1,,"Kaulkhed, Akola",Akola,Barshitakli,,https://www.google.com/maps/place/Akola Coaching Classes/data=!4m7!3m6!1s0x3bd72d1e2b1efd93:0x88f35ce062e3e008!8m2!3d20.675979!4d77.015749!16s/g/11y1h5w56w!19sChIJk_0eKx4t1zsRCODjYuBc84g
Akola Defence Academy,,Defence,5.0,2,,"Ramdaspeth, Akola",Akola,,,https://www.google.com/maps/place/Akola Defence Academy/data=!4m7!3m6!1s0x3bd73168d521f403:0x89a07f6d2e4358cf!8m2!3d20.7189184!4d77.0065269!16s/g/11q84l6vhr!19sChIJA_Qh1Wgx1zsRz1hDLm1_oIk
Ameen Classes,7021610412,"IIT JEE, Tuition",5.0,28,,"Bhawani Peth, Akola",Akola,,,https://www.google.com/maps/place/Ameen Classes/data=!4m7!3m6!1s0x3bd731a431b6db0f:0xf0c5d29617aa569b!8m2!3d20.7164101!4d76.9975511!16s/g/11rqx2j3sf!19sChIJD9u2MaQx1zsRm1aqF5bSxfA
Aski Kids Pre School,8658217317,Kids Learning,5.0,4,,"Keshavraj Vetaal, Akot",Akola,Akot,,https://www.google.com/maps/place/Aski Kids Pre School/data=!4m7!3m6!1s0x3bd71b181617efb7:0xeca20e4e9180cf93!8m2!3d21.0934821!4d77.0626015!16s/g/11q8gdbhln!19sChIJt-8XFhgb1zsRk8-AkU4Oouw
Atkare Coaching Classes,,Tuition,5.0,1,,"Saraswati Nagar, Akot",Akola,Akot,,https://www.google.com/maps/place/Atkare coaching classes/data=!4m7!3m6!1s0x3bd71b001afabf0d:0xa71cca579254cc7a!8m2!3d21.0868222!4d77.0592397!16s/g/11whjm0yft!19sChIJDb_6GgAb1zsResxUklfKHKc
Awake Institute Of Skill Development,,"Spoken English, Tuition, English Academy",5.0,47,,"Renuka Nagar, Akola",Akola,,,https://www.google.com/maps/place/AWAKE INSTITUTE OF SKILL DEVELOPMENT/data=!4m7!3m6!1s0x3bd72f158bb23a65:0x78ce19ac67719fee!8m2!3d20.7086127!4d76.9816739!16s/g/11sd8q22kv!19sChIJZTqyixUv1zsR7p9xZ6wZzng
Bhagvati Computer Akot,9730126913,"Computer Classes, Tuition",5.0,1,,"Pawar Colony, Akot",Akola,Akot,,"https://www.google.com/maps/place/Bhagvati Computer, Akot/data=!4m7!3m6!1s0x3bd71b79b1eb3437:0x23f6bed0384353c7!8m2!3d21.0941624!4d77.0544573!16s/g/11rs07vdjy!19sChIJNzTrsXkb1zsRx1NDONC-9iM"
Blossom Kids,,Kids Learning,5.0,7,,"Mq5f 5ch, Balapur",Akola,Balapur,,"https://www.google.com/maps/place/Blossom Kids/@20.6579353,76.7710263,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd74bceac17f5ef:0xeb9ef938ec70beb0!8m2!3d20.6579303!4d76.7736012!16s/g/11f3tprws7"
Chetan Sir's Calculus Academy,9022282656,Tuition,5.0,70,,"Tapadia Nagar, Akola",Akola,,,https://www.google.com/maps/place/Chetan Sir's Calculus Academy/data=!4m7!3m6!1s0x3bd73150e1d40289:0x81935041d2773079!8m2!3d20.7171997!4d77.0091522!16s/g/11v_5gmwvx!19sChIJiQLU4VAx1zsReTB30kFQk4E
Chevron The English World The Institute Of Child & Human Development,9922840832,"Spoken English, Tuition, English Academy",5.0,13,,"Ranpise Nagar, Akola",Akola,,,https://www.google.com/maps/place/Chevron The English World The Institute Of Child & Human Development/data=!4m7!3m6!1s0x3bd72fcb958baab5:0x63c8bf3444d1cbe5!8m2!3d20.706653!4d77.0142177!16s/g/11rtzb2wtx!19sChIJtaqLlcsv1zsR5cvRRDS_yGM
Commerce Classes,6367923120,"Commerce Classes, Tuition",5.0,45,,"Shivane, Pune",Akola,Balapur,,https://www.google.com/maps/place/Commerce classes/data=!4m7!3m6!1s0x3bc295007e1de9c5:0xee483b0efaa0dfb5!8m2!3d18.4660241!4d73.791074!16s/g/11yhdfpjvk!19sChIJxekdfgCVwjsRtd-g-g47SO4
Darul Uloom Akola Mh Global English School,,English Academy,5.0,5,,"Sukoda Fata, Akola",Akola,Akot,,https://www.google.com/maps/place/DARUL ULOOM AKOLA MH GLOBAL English School/data=!4m7!3m6!1s0x3bd731cb77ffa83b:0x5b5318a6888ab695!8m2!3d20.7410341!4d77.0065001!16s/g/11v0pgk7p2!19sChIJO6j_d8sx1zsRlbaKiKYYU1s
Divya Maam's Chemia Coaching Classes,9325515878,Tuition,5.0,108,,"Ranpise Nagar, Akola",Akola,,,https://www.google.com/maps/place/DIVYA MAAM'S CHEMIA COACHING CLASSES/data=!4m7!3m6!1s0x3bd7311916f8de35:0x9eca3695c6a76717!8m2!3d20.7058415!4d77.0114264!16s/g/11q2rrt002!19sChIJNd74Fhkx1zsRF2enxpU2yp4
Dynamic Coaching Classes,9765244367,"IIT JEE, Tuition",5.0,9,,"Bhawani Peth, Akola",Akola,,,https://www.google.com/maps/place/Dynamic Coaching Classes/data=!4m7!3m6!1s0x3bd7314e739a41dd:0xcf35ee1bc46205c7!8m2!3d20.7192391!4d76.9983106!16s/g/11kpxsprjw!19sChIJ3UGac04x1zsRxwVixBvuNc8
Experts Proactive Abacus & Vedic Maths,,"Tuition, Mathematics, Abacus, Vedic Maths",5.0,7,,"Ranpise Nagar, Akola",Akola,,,https://www.google.com/maps/place/Experts Proactive Abacus & Vedic Maths/data=!4m7!3m6!1s0x3bd72f5f1bc5432d:0xf18547ff42b42fba!8m2!3d20.7092746!4d77.0180084!16s/g/11vt0vps56!19sChIJLUPFG18v1zsRui-0Qv9HhfE
Gurumauli Coaching Classes,,"Commerce Classes, Tuition",5.0,8,,"Hrgx 9wr, Shiv Chowk",Akola,Balapur,,https://www.google.com/maps/place/GURUMAULI COACHING CLASSES/data=!4m7!3m6!1s0x3bd0cbab8318aa2b:0x7a0207beb6b3d599!8m2!3d20.5759919!4d76.8497569!16s/g/11nwwx97x7!19sChIJK6oYg6vL0DsRmdWztr4HAno
Hplus Academy,9518799058,IIT JEE,5.0,19,,"Milk Dairy Rd, Akola",Akola,,,https://www.google.com/maps/place/HPlus Academy/data=!4m7!3m6!1s0x3bd72f52d7465e0f:0xc72d2b7d5ea6deac!8m2!3d20.7006726!4d77.0144482!16s/g/11fjqjv821!19sChIJD15G11Iv1zsRrN6mXn0rLcc
Ignite Coaching Classes,,Tuition,5.0,1,,"Mothi Umri, Akola",Akola,,,https://www.google.com/maps/place/Ignite coaching classes/data=!4m7!3m6!1s0x3bd72fb7830ed9bf:0xb70cbd09a557e188!8m2!3d20.7170771!4d77.0331525!16s/g/11kbnkk821!19sChIJv9kOg7cv1zsRiOFXpQm9DLc
Infinity Coaching Classes Akola,,"NEET, Tuition",5.0,11,,"Ranpise Nagar, Akola",Akola,,,"https://www.google.com/maps/place/Infinity Coaching Classes, Akola/data=!4m7!3m6!1s0x3bd72f30e0017631:0x40b503a24985409f!8m2!3d20.7115489!4d77.0136856!16s/g/11tc1vsdyc!19sChIJMXYB4DAv1zsRn0CFSaIDtUA"
Magic Mind,9021037627,"Mathematics, Abacus, Vedic Maths",5.0,1,,"Dahigaon Gawande, Akola",Akola,,,https://www.google.com/maps/place/Magic Mind - Abacus & Vedic Maths Teacher and kids Training Institute/data=!4m7!3m6!1s0x3bd731002732a24b:0x8e690a53bb69d5fc!8m2!3d20.6956835!4d76.9944476!16s/g/11w7tykgx8!19sChIJS6IyJwAx1zsR_NVpu1MKaY4
Mathematics Coaching Classes,,"CS, Tuition, Mathematics",5.0,1,,"Old City, Akola",Akola,Balapur,,https://www.google.com/maps/place/MATHEMATICS COACHING CLASSES/data=!4m7!3m6!1s0x3bd731706a2cdc31:0x2fd0451879c1ac49!8m2!3d20.7018912!4d76.9822364!16s/g/11g1lxnt8n!19sChIJMdwsanAx1zsRSazBeRhF0C8
Mercy Coaching And English Speaking Classes,9011355996,"Spoken English, Tuition, English Academy",5.0,10,,"Keshavraj Vetaal, Akot",Akola,Akot,,https://www.google.com/maps/place/Mercy coaching and English speaking classes/data=!4m7!3m6!1s0x3bd71b5e2cdf899d:0x61664b8a9e0e2ad7!8m2!3d21.094463!4d77.0605804!16s/g/11qydkgpdg!19sChIJnYnfLF4b1zsR1yoOnopLZmE
Mind Spark Abacus Academy,,"Tuition, Abacus",5.0,5,,"Gajanan Nagar, Akola",Akola,Akola,,https://www.google.com/maps/place/Mind Spark- Abacus Academy/data=!4m7!3m6!1s0x3bd731e8ac2b7f47:0x4342295f5aae88ff!8m2!3d20.7138977!4d76.9768648!16s/g/11xmhkh1hj!19sChIJR38rrOgx1zsR_4iuWl8pQkM
Nerkar Commerce Classes,9021693805,"Commerce Classes, Tuition",5.0,22,,"Vhb Colony, Akola",Akola,,,https://www.google.com/maps/place/Nerkar Commerce Classes/data=!4m7!3m6!1s0x3bd731d3264b34d9:0x472baa1e031387f8!8m2!3d20.7071281!4d77.0093685!16s/g/11h55yqpxn!19sChIJ2TRLJtMx1zsR-IcTAx6qK0c
Paramount Academy Akola,,English Academy,5.0,4,,"New Radhakisan Plots, Akola",Akola,,,"https://www.google.com/maps/place/Paramount Academy, Akola/data=!4m7!3m6!1s0x3bd72dc0c41211e7:0xef8a5865829b2539!8m2!3d20.7057839!4d77.005815!16s/g/11lgwdz_g5!19sChIJ5xESxMAt1zsROSWbgmVYiu8"
Rise,7373061111,Tuition,5.0,52,,"Kirti Nagar, Akola",Akola,,,https://www.google.com/maps/place/RISE - Rathi Institute of Science Education/data=!4m7!3m6!1s0x3bd72f36cb3a17a7:0x48e791fc7f313eb7!8m2!3d20.6995446!4d77.0135605!16s/g/11v5x_c_rp!19sChIJpxc6yzYv1zsRtz4xf_yR50g
Rising Super Abacus Academy,9921834797,"Tuition, Abacus",5.0,2,,"Sbi Colony, Shegaon",Akola,Balapur,,https://www.google.com/maps/place/Rising Super Abacus Academy/data=!4m7!3m6!1s0x3bd745a0e6bc072f:0x26b014f784c268fe!8m2!3d20.7887743!4d76.683566!16s/g/11vz53th1q!19sChIJLwe85qBF1zsR_mjChPcUsCY
Rkc & Associates Llp Chartered Accountants,9423152538,CA,5.0,16,,"Kirti Nagar, Akola",Akola,Akot,,"https://www.google.com/maps/place/RKC & Associates LLP, Chartered Accountants/data=!4m7!3m6!1s0x3bd7319fed5d0fb5:0x39c14c02169caec4!8m2!3d20.6967633!4d77.0118667!16s/g/11fnh6bf5x!19sChIJtQ9d7Z8x1zsRxK6cFgJMwTk"
S & K Academy,,Tuition,5.0,10,,"Jatharpeth Rd, Akola",Akola,,,https://www.google.com/maps/place/S & K Academy/data=!4m7!3m6!1s0x3bd7312f59b6ec93:0x3e2c611aed85ce4d!8m2!3d20.714441!4d77.0094858!16s/g/11x8gp22nt!19sChIJk-y2WS8x1zsRTc6F7RphLD4
Sawarkar Computer Typing Institute,7020470210,"Computer Classes, Tuition",5.0,2,,"Gaulipura, Akot",Akola,Akot,,https://www.google.com/maps/place/SAWARKAR COMPUTER TYPING INSTITUTE/data=!4m7!3m6!1s0x3bd71b5ae8e800c5:0x85e9113ce9301d83!8m2!3d21.0965457!4d77.0565026!16s/g/11smnw77tq!19sChIJxQDo6Fob1zsRgx0w6TwR6YU
Scholar's Commerce And Science Academy Akola,7276429064,"Commerce Classes, Science",5.0,1,,"Mominpura, Akola",Akola,,,https://www.google.com/maps/place/Scholar's Commerce and Science Academy Akola/data=!4m7!3m6!1s0x3bd73101da1245b5:0xa1d1bcb022148f5a!8m2!3d20.7151668!4d76.9980958!16s/g/11m9qbymt7!19sChIJtUUS2gEx1zsRWo8UIrC80aE
Shrikant Lande Sir's NEET JEE CET Coaching Classes,,"IIT JEE, NEET, CET, Tuition",5.0,3,,"Shastri Nagar, Akola",Akola,,,https://www.google.com/maps/place/SHRIKANT LANDE SIR'S NEET/JEE/CET COACHING CLASSES/data=!4m7!3m6!1s0x3bd72f004fb45d57:0xac397abba5542c20!8m2!3d20.7044671!4d77.0152002!16s/g/11wbvj81wj!19sChIJV120TwAv1zsRICxUpbt6Oaw
Software Square Academy,7020514095,"Computer Classes, Tuition",5.0,173,,"Ranpise Nagar, Akola",Akola,,,https://www.google.com/maps/place/Software Square Academy/data=!4m7!3m6!1s0x3bd72f7c3a30e2f7:0xfc797b93ac73b3b!8m2!3d20.7067233!4d77.0140217!16s/g/11fkwcq8m1!19sChIJ9-IwOnwv1zsROzvHOrmXxw8
Special Coaching Classes,,Tuition,5.0,62,,"Dwarka Nagri, Akola",Akola,,,https://www.google.com/maps/place/Special Coaching Classes/data=!4m7!3m6!1s0x3bd72fd1fbac362b:0x108466ef91511131!8m2!3d20.7031787!4d77.0159866!16s/g/11j0jg8lw6!19sChIJKzas-9Ev1zsRMRFRke9mhBA
Success Coaching Classes,,"CS, Tuition",5.0,7,,"J2pv Vgj, Kanheri",Akola,Balapur,,https://www.google.com/maps/place/Success coaching classes/data=!4m7!3m6!1s0x3bd72de035af3653:0x49b34b369d2999f4!8m2!3d20.6372125!4d77.0437656!16s/g/11vbgf4mxw!19sChIJUzavNeAt1zsR9JkpnTZLs0k
Success Proactive Abacus,8177921821,"Tuition, Abacus",5.0,1,,"In Front Of Shani Mandir, Shegaon",Akola,Balapur,,https://www.google.com/maps/place/SUCCESS PROACTIVE ABACUS 🧮/data=!4m7!3m6!1s0x3bd7456fcf0eb7ad:0x40fbed6bcdb9f58d!8m2!3d20.7927973!4d76.6958917!16s/g/11vwz4ydwq!19sChIJrbcOz29F1zsRjfW5zWvt-0A
Surani Coaching Classes,9561556522,"Aptitude, Tuition",5.0,4,,"Pr98 P3g, Paras",Akola,Balapur,,https://www.google.com/maps/place/SURANI Coaching Classes/data=!4m7!3m6!1s0x3bd749d1f7dbd007:0x5f2deda6aae0cc5a!8m2!3d20.7193068!4d76.8152173!16s/g/11c6__vhty!19sChIJB9Db99FJ1zsRWszgqqbtLV8
Suyash Coaching Classes Hiwarkhed,9422352172,Tuition,5.0,1,,"Hiwarkhed, Akot",Akola,Akot,,https://www.google.com/maps/place/Suyash coaching classes Hiwarkhed/data=!4m7!3m6!1s0x3bd71b2919b4a4cd:0xc910af3234524b32!8m2!3d21.0984375!4d77.0638125!16s/g/11kxggvzpn!19sChIJzaS0GSkb1zsRMktSNDKvEMk
Swapnil Sir S Academy Shegaon,7821095369,Science,5.0,66,,Shegaon,Akola,Balapur,,https://www.google.com/maps/place/SWAPNIL SIR’S ACADEMY SHEGAON/data=!4m7!3m6!1s0x3bd74500644984c5:0x108287c4db3912b4!8m2!3d20.7928754!4d76.6915105!16s/g/11vwdl_rm3!19sChIJxYRJZABF1zsRtBI528SHghA
Taha Coaching Classes,,Tuition,5.0,1,,"Jafrabad, Akola",Akola,Akot,,https://www.google.com/maps/place/Taha coaching classes/data=!4m7!3m6!1s0x3bd73100306b57a5:0x5e37b1871a2ba2c4!8m2!3d20.7357349!4d77.0014358!16s/g/11lck4xv94!19sChIJpVdrMAAx1zsRxKIrGoexN14
The Photon Academy,8263058401,IIT JEE,5.0,3,,"Shastri Nagar, Akola",Akola,,,https://www.google.com/maps/place/The Photon Academy/data=!4m7!3m6!1s0x3bd72f5424241493:0xe2f821e34a19bfc3!8m2!3d20.7071201!4d77.0166567!16s/g/11zkvwvjhx!19sChIJkxQkJFQv1zsRw78ZSuMh-OI
