Lead Score,Priority,Class Name,Category,Rating,Reviews,Mobile,WhatsApp,Website,Address,Taluka,District,Google Maps Name Link,Reason Why Good Client
70,HIGH PRIORITY,Chanakya Career Academy,"SSC, Police Bharti, Army",5.0,204,8563838383,8563838383,http://chanakyacareeracademy.co.in,"Aurangabad, Chhatrapati Sambhajinagar",Balapur,Akola,"https://www.google.com/maps/place/Chanakya Career Academy - Best Police Bharti Academy, Army Bharti Academy, , Staff Selection, Navy Air Force, BSF, CRPF, Forest Training Center, Police, Army Training center in Pune, Aurangabad, Maharashtra/data=!4m7!3m6!1s0x3bdb97523704b869:0xab1de8b4da09446b!8m2!3d19.9115183!4d75.3193822!16s/g/11qg3d_6np!19sChIJabgEN1KX2zsRa0QJ2rToHas",strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Decent Computer Academy,"Computer Classes, Tuition",5.0,654,9404135057,9404135057,http://decentacademy.in,"Sindhi Colony, Akola",,Akola,https://www.google.com/maps/place/Decent Computer Academy/data=!4m7!3m6!1s0x3bd731ff2e7c7f97:0xe5ffff38fd4cb995!8m2!3d20.6954837!4d77.0051275!16s/g/11h0n3jfp!19sChIJl398Lv8x1zsRlblM_Tj__-U,strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Defence Services Academy,"Defence, NDA",5.0,310,7798644422,7798644422,https://defenceservicesacademy.com,"Nandora, Shahapur",Balapur,Akola,https://www.google.com/maps/place/Defence Services Academy - Best Institute for NDA Coaching/data=!4m7!3m6!1s0x3a2b39a12a89981b:0xfee8c4f28c74435c!8m2!3d21.153247!4d79.5715302!16s/g/11byyfx3jl!19sChIJG5iJKqE5KzoRXEN0jPLE6P4,strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Bansal Classes,"IIT JEE, NEET, CET, Tuition",4.9,233,9371594360,9371594360,https://bansalclassesakola.com,"Anand Heights, Gorakshan Rd",,Akola,https://www.google.com/maps/place/Bansal Classes - IIT-JEE / NEET / MHT-CET Coaching/data=!4m7!3m6!1s0x3bd731006c9a51f1:0x394dc0b0f3423530!8m2!3d20.7004459!4d77.0077931!16s/g/11wm_rj03p!19sChIJ8VGabAAx1zsRMDVC87DATTk,strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Inspire English Academy,"Spoken English, Tuition, English Academy",4.9,319,8983337331,8983337331,http://inspireenglishacademy.com,"Shivaji Nagar, Akola",,Akola,https://www.google.com/maps/place/Inspire English Academy - Best Spoken English Class/data=!4m7!3m6!1s0x3bd7315ab6f1bdc9:0x4b4a64bb8af7fdc9!8m2!3d20.7085967!4d76.9917309!16s/g/11j3t0w_mv!19sChIJyb3xtlox1zsRyf33irtkSks,strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Nit Computer Institute,"Computer Classes, Tuition",4.9,409,7020058974,7020058974,https://mscit.mkcl.org,"Malkapur, Akola",,Akola,https://www.google.com/maps/place/NIT Computer Institute/data=!4m7!3m6!1s0x3bd72de90accbde5:0x2feb071662f14e1a!8m2!3d20.6802093!4d77.0300376!16s/g/11ckqmy3qk!19sChIJ5b3MCukt1zsRGk7xYhYH6y8,strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,P Byte Computer Education Pvt.ltd Mkcl Alc,"Computer Classes, Tuition",4.9,172,8275725605,8275725605,http://mscit.mkcl.org,"Akot, Akola",Akot,Akola,https://www.google.com/maps/place/P Byte Computer Education Pvt.Ltd MKCL ALC/data=!4m7!3m6!1s0x3bd731dcc0ab66f3:0x8357f30cec5169e5!8m2!3d20.7203665!4d76.9999678!16s/g/11gfn7t_5r!19sChIJ82arwNwx1zsR5WlR7AzzV4M,strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Chhatrapati Shivaji Maharaj Armed Forces Preparatory Institute Afpi Nagpur,Army,4.8,195,9922337601,9922337601,http://ndavision60.com,"Jhansi, Nagpur",Balapur,Akola,"https://www.google.com/maps/place/Chhatrapati Shivaji Maharaj Armed Forces Preparatory Institute, AFPI, Nagpur/data=!4m7!3m6!1s0x3bd4c092ccb941c3:0x801b33dec06d8aae!8m2!3d21.1396865!4d79.0777582!16s/g/11kk9sk7xq!19sChIJw0G5zJLA1DsRroptwN4zG4A",strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Soneji Coaching Classes Akola,Tuition,4.8,117,9860062631,9860062631,http://sonejicoachingclasses.com,"Tapadia Nagar, Akola",,Akola,"https://www.google.com/maps/place/Soneji Coaching Classes, Akola/data=!4m7!3m6!1s0x3bd72ff2506464eb:0x8869d93883cdeca7!8m2!3d20.7190354!4d77.0108728!16s/g/11h6wrr3fm!19sChIJ62RkUPIv1zsRp-zNgzjZaYg",strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Visionn CS Institute,CS,4.8,145,9849532076,9849532076,http://visionncs.blogspot.com,"Hyderabad, Telangana",Balapur,Akola,https://www.google.com/maps/place/Visionn CS Institute/data=!4m7!3m6!1s0x3bcb985871c13d53:0x4edcd6ea0a809777!8m2!3d17.3678025!4d78.5275658!16s/g/11fx7mwd55!19sChIJUz3BcViYyzsRd5eACurW3E4,strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
