business_name,mobile_number,coaching_type,rating,reviews,website,short_address,district,taluka,city,maps_link
Aaradhana Coaching Classes,7588502004,"IIT JEE, Tuition",5.0,1,https://aaradhanaclasses.vercel.app,"Kaulkhed, Akola",Akola,,,https://www.google.com/maps/place/Aaradhana coaching classes/data=!4m7!3m6!1s0x3bd72df71dc32b93:0x4ee5d1cc4fe0db9c!8m2!3d20.679144!4d77.014298!16s/g/11sckhdl7j!19sChIJkyvDHfct1zsRnNvgT8zR5U4
Best NDA Coaching Top Online Classes For Clat Exam Live Lectures Tara Institute,7219070365,"Defence, NDA, Tuition",5.0,1,http://tarainstitute.com,"Jafrabad, Akola",Akola,,,"https://www.google.com/maps/place/Best NDA Coaching, TOP Online classes for CLAT Exam, Live Lectures- Tara Institute/data=!4m7!3m6!1s0x3bd72f0d0c96dd7b:0xd663b9683dc452b3!8m2!3d20.7273885!4d76.9991053!16s/g/11q1q3_vhj!19sChIJe92WDA0v1zsRs1LEPWi5Y9Y"
Brds Akola,9512357598,"IIT JEE, Tuition",5.0,152,https://rathoredesign.com,"Ranpise Nagar, Akola",Akola,,,https://www.google.com/maps/place/BRDS Akola - NID NIFT UCEED & NATA Coaching Classes/data=!4m7!3m6!1s0x3bd72ff6b89aa647:0xf46f1cb5f03d9e53!8m2!3d20.7122232!4d77.0160735!16s/g/11l776ykn6!19sChIJR6aauPYv1zsRU5498LUcb_Q
Casarathi Mentorship And Test Series Program,9175893455,CA,5.0,25,https://casarathi.com,,Akola,,,https://www.google.com/maps/place/CASARATHI MENTORSHIP AND TEST SERIES PROGRAM/data=!4m7!3m6!1s0x3bd731848730c3cb:0xd532b3fa298649a4!8m2!3d20.711384!4d77.0087957!16s/g/11ycxz4p_0!19sChIJy8Mwh4Qx1zsRpEmGKfqzMtU
Chanakya Career Academy,8563838383,"SSC, Police Bharti, Army",5.0,204,http://chanakyacareeracademy.co.in,"Aurangabad, Chhatrapati Sambhajinagar",Akola,Balapur,,"https://www.google.com/maps/place/Chanakya Career Academy - Best Police Bharti Academy, Army Bharti Academy, , Staff Selection, Navy Air Force, BSF, CRPF, Forest Training Center, Police, Army Training center in Pune, Aurangabad, Maharashtra/data=!4m7!3m6!1s0x3bdb97523704b869:0xab1de8b4da09446b!8m2!3d19.9115183!4d75.3193822!16s/g/11qg3d_6np!19sChIJabgEN1KX2zsRa0QJ2rToHas"
Cuemath Online Tution Center,8296666111,"Tuition, Mathematics",5.0,3,https://cuemath.com,"Gokul Colony, Akot",Akola,Akot,,https://www.google.com/maps/place/Cuemath Online Tution Center/data=!4m7!3m6!1s0x3bd71be07d458d53:0xbc7f7727d358452b!8m2!3d21.08997!4d77.05051!16s/g/11j2rf95lf!19sChIJU41FfeAb1zsRK0VY0yd3f7w
Decent Computer Academy,9404135057,"Computer Classes, Tuition",5.0,654,http://decentacademy.in,"Sindhi Colony, Akola",Akola,,,https://www.google.com/maps/place/Decent Computer Academy/data=!4m7!3m6!1s0x3bd731ff2e7c7f97:0xe5ffff38fd4cb995!8m2!3d20.6954837!4d77.0051275!16s/g/11h0n3jfp!19sChIJl398Lv8x1zsRlblM_Tj__-U
Defence Services Academy,7798644422,"Defence, NDA",5.0,310,https://defenceservicesacademy.com,"Nandora, Shahapur",Akola,Balapur,,https://www.google.com/maps/place/Defence Services Academy - Best Institute for NDA Coaching/data=!4m7!3m6!1s0x3a2b39a12a89981b:0xfee8c4f28c74435c!8m2!3d21.153247!4d79.5715302!16s/g/11byyfx3jl!19sChIJG5iJKqE5KzoRXEN0jPLE6P4
Genius Abacus,,"Tuition, Abacus",5.0,4,http://geniusabacustraining.in,"Bhawani Peth, Akola",Akola,Akot,,https://www.google.com/maps/place/GENIUS ABACUS/data=!4m7!3m6!1s0x3bd731006b473447:0x173e562dd054934f!8m2!3d20.7203977!4d76.9989782!16s/g/11y4qlm031!19sChIJRzRHawAx1zsRT5NU0C1WPhc
Genius Abacus Center Akola,9552660110,"Tuition, Mathematics, Abacus",5.0,35,http://geniusabacustraining.in,"Jatharpeth, Akola",Akola,,,https://www.google.com/maps/place/Genius Abacus Center Akola/data=!4m7!3m6!1s0x3bd72f13f7cbd65d:0x7018e1cdb179a799!8m2!3d20.7194639!4d77.0165051!16s/g/11vm5xm4dq!19sChIJXdbL9xMv1zsRmad5sc3hGHA
