Lead Score,Priority,Class Name,Category,Rating,Reviews,Mobile,WhatsApp,Website,Address,Taluka,District,Google Maps Name Link,Reason Why Good Client
70,HIGH PRIORITY,Fulor Academy,"Tuition, Kids Learning",5.0,138,9372951606,9372951606,http://fulor.org,"Shilangan Rd, Amravati",,Amravati,https://www.google.com/maps/place/Fulor Academy/data=!4m7!3m6!1s0x3bd6a4b46a34771d:0xf978a2cab02223a!8m2!3d20.9170017!4d77.7489237!16s/g/1tdp_lg6!19sChIJHXc0arSk1jsROiICqyyKlw8,strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Rahul Pahlajani Coaching Classes,Tuition,5.0,297,8983622584,8983622584,https://rpcc.co.in,"Chatrapati Sahu Nagar, Amravati",,Amravati,https://www.google.com/maps/place/Rahul Pahlajani coaching classes/data=!4m7!3m6!1s0x3bd6a4b9e156c2cd:0x434f6f91d0000000!8m2!3d20.9175126!4d77.7569808!16s/g/11rdx35dh8!19sChIJzcJW4bmk1jsRAAAA0JFvT0M,strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Abhijeet Men Academy,"IIT JEE, Tuition",4.9,169,8275418855,8275418855,http://abhijeetmenacademy.in,"Rajapeth, Amravati",,Amravati,https://www.google.com/maps/place/Abhijeet Men Academy/data=!4m7!3m6!1s0x3bd6a4ba64e3079f:0x5d610b8a86e3d12e!8m2!3d20.9188975!4d77.7610106!16s/g/11g6_wlmby!19sChIJnwfjZLqk1jsRLtHjhooLYV0,strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Bhande Sir's Academy Bsa,Tuition,4.9,1212,9766577526,9766577526,https://youtube.com,"Gadge Nagar, Amravati",,Amravati,https://www.google.com/maps/place/BHANDE Sir's ACADEMY (BSA)/data=!4m7!3m6!1s0x3bd6a342bb318727:0x18d4bc5457d5b60e!8m2!3d20.9496858!4d77.7672707!16s/g/11d_2js4h9!19sChIJJ4cxu0Kj1jsRDrbVV1S81Bg,strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Daga Coaching Classes Sharda Nagar,Tuition,4.9,363,9421955173,9421955173,http://dagacoachingclasses.com,"Sharda Vihar, Amravati",,Amravati,"https://www.google.com/maps/place/DAGA COACHING CLASSES, Sharda Nagar/data=!4m7!3m6!1s0x3bd6a4b38ac282c5:0xab906e31735176e1!8m2!3d20.9166891!4d77.7481672!16s/g/11g6rjghqq!19sChIJxYLCirOk1jsR4XZRczFukKs",strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Oxford Spoken English Classes Radha Nagar Gadge Nagar Amravati,"Spoken English, Tuition, English Academy",4.9,664,9307105723,9307105723,https://youtube.com,"Gadge Nagar, Amravati",,Amravati,"https://www.google.com/maps/place/Oxford Spoken English Classes,Radha nagar (Gadge Nagar) Amravati)/data=!4m7!3m6!1s0x3bd6a3c3b6dbdc23:0x847372c2876e3488!8m2!3d20.9438532!4d77.769493!16s/g/11p7379qfv!19sChIJI9zbtsOj1jsRiDRuh8Jyc4Q",strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,We Trade Institute,Tuition,4.9,199,9004009159,9004009159,https://wetradeinstitute.com,"Bapu Colony, Amravati",,Amravati,https://www.google.com/maps/place/We Trade Institute - Stock Market Academy Share Market Classes/data=!4m7!3m6!1s0x3bd6bb4907b31389:0x337855e6f46c5dc6!8m2!3d20.9123001!4d77.7417576!16s/g/11tk31j4js!19sChIJiROzB0m71jsRxl1s9OZVeDM,strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Knowledge Hub Coaching Classes,Tuition,4.8,137,9096899166,9096899166,http://knowledgehubamt.org,"Paradise Colony, Amravati",,Amravati,https://www.google.com/maps/place/Knowledge Hub Coaching Classes/data=!4m7!3m6!1s0x3bd6bcb499bc98c3:0x8d32d07ced4c5993!8m2!3d20.9522616!4d77.7416168!16s/g/11c2p8_kt8!19sChIJw5i8mbS81jsRk1lM7XzQMo0,strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Rathi Career Forum Pvt Ltd,"Commerce Classes, Tuition",4.8,341,7057705715,7057705715,http://rcfamt.com,"Amrawati Tahsil, Amravati",,Amravati,https://www.google.com/maps/place/Rathi Career Forum Pvt Ltd/data=!4m7!3m6!1s0x3bd6a354000001c9:0xeeba8c3d4550d72c!8m2!3d20.9315486!4d77.7565036!16s/g/1pt_vc5z9!19sChIJyQEAAFSj1jsRLNdQRT2Muu4,strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Speakwell Spoken English Classes English And Personality Development Institute I Academy Government Approved Amravati,"Spoken English, Tuition, English Academy",4.8,208,7796876355,7796876355,https://spokenenglishamravati.com,"Gadge Nagar, Amravati",,Amravati,https://www.google.com/maps/place/Speakwell Spoken English Classes- English And Personality Development Institute I Academy Government Approved Amravati/data=!4m7!3m6!1s0x3bd4c1e5904b01cf:0x66cdda1aa7908884!8m2!3d20.9462816!4d77.764385!16s/g/11krh46kvc!19sChIJzwFLkOXB1DsRhIiQpxrazWY,strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Pranay Rathi Academy,CET,4.7,252,9730030686,9730030686,http://pracademy.co.in,"Amba Peth, Amravati",,Amravati,https://www.google.com/maps/place/Pranay Rathi Academy/data=!4m7!3m6!1s0x3bd6a4afbe25ad2d:0xd1427aba5cddd1c5!8m2!3d20.9262184!4d77.7545232!16s/g/11b7r4cb7s!19sChIJLa0lvq-k1jsRxdHdXLp6QtE,strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Chintamani Coaching Classes Science Academy Cbse Classes,"Tuition, Science",4.6,321,9422734930,9422734930,http://chintamanicoaching.com,"Wadali Naka, Amravati",,Amravati,https://www.google.com/maps/place/Chintamani Coaching Classes / Science Academy / CBSE Classes/data=!4m7!3m6!1s0x3bd6a4c6d238f549:0x75a4a8039ee85def!8m2!3d20.9110157!4d77.7607551!16s/g/1pyql4z7t!19sChIJSfU40sak1jsR713ongOopHU,strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Aakash Institute,"IIT JEE, NEET, Tuition",4.5,414,8800013065,8800013065,https://centers.aakash.ac.in,"Prabhat Chowk, Amravati",,Amravati,"https://www.google.com/maps/place/Aakash Institute - Best NEET & IIT-Jee Coaching in Amravati, Prabhat Chowk/data=!4m7!3m6!1s0x3bd6a4a3259b5c11:0x8adb677e9e190c6!8m2!3d20.9305163!4d77.7513459!16s/g/11r9f5pm6!19sChIJEVybJaOk1jsRxpDh6Xe2rQg",strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Bansal Classes Amravati Rajapeth,Tuition,4.5,323,9561067991,9561067991,https://bansal.ac.in,"Madhokar Peth, Amravati",,Amravati,https://www.google.com/maps/place/Bansal Classes Amravati (Rajapeth)/data=!4m7!3m6!1s0x3bd6a5212801e511:0xcc8ece14c31cddb1!8m2!3d20.9215818!4d77.7546987!16s/g/11j7d07fgc!19sChIJEeUBKCGl1jsRsd0cwxTOjsw,strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Agrawal's Professional Academy Apa,Tuition,5.0,80,9860792522,9860792522,,"Amba Peth, Amravati",,Amravati,https://www.google.com/maps/place/AGRAWAL'S PROFESSIONAL ACADEMY (APA)/data=!4m7!3m6!1s0x3bd6a5c0b01ca1a1:0xaef18533de78822d!8m2!3d20.9260264!4d77.7561281!16s/g/11t3vmcybn!19sChIJoaEcsMCl1jsRLYJ43jOF8a4,strong rating; no website; mobile/WhatsApp reachable; education keyword match
90,HIGH PRIORITY,Aniket Thakare Chemistry Classes,"IIT JEE, NEET, CET, Tuition, Science",5.0,270,9890911383,9890911383,,"Sharda Vihar, Amravati",,Amravati,https://www.google.com/maps/place/Aniket Thakare Chemistry Classes - Best JEE Coaching Classes In Amravati Best NEET Coaching Classes In Amravati MHT-CET/data=!4m7!3m6!1s0x3bd6a56b2da87eb3:0x5a99dc042310bda8!8m2!3d20.9169834!4d77.7516255!16s/g/11sswp5_gv!19sChIJs36oLWul1jsRqL0QIwTcmVo,strong rating; 100+ reviews; no website; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Creative Academy,Tuition,5.0,31,7350710712,7350710712,,"Panchavati, Amravati",,Amravati,https://www.google.com/maps/place/Creative Academy/data=!4m7!3m6!1s0x3bd6a35e944ff01d:0xb675d2904670b329!8m2!3d20.941351!4d77.764025!16s/g/11tjy87kbv!19sChIJHfBPlF6j1jsRKbNwRpDSdbY,strong rating; no website; mobile/WhatsApp reachable; education keyword match
80,HIGH PRIORITY,Global Spoken English & Personality Development,"Spoken English, Tuition",5.0,674,9637339536,9637339536,,"Transport Nagar, Amravati",,Amravati,https://www.google.com/maps/place/GLOBAL SPOKEN ENGLISH & PERSONALITY DEVELOPMENT/data=!4m7!3m6!1s0x3bd6bd9c9f941d3f:0xc5defe1b0fdbe936!8m2!3d20.9452371!4d77.7421277!16s/g/11hyvdktbd!19sChIJPx2Un5y91jsRNunbDxv-3sU,strong rating; 100+ reviews; no website; mobile/WhatsApp reachable
90,HIGH PRIORITY,Jayhari Shep Physics Classes,"Tuition, Science",5.0,251,8975738087,8975738087,,"Devankar Nagar, Amravati",,Amravati,https://www.google.com/maps/place/Jayhari Shep physics classes/data=!4m7!3m6!1s0x3bd6a51f272ccf17:0x8dd89a90a60a10de!8m2!3d20.9178433!4d77.7520711!16s/g/11h4qhv_gx!19sChIJF88sJx-l1jsR3hAKppCa2I0,strong rating; 100+ reviews; no website; mobile/WhatsApp reachable; education keyword match
80,HIGH PRIORITY,Nucleon Coaching Center,Tuition,5.0,31,8275288882,8275288882,,"Gadge Nagar, Amravati",,Amravati,https://www.google.com/maps/place/Nucleon Coaching Center/data=!4m7!3m6!1s0x3bd6a3e1d61ca88b:0x210ac3bfe14db829!8m2!3d20.9505985!4d77.7660941!16s/g/11xtglwq14!19sChIJi6gc1uGj1jsRKbhN4b_DCiE,strong rating; no website; mobile/WhatsApp reachable; education keyword match; possible multiple branches
70,HIGH PRIORITY,Range Sir Biology Classes,"NEET, CET, Tuition, Science",5.0,88,8149694591,8149694591,,"Sharda Vihar, Amravati",,Amravati,https://www.google.com/maps/place/Range Sir Biology Classes - Best Biology Classes In Amravati NEET Classes In Amravati CET Classes Amravati/data=!4m7!3m6!1s0x3bd6a54ff9ea3ba3:0x2e118e0f3e34ecf5!8m2!3d20.9178423!4d77.7520915!16s/g/11syw_r734!19sChIJozvq-U-l1jsR9ew0Pg-OES4,strong rating; no website; mobile/WhatsApp reachable; education keyword match
