business_name,mobile_number,coaching_type,rating,reviews,website,short_address,district,taluka,city,maps_link
Bharat Makhija's Coaching Classes,9359310990,Tuition,5.0,51,http://on-app.in,"Gadge Nagar, Amravati",Amravati,,,https://www.google.com/maps/place/Bharat Makhija's Coaching Classes/data=!4m7!3m6!1s0x3bd6a3430cb88b0f:0xcdc6597ed3668caf!8m2!3d20.950908!4d77.7637594!16s/g/11g9vpznkq!19sChIJD4u4DEOj1jsRr4xm035Zxs0
Fulor Academy,9372951606,"Tuition, Kids Learning",5.0,138,http://fulor.org,"Shilangan Rd, Amravati",Amravati,,,https://www.google.com/maps/place/Fulor Academy/data=!4m7!3m6!1s0x3bd6a4b46a34771d:0xf978a2cab02223a!8m2!3d20.9170017!4d77.7489237!16s/g/1tdp_lg6!19sChIJHXc0arSk1jsROiICqyyKlw8
Ibt Amravati,7977916313,Tuition,5.0,23,https://ibtindia.com,"Wadali Naka, Amravati",Amravati,,,https://www.google.com/maps/place/IBT Amravati/data=!4m7!3m6!1s0x3bd6a5b2fd8baafb:0x2a1c21f4bb49f5d!8m2!3d20.9183979!4d77.7677799!16s/g/11ys4mbhp1!19sChIJ-6qL_bKl1jsRXZ-0Sx_CoQI
Rahul Pahlajani Coaching Classes,8983622584,Tuition,5.0,297,https://rpcc.co.in,"Chatrapati Sahu Nagar, Amravati",Amravati,,,https://www.google.com/maps/place/Rahul Pahlajani coaching classes/data=!4m7!3m6!1s0x3bd6a4b9e156c2cd:0x434f6f91d0000000!8m2!3d20.9175126!4d77.7569808!16s/g/11rdx35dh8!19sChIJzcJW4bmk1jsRAAAA0JFvT0M
Ujwal Academy,9307457319,"Computer Classes, Tuition",5.0,43,http://ujwalacademy.org,"Vivekanand Colony, Amravati",Amravati,,,https://www.google.com/maps/place/Ujwal Academy/data=!4m7!3m6!1s0x3bd6a55db7272ba9:0xf07a97f288a78d9e!8m2!3d20.9271796!4d77.7676647!16s/g/11wp12ypph!19sChIJqSsnt12l1jsRno2niPKXevA
Unacademy Coaching Center Amravati IIT JEE NEET & Foundation Classes,,"IIT JEE, NEET, NDA, Tuition",5.0,1,https://unacademy.com,"Sharda Vihar, Amravati",Amravati,,,"https://www.google.com/maps/place/Unacademy Coaching Center Amravati IIT JEE, NEET & Foundation Classes/data=!4m7!3m6!1s0x3bd6a56500712021:0xd4a5eaa44e493b17!8m2!3d20.9162736!4d77.7533691!16s/g/11yp7_xkzz!19sChIJISBxAGWl1jsRFztJTqTqpdQ"
Abhijeet Men Academy,8275418855,"IIT JEE, Tuition",4.9,169,http://abhijeetmenacademy.in,"Rajapeth, Amravati",Amravati,,,https://www.google.com/maps/place/Abhijeet Men Academy/data=!4m7!3m6!1s0x3bd6a4ba64e3079f:0x5d610b8a86e3d12e!8m2!3d20.9188975!4d77.7610106!16s/g/11g6_wlmby!19sChIJnwfjZLqk1jsRLtHjhooLYV0
Academicstuff,8830627072,"Computer Classes, Tuition",4.9,34,https://academicstuff.co.in,"Jalandhar Cantt, Amravati",Amravati,,,https://www.google.com/maps/place/AcademicStuff/data=!4m7!3m6!1s0x3bd6a4a1786a8e3d:0xd60ce1168b5d965c!8m2!3d20.9131389!4d77.7661181!16s/g/11bw5v8jhh!19sChIJPY5qeKGk1jsRXJZdixbhDNY
Archi Learn,8983028111,Tuition,4.9,202,https://archilearn.in,"Patvipura, Amravati",Amravati,,,https://www.google.com/maps/place/Archi Learn/data=!4m7!3m6!1s0x3bd6a4b269eb5715:0xc2e5fcde5cf6fc8f!8m2!3d20.9226512!4d77.7490087!16s/g/11c6cjbtyk!19sChIJFVfrabKk1jsRj_z2XN785cI
Av360,8668973243,CET,4.9,256,https://av360.in,"Rajapeth, Amravati",Amravati,,,https://www.google.com/maps/place/AV360/data=!4m7!3m6!1s0x3bd6a3afc9402f3d:0xafde7ee3c5cd98e9!8m2!3d20.9201999!4d77.7541554!16s/g/11h8_fp2y4!19sChIJPS9Aya-j1jsR6ZjNxeN-3q8
Bhande Sir's Academy Bsa,9766577526,Tuition,4.9,1212,https://youtube.com,"Gadge Nagar, Amravati",Amravati,,,https://www.google.com/maps/place/BHANDE Sir's ACADEMY (BSA)/data=!4m7!3m6!1s0x3bd6a342bb318727:0x18d4bc5457d5b60e!8m2!3d20.9496858!4d77.7672707!16s/g/11d_2js4h9!19sChIJJ4cxu0Kj1jsRDrbVV1S81Bg
Daga Coaching Classes Sharda Nagar,9421955173,Tuition,4.9,363,http://dagacoachingclasses.com,"Sharda Vihar, Amravati",Amravati,,,"https://www.google.com/maps/place/DAGA COACHING CLASSES, Sharda Nagar/data=!4m7!3m6!1s0x3bd6a4b38ac282c5:0xab906e31735176e1!8m2!3d20.9166891!4d77.7481672!16s/g/11g6rjghqq!19sChIJxYLCirOk1jsR4XZRczFukKs"
