business_name,mobile_number,coaching_type,rating,reviews,website,short_address,district,taluka,city,maps_link
Apex Coaching Institute,9730463453,"SSC, Spoken English, Tuition, English Academy",5.0,5,,"Shahunagar, Beed",Beed,,,https://www.google.com/maps/place/APEX COACHING INSTITUTE/data=!4m7!3m6!1s0x3bc52b1ade192aa1:0x98dfd98b72d7720f!8m2!3d18.9923592!4d75.7499175!16s/g/11ll5m6212!19sChIJoSoZ3horxTsRD3LXcovZ35g
Dr.nahar's House Of Biology,9260676188,"Tuition, Science",5.0,6,,"Shriram Nagar, Beed",Beed,,,https://www.google.com/maps/place/Dr.Nahar's House Of Biology/data=!4m7!3m6!1s0x3bc52b24bc85f415:0xcb170d9db7b7c408!8m2!3d18.9931119!4d75.749487!16s/g/11tnj4f68k!19sChIJFfSFvCQrxTsRCMS3t50NF8s
Genius NEET IIT Foundation,9067481212,"IIT JEE, NEET, NDA",5.0,2,,"Datta Nagar, Beed",Beed,,,https://www.google.com/maps/place/GENIUS NEET-IIT FOUNDATION/data=!4m7!3m6!1s0x3bc52ae9124a4c1f:0xab394c9bd43121ea!8m2!3d18.9861214!4d75.7443508!16s/g/11fxwbf3dh!19sChIJH0xKEukqxTsR6iEx1JtMOas
Ghumare's Physics Classes,,"CET, Tuition, Science",5.0,5,,"Shahunagar, Beed",Beed,,,https://www.google.com/maps/place/Ghumare's Physics classes/data=!4m7!3m6!1s0x3bc52b8cca9474f9:0xdd840b8fbaa1ad39!8m2!3d18.9954486!4d75.7509094!16s/g/11z2vrxy84!19sChIJ-XSUyowrxTsROa2huo8LhN0
Kulkarni Education,9930434232,IIT JEE,5.0,4,,"Malives, Beed",Beed,,,https://www.google.com/maps/place/Kulkarni Education/data=!4m7!3m6!1s0x3bc52b5abd7371e1:0xe52dbf19db637046!8m2!3d18.9962995!4d75.7605995!16s/g/11j65jjz3d!19sChIJ4XFzvVorxTsRRnBj2xm_LeU
Prabhas Capital Stock Market Academy,7020521369,Tuition,5.0,28,,"Beed, Wasanwadi",Beed,,,https://www.google.com/maps/place/Prabhas Capital Stock Market Academy/data=!4m7!3m6!1s0x3bc52da0a56e7b47:0x8319ca17ef7c287f!8m2!3d19.0142688!4d75.747246!16s/g/11ssx6g5pq!19sChIJR3tupaAtxTsRfyh87xfKGYM
Reporter Physics Classes Beed,7350307209,"NEET, Tuition, Science",5.0,36,,"Shahunagar, Beed",Beed,,,"https://www.google.com/maps/place/Reporter Physics Classes,Beed/data=!4m7!3m6!1s0x3bc52b63b98d2f8d:0x8cdf95167bf20b15!8m2!3d18.9953938!4d75.7507601!16s/g/11x0c35q24!19sChIJjS-NuWMrxTsRFQvyexaV34w"
Umed Educations Beed,7020771919,UPSC,5.0,23,,Beed,Beed,,,https://www.google.com/maps/place/UMED Educations Beed/data=!4m7!3m6!1s0x3bc52b990ccf8b73:0x17857f1af5f0dc89!8m2!3d18.9886875!4d75.7525625!16s/g/11p747ykf6!19sChIJc4vPDJkrxTsRidzw9Rp_hRc
Vidyamandir Career Institute,8380000919,Tuition,5.0,68,,"Shahunagar, Beed",Beed,,,https://www.google.com/maps/place/VIDYAMANDIR Career Institute/data=!4m7!3m6!1s0x3bc52bcfc7348123:0x638a4402b08eb833!8m2!3d18.9963986!4d75.7501984!16s/g/11x8jp5ks9!19sChIJI4E0x88rxTsRM7iOsAJEimM
Guru Commerce Academy,8888236879,"Commerce Classes, Tuition",4.9,16,,"Sawata Nagar, Beed",Beed,,,https://www.google.com/maps/place/Guru Commerce Academy/data=!4m7!3m6!1s0x3bc52b23dc71c85f:0xab566f5e9e4c2b6c!8m2!3d18.9978668!4d75.7603896!16s/g/11fj6slc7n!19sChIJX8hx3CMrxTsRbCtMnl5vVqs
I,,UPSC,4.9,7,,Uttam Plaza Pandhari Road Ambika,Beed,,,https://www.google.com/maps/place/I - Can career Academy/data=!4m7!3m6!1s0x3bc52bd0b35bd587:0x255bd65502d6e02c!8m2!3d18.9987746!4d75.7473987!16s/g/11rn0bzbgf!19sChIJh9Vbs9ArxTsRLODWAlXWWyU
Lamb's Mathematics Classes,8482954799,"IIT JEE, CET, NDA, Tuition, Mathematics",4.9,73,,"Kranti Nagar, Beed",Beed,,,https://www.google.com/maps/place/Lamb's Mathematics Classes ( IIT JEE I MHTCET I FOUNDATION )/data=!4m7!3m6!1s0x3bc52b10eea25ccd:0x33dcf7072355d936!8m2!3d18.996286!4d75.749487!16s/g/11y9pvdby9!19sChIJzVyi7hArxTsRNtlVIwf33DM
Nath Computer Institute Beed,9881534999,"Computer Classes, Tuition",4.9,15,,"Datta Nagar, Beed",Beed,,,https://www.google.com/maps/place/Nath computer institute beed/data=!4m7!3m6!1s0x3bc52b6d61ed4cb1:0x314d59b09a44cff3!8m2!3d18.9853866!4d75.7472211!16s/g/11p062nx42!19sChIJsUztYW0rxTsR889EmrBZTTE
Sk.s Class,9545094647,Tuition,4.9,21,,"Sanskar Colony, Beed",Beed,,,https://www.google.com/maps/place/Sk.S Class/data=!4m7!3m6!1s0x3bc52ad3c04755bf:0x6ea3d1f7fcf82826!8m2!3d19.0069552!4d75.7532142!16s/g/11bxc5wgkb!19sChIJv1VHwNMqxTsRJij4_PfRo24
Biyani Digital Smart Coaching,8600555689,CET,4.6,102,,"Shivaji Maharaj Stadium, Beed",Beed,,,https://www.google.com/maps/place/Biyani Digital Smart Coaching/data=!4m7!3m6!1s0x3bc52ad905ff01fd:0xfd8b3a7f02523b2a!8m2!3d18.996515!4d75.756584!16s/g/11g6qdjjd2!19sChIJ_QH_BdkqxTsRKjtSAn86i_0
Jidnyasa Career Academy Beed.,,Tuition,4.6,46,,"Datta Nagar, Beed",Beed,,,https://www.google.com/maps/place/Jidnyasa Career Academy Beed./data=!4m7!3m6!1s0x3bc52ac3b07cb76b:0x1f811062c5de7341!8m2!3d18.9875112!4d75.7470059!16s/g/11ddxv2vj6!19sChIJa7d8sMMqxTsRQXPexWIQgR8
Med Excellence Classes,8999114847,"NEET, Tuition",4.6,11,,"Bir, Beed",Beed,,,https://www.google.com/maps/place/MED-EXCELLENCE CLASSES/data=!4m7!3m6!1s0x3bc52b913c3e3779:0x3f4618237525fcf5!8m2!3d18.9825417!4d75.7538304!16s/g/11q384sy83!19sChIJeTc-PJErxTsR9fwldSMYRj8
Bhagwan Typewriting Institute,,CET,4.5,2,,"Jawahar Colony, Beed",Beed,,,https://www.google.com/maps/place/Bhagwan Typewriting Institute/data=!4m7!3m6!1s0x3bc52bbd3e103027:0xcf37d18e7d2ed970!8m2!3d18.9944238!4d75.7456673!16s/g/11fq5cd03t!19sChIJJzAQPr0rxTsRcNkufY7RN88
Ghadge Classes Beed,9960931824,"UPSC, Tuition",4.5,14,,"Swaraj Nagar, Beed",Beed,,,https://www.google.com/maps/place/Ghadge Classes Beed/data=!4m7!3m6!1s0x3bc52b68178339eb:0x9a75a37d8d2cd7ce!8m2!3d18.9781863!4d75.756924!16s/g/11t25d0r7v!19sChIJ6zmDF2grxTsRztcsjX2jdZo
Yoddha Career Academy Beed,9862505050,SSC,4.5,15,,"Shriram Nagar, Beed",Beed,,,https://www.google.com/maps/place/YODDHA CAREER ACADEMY BEED/data=!4m7!3m6!1s0x3bc52b903ab49ae5:0x9b5353506f8febbf!8m2!3d18.9923049!4d75.7493377!16s/g/11pdvv3nph!19sChIJ5Zq0OpArxTsRv-uPb1BTU5s
Unique Academy,9176204466,"Tuition, Kids Learning",4.4,8,,"Kranti Nagar, Beed",Beed,,,https://www.google.com/maps/place/Unique Academy/data=!4m7!3m6!1s0x3bc52baef059baa1:0x15b57ac16cc8c6d1!8m2!3d18.9931466!4d75.7484618!16s/g/11h4v8wwzb!19sChIJobpZ8K4rxTsR0cbIbMF6tRU
Shraddha Coaching Classes,9404321915,"NEET, Tuition",4.3,23,,"Shriram Nagar, Beed",Beed,,,https://www.google.com/maps/place/Shraddha Coaching Classes/data=!4m7!3m6!1s0x3bc52adca6499c3b:0x4a7b7e3393dade40!8m2!3d18.9927727!4d75.7496059!16s/g/11c2pj14ms!19sChIJO5xJptwqxTsRQN7akzN-e0o
Vidhyaprabodhini Coaching Classes,,"MPSC, Tuition",4.3,12,,"Suhash Colony, Beed",Beed,,,https://www.google.com/maps/place/Vidhyaprabodhini Coaching Classes/data=!4m7!3m6!1s0x3bc52ac396ab1fd7:0x4b35e609dab1023f!8m2!3d18.9958119!4d75.7466835!16s/g/11g9ltmgf8!19sChIJ1x-rlsMqxTsRPwKx2gnmNUs
Universal Education Beed,,Tuition,4.2,5,,"Chowk, Beed",Beed,,,https://www.google.com/maps/place/UNIVERSAL EDUCATION BEED/data=!4m7!3m6!1s0x3bc52b5bfe6bd8d3:0x1d7fd0c882801bf1!8m2!3d18.9863971!4d75.7487994!16s/g/11lzh9ymtx!19sChIJ09hr_lsrxTsR8RuAgsjQfx0
Dr.tidke Classes,,"IIT JEE, Tuition",4.0,10,,"Kranti Nagar, Beed",Beed,,,https://www.google.com/maps/place/Dr.Tidke Classes/data=!4m7!3m6!1s0x3bc52bf4c9a0c7cd:0x97966282ed49cbb5!8m2!3d18.99627!4d75.7495331!16s/g/11t7dzrlk6!19sChIJzcegyfQrxTsRtctJ7YJilpc
Success Academy Beed.,9767581114,NEET,4.0,41,,"Vidhya Nagar W, Beed .",Beed,,,"https://www.google.com/maps/place/Success Academy, Beed./data=!4m7!3m6!1s0x3bc52add55bb07d1:0x412bf4629262f973!8m2!3d18.98725!4d75.7490158!16s/g/11b7vcfsw8!19sChIJ0Qe7Vd0qxTsRc_likmL0K0E"
Umakiran Complex,,IIT JEE,4.0,117,,"Kranti Nagar, Beed",Beed,,,https://www.google.com/maps/place/Umakiran Complex/data=!4m7!3m6!1s0x3bc52adb21dbba37:0xd9bc5e9655e4ad98!8m2!3d18.9956893!4d75.7502013!16s/g/126262hmv!19sChIJN7rbIdsqxTsRmK3kVZZevNk
Umakiran Shaikshanik Sankul.,9922362893,IIT JEE,3.9,50,,"Shahunagar, Beed",Beed,,,https://www.google.com/maps/place/Umakiran Shaikshanik Sankul./data=!4m7!3m6!1s0x3bc52adb21be7fa9:0x174bff5d5a12ccdf!8m2!3d18.9956449!4d75.7501777!16s/g/11dxmhh9cc!19sChIJqX--IdsqxTsR38wSWl3_Sxc
Aditya Education Group,,Tuition,3.7,54,,"Bir, Beed",Beed,,,https://www.google.com/maps/place/Aditya Education Group/data=!4m7!3m6!1s0x3bc52b3f7043cfbf:0x887837965b429c53!8m2!3d18.99311!4d75.781975!16s/g/1tfxf3yv!19sChIJv89DcD8rxTsRU5xCW5Y3eIg
Elite Academia Beed,9112910835,IIT JEE,,,,"Kranti Nagar, Beed",Beed,,,https://www.google.com/maps/place/Elite Academia beed/data=!4m7!3m6!1s0x3bc52bdfeb6290cb:0x2817f6eb076142bd!8m2!3d18.9965891!4d75.7492981!16s/g/11yg8p14h_!19sChIJy5Bi698rxTsRvUJhB-v2Fyg
MPSC Coaching,9689665611,MPSC,,,,"Nathapur, Beed",Beed,,,https://www.google.com/maps/place/Mpsc Coaching/data=!4m7!3m6!1s0x3bc52b564a6bcc23:0xcb4f4cd7ed6a4086!8m2!3d18.990088!4d75.7531324!16s/g/11rwkyv_7w!19sChIJI8xrSlYrxTsRhkBq7ddMT8s
Sankalp Coaching Classes& Abacus Centre Beed,9766574882,"CET, Tuition, Abacus",,,,"Sant Namdev Nagar, Beed",Beed,,,https://www.google.com/maps/place/Sankalp Coaching Classes& Abacus Centre Beed/data=!4m7!3m6!1s0x3bc52bd848c11309:0x708d782600f605df!8m2!3d18.9802368!4d75.7414721!16s/g/11y30_l72f!19sChIJCRPBSNgrxTsR3wX2ACZ4jXA
