Lead Score,Priority,Class Name,Category,Rating,Reviews,Mobile,WhatsApp,Website,Address,Taluka,District,Google Maps Name Link,Reason Why Good Client
70,HIGH PRIORITY,Rahnuma Coaching & Spoken English With Rahnuma Academy,"Spoken English, Tuition",4.9,133,9096666220,9096666220,http://rahnumaacademy.in,"Bir, Beed",,Beed,https://www.google.com/maps/place/Rahnuma Coaching & spoken English with Rahnuma academy/data=!4m7!3m6!1s0x3bc52ae3cdb57b2d:0xdfb5a53ad43928b0!8m2!3d18.9804008!4d75.757498!16s/g/11dymbf0mm!19sChIJLXu1zeMqxTsRsCg51Dqltd8,strong rating; 100+ reviews; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Apex Coaching Institute,"SSC, Spoken English, Tuition, English Academy",5.0,5,9730463453,9730463453,,"Shahunagar, Beed",,Beed,https://www.google.com/maps/place/APEX COACHING INSTITUTE/data=!4m7!3m6!1s0x3bc52b1ade192aa1:0x98dfd98b72d7720f!8m2!3d18.9923592!4d75.7499175!16s/g/11ll5m6212!19sChIJoSoZ3horxTsRD3LXcovZ35g,strong rating; no website; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Prabhas Capital Stock Market Academy,Tuition,5.0,28,7020521369,7020521369,,"Beed, Wasanwadi",,Beed,https://www.google.com/maps/place/Prabhas Capital Stock Market Academy/data=!4m7!3m6!1s0x3bc52da0a56e7b47:0x8319ca17ef7c287f!8m2!3d19.0142688!4d75.747246!16s/g/11ssx6g5pq!19sChIJR3tupaAtxTsRfyh87xfKGYM,strong rating; no website; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Reporter Physics Classes Beed,"NEET, Tuition, Science",5.0,36,7350307209,7350307209,,"Shahunagar, Beed",,Beed,"https://www.google.com/maps/place/Reporter Physics Classes,Beed/data=!4m7!3m6!1s0x3bc52b63b98d2f8d:0x8cdf95167bf20b15!8m2!3d18.9953938!4d75.7507601!16s/g/11x0c35q24!19sChIJjS-NuWMrxTsRFQvyexaV34w",strong rating; no website; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Vidyamandir Career Institute,Tuition,5.0,68,8380000919,8380000919,,"Shahunagar, Beed",,Beed,https://www.google.com/maps/place/VIDYAMANDIR Career Institute/data=!4m7!3m6!1s0x3bc52bcfc7348123:0x638a4402b08eb833!8m2!3d18.9963986!4d75.7501984!16s/g/11x8jp5ks9!19sChIJI4E0x88rxTsRM7iOsAJEimM,strong rating; no website; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Guru Commerce Academy,"Commerce Classes, Tuition",4.9,16,8888236879,8888236879,,"Sawata Nagar, Beed",,Beed,https://www.google.com/maps/place/Guru Commerce Academy/data=!4m7!3m6!1s0x3bc52b23dc71c85f:0xab566f5e9e4c2b6c!8m2!3d18.9978668!4d75.7603896!16s/g/11fj6slc7n!19sChIJX8hx3CMrxTsRbCtMnl5vVqs,strong rating; no website; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Lamb's Mathematics Classes,"IIT JEE, CET, NDA, Tuition, Mathematics",4.9,73,8482954799,8482954799,,"Kranti Nagar, Beed",,Beed,https://www.google.com/maps/place/Lamb's Mathematics Classes ( IIT JEE I MHTCET I FOUNDATION )/data=!4m7!3m6!1s0x3bc52b10eea25ccd:0x33dcf7072355d936!8m2!3d18.996286!4d75.749487!16s/g/11y9pvdby9!19sChIJzVyi7hArxTsRNtlVIwf33DM,strong rating; no website; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Nath Computer Institute Beed,"Computer Classes, Tuition",4.9,15,9881534999,9881534999,,"Datta Nagar, Beed",,Beed,https://www.google.com/maps/place/Nath computer institute beed/data=!4m7!3m6!1s0x3bc52b6d61ed4cb1:0x314d59b09a44cff3!8m2!3d18.9853866!4d75.7472211!16s/g/11p062nx42!19sChIJsUztYW0rxTsR889EmrBZTTE,strong rating; no website; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Sk.s Class,Tuition,4.9,21,9545094647,9545094647,,"Sanskar Colony, Beed",,Beed,https://www.google.com/maps/place/Sk.S Class/data=!4m7!3m6!1s0x3bc52ad3c04755bf:0x6ea3d1f7fcf82826!8m2!3d19.0069552!4d75.7532142!16s/g/11bxc5wgkb!19sChIJv1VHwNMqxTsRJij4_PfRo24,strong rating; no website; mobile/WhatsApp reachable; education keyword match
90,HIGH PRIORITY,Biyani Digital Smart Coaching,CET,4.6,102,8600555689,8600555689,,"Shivaji Maharaj Stadium, Beed",,Beed,https://www.google.com/maps/place/Biyani Digital Smart Coaching/data=!4m7!3m6!1s0x3bc52ad905ff01fd:0xfd8b3a7f02523b2a!8m2!3d18.996515!4d75.756584!16s/g/11g6qdjjd2!19sChIJ_QH_BdkqxTsRKjtSAn86i_0,strong rating; 100+ reviews; no website; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Med Excellence Classes,"NEET, Tuition",4.6,11,8999114847,8999114847,,"Bir, Beed",,Beed,https://www.google.com/maps/place/MED-EXCELLENCE CLASSES/data=!4m7!3m6!1s0x3bc52b913c3e3779:0x3f4618237525fcf5!8m2!3d18.9825417!4d75.7538304!16s/g/11q384sy83!19sChIJeTc-PJErxTsR9fwldSMYRj8,strong rating; no website; mobile/WhatsApp reachable; education keyword match
70,HIGH PRIORITY,Ghadge Classes Beed,"UPSC, Tuition",4.5,14,9960931824,9960931824,,"Swaraj Nagar, Beed",,Beed,https://www.google.com/maps/place/Ghadge Classes Beed/data=!4m7!3m6!1s0x3bc52b68178339eb:0x9a75a37d8d2cd7ce!8m2!3d18.9781863!4d75.756924!16s/g/11t25d0r7v!19sChIJ6zmDF2grxTsRztcsjX2jdZo,strong rating; no website; mobile/WhatsApp reachable; education keyword match
