business_name,mobile_number,coaching_type,rating,reviews,website,short_address,district,taluka,city,maps_link
Marathvada Abhyasika,,SSC,5.0,2,https://jsdl.in,"Kranti Nagar, Beed",Beed,,,https://www.google.com/maps/place/Marathvada Abhyasika/data=!4m7!3m6!1s0x3bc52b2f1e9d3ebf:0x492e1e964851bfe1!8m2!3d18.9969975!4d75.7485731!16s/g/11xp33_glj!19sChIJvz6dHi8rxTsR4b9RSJYeLkk
Ramanujan Academy Of Science And Technology,7979833607,NEET,5.0,3,https://rasta360.in,"Tirupati Colony, Beed",Beed,,,https://www.google.com/maps/place/RAMANUJAN ACADEMY OF SCIENCE AND TECHNOLOGY/data=!4m7!3m6!1s0x3bc52b232264ffbd:0x21d9f4cd93de6284!8m2!3d18.9977233!4d75.7479553!16s/g/11y9_6r6sd!19sChIJvf9kIiMrxTsRhGLek8302SE
Rahnuma Coaching & Spoken English With Rahnuma Academy,9096666220,"Spoken English, Tuition",4.9,133,http://rahnumaacademy.in,"Bir, Beed",Beed,,,https://www.google.com/maps/place/Rahnuma Coaching & spoken English with Rahnuma academy/data=!4m7!3m6!1s0x3bc52ae3cdb57b2d:0xdfb5a53ad43928b0!8m2!3d18.9804008!4d75.757498!16s/g/11dymbf0mm!19sChIJLXu1zeMqxTsRsCg51Dqltd8
Rai Education NEET JEE Foundation Classes In Beed,9852983333,"IIT JEE, NEET, NDA, Tuition",4.9,48,https://instagram.com,"Kranti Nagar, Beed",Beed,,,https://www.google.com/maps/place/Rai Education- NEET JEE FOUNDATION Classes in Beed/data=!4m7!3m6!1s0x4665d7b5f829a43f:0x20835edfb277ae1f!8m2!3d18.9937194!4d75.7508093!16s/g/11vz6hwy45!19sChIJP6Qp-LXXZUYRH653st9egyA
Shaheen Knowledge Academy,8265077177,NEET,4.9,31,https://shaheengroup.org,"Bir, Beed",Beed,,,https://www.google.com/maps/place/Shaheen Knowledge Academy/data=!4m7!3m6!1s0x3bc52b54f885ffbd:0xbbf2e84791d2fc76!8m2!3d18.9776614!4d75.7637394!16s/g/11jh7bzjv_!19sChIJvf-F-FQrxTsRdvzSkUfo8rs
Podar International School Beed Cbse,6366438026,SSC,4.7,238,http://podareducation.org,"Jalna, Beed",Beed,,,https://www.google.com/maps/place/Podar International School Beed (CBSE)/data=!4m7!3m6!1s0x3bc52b2ae2c212fd:0x3c378d074e62341d!8m2!3d19.0094652!4d75.7632696!16s/g/11b6sbtwfj!19sChIJ_RLC4iorxTsRHTRiTgeNNzw
Upscgk.com,,"UPSC, Tuition",4.7,3,https://upscgk.com,"Shahunagar, Beed",Beed,,,https://www.google.com/maps/place/upscgk.com/data=!4m7!3m6!1s0x3bc52b40f92a9bff:0xc2bd244f0022698!8m2!3d18.9953976!4d75.7510781!16s/g/11fjb156b9!19sChIJ_5sq-UArxTsRmCYC8ETSKww
Physics Wallah Vidyapeeth Pathshala Coaching Center Beed 8th 12th IIT JEE NEET And Dropper MHT CET,7428096975,"IIT JEE, NEET, CET, Tuition, Science, NDA",4.6,28,https://pw.live,"Shivrana Nagar, Beed",Beed,,,"https://www.google.com/maps/place/Physics Wallah Vidyapeeth Pathshala Coaching Center Beed (8th-12th ) IIT-JEE,NEET and Dropper MHT-CET/data=!4m7!3m6!1s0x3bc52b0cb6590c13:0xc283b9d1a6163b3e!8m2!3d19.0018642!4d75.7487429!16s/g/11yb171lfk!19sChIJEwxZtgwrxTsRPjsWptG5g8I"
Avishkar Coaching Classes,,"IIT JEE, Tuition",4.4,31,https://avishkar.eduapp.in,"Datta Nagar, Beed",Beed,,,https://www.google.com/maps/place/Avishkar Coaching Classes/data=!4m7!3m6!1s0x3bc52ae9f2fad93f:0xf5c260bf9b234566!8m2!3d18.9854681!4d75.743514!16s/g/1hhg_3sfj!19sChIJP9n68ukqxTsRZkUjm79gwvU
Bansal Classes Pvt. Ltd.,8003045222,"IIT JEE, Tuition",4.2,30,https://bansal.ac.in,"Swaraj Nagar, Beed",Beed,,,https://www.google.com/maps/place/Bansal Classes Pvt. Ltd./data=!4m7!3m6!1s0x3bc52b58015bf5c9:0x3777fb6275262c23!8m2!3d18.9819722!4d75.7535595!16s/g/11pdxqgy36!19sChIJyfVbAVgrxTsRIywmdWL7dzc
