business_name,niche,phone,whatsapp,rating,reviews,website_status,branch_signal,digital_score,priority_score,maps_link,district,city,website,short_address,taluka
Sf UPSC NDA Academy,"11th 12th Science, UPSC",8668437970,8668437970,4.9,37,no_website,single_location,95,110,https://www.google.com/maps/place/SF UPSC NDA ACADEMY/data=!4m7!3m6!1s0x3bdcbb8e80e9d8b7:0x8f118ffb80a164de!8m2!3d19.1214591!4d74.7341115!16s/g/11x5t1vbf7!19sChIJt9jpgI673DsR3mShgPuPEY8,Ahmednagar,,,"Savedi, Ahmednagar",
Dambelkar's Spoken English Classes,"11th 12th Science, English Speaking",7272886565,7272886565,5.0,140,no_website,single_location,95,100,https://www.google.com/maps/place/Dambelkar's Spoken English Classes/data=!4m7!3m6!1s0x3bdcb1dcaf43fa15:0xa498a096ae0ba5bf!8m2!3d19.1072283!4d74.7301741!16s/g/11n05jsl50!19sChIJFfpDr9yx3DsRv6ULrpagmKQ,Ahmednagar,,,"Sudke Mala, Ahmednagar",
Trill Music Academy Savedi Branch,Music Classes,9890998283,9890998283,5.0,40,no_website,multiple_branches,95,100,https://www.google.com/maps/place/Trill Music Academy Savedi Branch/data=!4m7!3m6!1s0x3bdcb17a25d33825:0xa7684659c866fb7e!8m2!3d19.1122751!4d74.7376343!16s/g/11lgqkbq_7!19sChIJJTjTJXqx3DsRfvtmyFlGaKc,Ahmednagar,,,"Savedi, Ahmednagar",
Prominent Spoken English & Digital Marketing Institute,English Speaking,8600000069,8600000069,4.5,217,no_website,single_location,95,100,https://www.google.com/maps/place/PROMINENT SPOKEN ENGLISH & DIGITAL MARKETING INSTITUTE/data=!4m7!3m6!1s0x3bdcba7f3c5c6a4b:0xbffd89b1cf7ea2ba!8m2!3d19.114889!4d74.729061!16s/g/11c2pmpr4z!19sChIJS2pcPH-63DsRuqJ-z7GJ_b8,Ahmednagar,,,"Savedi, Ahmednagar",
Mtec Spoken English Academy Expert In Spoken English,English Speaking,9226266262,9226266262,4.9,42,no_website,single_location,95,90,https://www.google.com/maps/place/MTEC SPOKEN ENGLISH ACADEMY- Expert in Spoken English/data=!4m7!3m6!1s0x3bdcbb7b636bdb9b:0x821e9ea7f71ff31e!8m2!3d19.1309943!4d74.744854!16s/g/11b6gdm4fy!19sChIJm9trY3u73DsRHvMf96eeHoI,Ahmednagar,,,"Pipeline Rd, Ahmednagar",
Ahuja Classes,11th 12th Science,9850063399,9850063399,5.0,184,no_website,single_location,95,85,https://www.google.com/maps/place/AHUJA CLASSES/data=!4m7!3m6!1s0x3bdcb1e5b91abbbd:0x59cf8524edade33!8m2!3d19.1119137!4d74.7275522!16s/g/11f61fjy7j!19sChIJvbsaueWx3DsRM97aTlL4nAU,Ahmednagar,,,"Ahmednagar, Ahmednagar",
Anomalous Coaching Classes,"IIT JEE, NEET, 11th 12th Science, MHT-CET",8857087569,8857087569,4.9,445,no_website,single_location,95,85,https://www.google.com/maps/place/ANOMALOUS COACHING CLASSES(IIT-JEE/NEET/MHT-CET/NDA)/data=!4m7!3m6!1s0x3bdcba89b8bb8e55:0x3d9d71bee93c65cc!8m2!3d19.1253226!4d74.7485084!16s/g/11ddxs8c1j!19sChIJVY67uIm63DsRzGU86b5xnT0,Ahmednagar,,,"Savedi, Ahmednagar",
Jha S Academy,11th 12th Science,7875100199,7875100199,4.9,203,no_website,single_location,95,85,https://www.google.com/maps/place/Jha’s Academy/data=!4m7!3m6!1s0x3bdcb1b9fc93d263:0x792669bb56376693!8m2!3d19.073753!4d74.7584725!16s/g/11sr83sv40!19sChIJY9KT_Lmx3DsRk2Y3VrtpJnk,Ahmednagar,,,"Wakodi Phata, Darewadi",
Durekar Science Academy,11th 12th Science,9595953085,9595953085,4.9,162,no_website,single_location,95,85,https://www.google.com/maps/place/Durekar Science Academy/data=!4m7!3m6!1s0x3bdcba62b5ee2a59:0xb853b86b5e0158b8!8m2!3d19.1252293!4d74.7328691!16s/g/11td8c60pv!19sChIJWSrutWK63DsRuFgBXmu4U7g,Ahmednagar,,,"Savedi, Ahmednagar",
Saksham Ias Academy And Library,UPSC,7040554422,7040554422,4.8,229,no_website,single_location,95,85,https://www.google.com/maps/place/Saksham IAS academy And library/data=!4m7!3m6!1s0x3bdcb1b97116cc61:0x4286716b6bf203fe!8m2!3d19.1051075!4d74.7297398!16s/g/11qpqbhqv7!19sChIJYcwWcbmx3DsR_gPya2txhkI,Ahmednagar,,,"Sudke Mala, Ahmednagar",
