business_name,niche,phone,whatsapp,rating,reviews,website_status,branch_signal,digital_score,priority_score,maps_link,district,city,website,short_address,taluka
Physics Wallah Vidyapeeth Coaching Center Akola IIT JEE NEET & Foundation,"IIT JEE, NEET, 11th 12th Science",8045682665,8045682665,4.7,363,active_website,multiple_branches,70,110,"https://www.google.com/maps/place/Physics Wallah Vidyapeeth Coaching Center Akola IIT JEE, NEET & Foundation/data=!4m7!3m6!1s0x3bd731cf52717179:0xac39e5b8f17284cd!8m2!3d20.6996094!4d77.0136432!16s/g/11w92l71l9!19sChIJeXFxUs8x1zsRzYRy8bjlOaw",Akola,,https://pw.live,"Kirti Nagar, Akola",
Advait Music Academy Akola,Music Classes,9172284743,9172284743,5.0,101,no_website,single_location,95,100,"https://www.google.com/maps/place/ADVAIT MUSIC ACADEMY , AKOLA/data=!4m7!3m6!1s0x3bd72f3f9540b0cf:0xdbb267045be01481!8m2!3d20.713617!4d77.01922!16s/g/11smgs9x_2!19sChIJz7BAlT8v1zsRgRTgWwRnsts",Akola,,,"Chhoti Umari, Akola",
Vijaypath Academy Best MPSC Classes In Pune,MPSC,8530421122,8530421122,4.7,747,active_website,single_location,70,100,https://www.google.com/maps/place/Vijaypath Academy (best MPSC classes in Pune)/data=!4m7!3m6!1s0x3bc2c1265b89e5cb:0x92f8575a6f9a8e48!8m2!3d18.5097608!4d73.846981!16s/g/11fl09x2dt!19sChIJy-WJWybBwjsRSI6ab1pX-JI,Akola,,https://vijaypathmpscpune.com,"Sadashiv Peth, Pune",Akot
Kedia Commerce Classes Kc2,11th 12th Science,9881331553,9881331553,4.8,272,no_website,single_location,100,90,https://www.google.com/maps/place/Kedia Commerce Classes KC2/data=!4m7!3m6!1s0x3bd7314ad195f2db:0x87cf2e788fcc3496!8m2!3d20.7054635!4d77.0063229!16s/g/11ghztgp6b!19sChIJ2_KV0Uox1zsRljTMj3guz4c,Akola,,,"Rlt College Road, Akola",
Rdg Music Academy,Music Classes,9527579920,9527579920,4.9,47,no_website,single_location,95,90,https://www.google.com/maps/place/Rdg Music Academy - Collab With YOLO/data=!4m7!3m6!1s0x3bd72f2a8f554409:0x27d3a2b70e4f436f!8m2!3d20.7013718!4d77.0115909!16s/g/11lng3pm_6!19sChIJCURVjyov1zsRb0NPDrei0yc,Akola,,,"Shastri Nagar, Akola",
Divya Maam's Chemia Coaching Classes,11th 12th Science,9325515878,9325515878,5.0,108,no_website,single_location,95,85,https://www.google.com/maps/place/DIVYA MAAM'S CHEMIA COACHING CLASSES/data=!4m7!3m6!1s0x3bd7311916f8de35:0x9eca3695c6a76717!8m2!3d20.7058415!4d77.0114264!16s/g/11q2rrt002!19sChIJNd74Fhkx1zsRF2enxpU2yp4,Akola,,,"Ranpise Nagar, Akola",
Abhay Mankar Sir's Aim Coaching Classes,11th 12th Science,8087960606,8087960606,4.9,264,no_website,single_location,95,85,https://www.google.com/maps/place/Abhay Mankar Sir's Aim Coaching Classes/data=!4m7!3m6!1s0x3bd72f12d19ff871:0xe6cb455fd6c51056!8m2!3d20.7052077!4d77.0150659!16s/g/11r9tyhl8j!19sChIJcfif0RIv1zsRVhDF1l9Fy-Y,Akola,,,"Shastri Nagar, Akola",
Aspire The Institute Of Human Development,English Speaking,8275726017,8275726017,4.8,254,no_website,single_location,95,85,"https://www.google.com/maps/place/ASPIRE, The Institute Of Human Development/data=!4m7!3m6!1s0x3bd72dfcfd24613b:0x2b77fa67500f6b87!8m2!3d20.6909117!4d77.0196921!16s/g/11b6pcgbjh!19sChIJO2Ek_fwt1zsRh2sPUGf6dys",Akola,,,"Sahakar Nagar, Akola",
Gravity Classes Akola,IIT JEE,9028290098,9028290098,4.8,242,no_website,single_location,95,85,https://www.google.com/maps/place/Gravity Classes Akola/data=!4m7!3m6!1s0x3bd4c1278d85b555:0x5d5577df85210af4!8m2!3d20.714975!4d77.01624!16s/g/11f5bnqrmz!19sChIJVbWFjSfB1DsR9Aohhd93VV0,Akola,,,"Chhoti Umari, Akola",
Autocrat Coaching Classes,11th 12th Science,9922960305,9922960305,4.8,210,no_website,single_location,95,85,https://www.google.com/maps/place/Autocrat Coaching Classes/data=!4m7!3m6!1s0x3bd7312b79e138cb:0x8869a3c75fc0a07e!8m2!3d20.712766!4d77.0087428!16s/g/11ll0q_1g_!19sChIJyzjheSsx1zsRfqDAX8ejaYg,Akola,,,"Soni Colony, Akola",
