business_name,niche,phone,whatsapp,rating,reviews,website_status,branch_signal,digital_score,priority_score,maps_link,district,city,website,short_address,taluka
Rg Classes 11th 12th Commerce Classes,11th 12th Science,8380885566,8380885566,5.0,112,no_website,single_location,95,120,"https://www.google.com/maps/place/RG Classes 11th 12th Commerce Classes , CA Classes Amravati/data=!4m7!3m6!1s0x3bd6a50121523205:0x4c4de5a799c9cdf7!8m2!3d20.9292155!4d77.7565492!16s/g/11h6g2c_7_!19sChIJBTJSIQGl1jsR983JmaflTUw",Amravati,,,"Amrawati Tahsil, Amravati",
Iin Ideal Institute Of NEET,"IIT JEE, NEET",7620599664,7620599664,4.6,20,no_website,single_location,95,110,https://www.google.com/maps/place/IIN Ideal Institute of NEET/data=!4m7!3m6!1s0x3bd6a53dbf372ea5:0xd8f927f0b99f0202!8m2!3d20.930639!4d77.7548938!16s/g/11sx4lyj58!19sChIJpS43vz2l1jsRAgKfufAn-dg,Amravati,,,"Jyastambh Chowk, Amravati",
Dr Madhuri Gulhane's Biology Uccb Amravati Best NEET Biology Amravati,"NEET, 11th 12th Science",7709161757,7709161757,5.0,64,no_website,single_location,95,100,https://www.google.com/maps/place/Dr Madhuri Gulhane's Biology UCCB Amravati Best NEET Biology Amravati/data=!4m7!3m6!1s0x3bd6a3a9b73b540f:0x99736d5c805adee5!8m2!3d20.9183927!4d77.7489633!16s/g/11hy_82_0_!19sChIJD1Q7t6mj1jsR5d5agFxtc5k,Amravati,,,"Uccb, Amravati",
Global Spoken English & Personality Development,"11th 12th Science, English Speaking",9637339536,9637339536,5.0,674,no_website,single_location,95,90,https://www.google.com/maps/place/GLOBAL SPOKEN ENGLISH & PERSONALITY DEVELOPMENT/data=!4m7!3m6!1s0x3bd6bd9c9f941d3f:0xc5defe1b0fdbe936!8m2!3d20.9452371!4d77.7421277!16s/g/11hyvdktbd!19sChIJPx2Un5y91jsRNunbDxv-3sU,Amravati,,,"Transport Nagar, Amravati",
Aniket Thakare Chemistry Classes,"IIT JEE, NEET, 11th 12th Science, MHT-CET, CET",9890911383,9890911383,5.0,270,no_website,single_location,95,85,https://www.google.com/maps/place/Aniket Thakare Chemistry Classes - Best JEE Coaching Classes In Amravati Best NEET Coaching Classes In Amravati MHT-CET/data=!4m7!3m6!1s0x3bd6a56b2da87eb3:0x5a99dc042310bda8!8m2!3d20.9169834!4d77.7516255!16s/g/11sswp5_gv!19sChIJs36oLWul1jsRqL0QIwTcmVo,Amravati,,,"Sharda Vihar, Amravati",
Jayhari Shep Physics Classes,11th 12th Science,8975738087,8975738087,5.0,251,no_website,single_location,95,85,https://www.google.com/maps/place/Jayhari Shep physics classes/data=!4m7!3m6!1s0x3bd6a51f272ccf17:0x8dd89a90a60a10de!8m2!3d20.9178433!4d77.7520711!16s/g/11h4qhv_gx!19sChIJF88sJx-l1jsR3hAKppCa2I0,Amravati,,,"Devankar Nagar, Amravati",
Nucleon Coaching Center,11th 12th Science,8275288882,8275288882,5.0,31,no_website,multiple_branches,95,85,https://www.google.com/maps/place/Nucleon Coaching Center/data=!4m7!3m6!1s0x3bd6a3e1d61ca88b:0x210ac3bfe14db829!8m2!3d20.9505985!4d77.7660941!16s/g/11xtglwq14!19sChIJi6gc1uGj1jsRKbhN4b_DCiE,Amravati,,,"Gadge Nagar, Amravati",
One On One Share Market Training And Guidance Centre,11th 12th Science,8983710731,8983710731,4.9,661,no_website,multiple_branches,95,85,https://www.google.com/maps/place/One On One Share Market Training and Guidance Centre/data=!4m7!3m6!1s0x3bd6a58a0129c7f9:0x554aaceaf7ffc4a2!8m2!3d20.9265674!4d77.7532162!16s/g/11f5_l1z4r!19sChIJ-ccpAYql1jsRosT_9-qsSlU,Amravati,,,"Rajkamal Square, Amravati",
Ccit Banking Institute Amravati,CET,7219596555,7219596555,4.9,294,no_website,single_location,95,85,https://www.google.com/maps/place/CCIT BANKING INSTITUTE AMRAVATI/data=!4m7!3m6!1s0x3bd6a58b6cef3419:0xf332a123c089bded!8m2!3d20.9185134!4d77.7539012!16s/g/11fhzzvclx!19sChIJGTTvbIul1jsR7b2JwCOhMvM,Amravati,,,"Sharda Vihar, Amravati",
Ideal Coaching Classes,11th 12th Science,9604334722,9604334722,4.8,252,no_website,single_location,95,85,https://www.google.com/maps/place/Ideal Coaching Classes/data=!4m7!3m6!1s0x3bd6a36771eaa7c1:0x44d069d9200b10b4!8m2!3d20.9452564!4d77.7693777!16s/g/11g9dj_p5h!19sChIJwafqcWej1jsRtBALINlp0EQ,Amravati,,,"Gadge Nagar, Amravati",
