business_name,niche,phone,whatsapp,rating,reviews,website_status,branch_signal,digital_score,priority_score,maps_link,district,city,website,short_address,taluka
Rai Education NEET JEE Foundation Classes In Beed,"IIT JEE, NEET, 11th 12th Science",9852983333,9852983333,4.9,48,weak_website,single_location,85,100,https://www.google.com/maps/place/Rai Education- NEET JEE FOUNDATION Classes in Beed/data=!4m7!3m6!1s0x4665d7b5f829a43f:0x20835edfb277ae1f!8m2!3d18.9937194!4d75.7508093!16s/g/11vz6hwy45!19sChIJP6Qp-LXXZUYRH653st9egyA,Beed,,https://instagram.com,"Kranti Nagar, Beed",
Biyani Digital Smart Coaching,CET,8600555689,8600555689,4.6,102,no_website,single_location,95,85,https://www.google.com/maps/place/Biyani Digital Smart Coaching/data=!4m7!3m6!1s0x3bc52ad905ff01fd:0xfd8b3a7f02523b2a!8m2!3d18.996515!4d75.756584!16s/g/11g6qdjjd2!19sChIJ_QH_BdkqxTsRKjtSAn86i_0,Beed,,,"Shivaji Maharaj Stadium, Beed",
MPSC Coaching,MPSC,9689665611,9689665611,,,no_website,single_location,70,85,https://www.google.com/maps/place/Mpsc Coaching/data=!4m7!3m6!1s0x3bc52b564a6bcc23:0xcb4f4cd7ed6a4086!8m2!3d18.990088!4d75.7531324!16s/g/11rwkyv_7w!19sChIJI8xrSlYrxTsRhkBq7ddMT8s,Beed,,,"Nathapur, Beed",
Vidyamandir Career Institute,11th 12th Science,8380000919,8380000919,5.0,68,no_website,single_location,95,75,https://www.google.com/maps/place/VIDYAMANDIR Career Institute/data=!4m7!3m6!1s0x3bc52bcfc7348123:0x638a4402b08eb833!8m2!3d18.9963986!4d75.7501984!16s/g/11x8jp5ks9!19sChIJI4E0x88rxTsRM7iOsAJEimM,Beed,,,"Shahunagar, Beed",
Reporter Physics Classes Beed,"NEET, 11th 12th Science",7350307209,7350307209,5.0,36,no_website,single_location,95,75,"https://www.google.com/maps/place/Reporter Physics Classes,Beed/data=!4m7!3m6!1s0x3bc52b63b98d2f8d:0x8cdf95167bf20b15!8m2!3d18.9953938!4d75.7507601!16s/g/11x0c35q24!19sChIJjS-NuWMrxTsRFQvyexaV34w",Beed,,,"Shahunagar, Beed",
Prabhas Capital Stock Market Academy,11th 12th Science,7020521369,7020521369,5.0,28,no_website,single_location,95,75,https://www.google.com/maps/place/Prabhas Capital Stock Market Academy/data=!4m7!3m6!1s0x3bc52da0a56e7b47:0x8319ca17ef7c287f!8m2!3d19.0142688!4d75.747246!16s/g/11ssx6g5pq!19sChIJR3tupaAtxTsRfyh87xfKGYM,Beed,,,"Beed, Wasanwadi",
Lamb's Mathematics Classes,"IIT JEE, CET",8482954799,8482954799,4.9,73,no_website,single_location,95,75,https://www.google.com/maps/place/Lamb's Mathematics Classes ( IIT JEE I MHTCET I FOUNDATION )/data=!4m7!3m6!1s0x3bc52b10eea25ccd:0x33dcf7072355d936!8m2!3d18.996286!4d75.749487!16s/g/11y9pvdby9!19sChIJzVyi7hArxTsRNtlVIwf33DM,Beed,,,"Kranti Nagar, Beed",
Shraddha Coaching Classes,NEET,9404321915,9404321915,4.3,23,no_website,single_location,95,75,https://www.google.com/maps/place/Shraddha Coaching Classes/data=!4m7!3m6!1s0x3bc52adca6499c3b:0x4a7b7e3393dade40!8m2!3d18.9927727!4d75.7496059!16s/g/11c2pj14ms!19sChIJO5xJptwqxTsRQN7akzN-e0o,Beed,,,"Shriram Nagar, Beed",
Sk.s Class,11th 12th Science,9545094647,9545094647,4.9,21,no_website,single_location,90,70,https://www.google.com/maps/place/Sk.S Class/data=!4m7!3m6!1s0x3bc52ad3c04755bf:0x6ea3d1f7fcf82826!8m2!3d19.0069552!4d75.7532142!16s/g/11bxc5wgkb!19sChIJv1VHwNMqxTsRJij4_PfRo24,Beed,,,"Sanskar Colony, Beed",
Umed Educations Beed,UPSC,7020771919,7020771919,5.0,23,no_website,single_location,95,65,https://www.google.com/maps/place/UMED Educations Beed/data=!4m7!3m6!1s0x3bc52b990ccf8b73:0x17857f1af5f0dc89!8m2!3d18.9886875!4d75.7525625!16s/g/11p747ykf6!19sChIJc4vPDJkrxTsRidzw9Rp_hRc,Beed,,,Beed,
Sankalp Coaching Classes& Abacus Centre Beed,CET,9766574882,9766574882,,,no_website,multiple_branches,70,60,https://www.google.com/maps/place/Sankalp Coaching Classes& Abacus Centre Beed/data=!4m7!3m6!1s0x3bc52bd848c11309:0x708d782600f605df!8m2!3d18.9802368!4d75.7414721!16s/g/11y30_l72f!19sChIJCRPBSNgrxTsR3wX2ACZ4jXA,Beed,,,"Sant Namdev Nagar, Beed",
Elite Academia Beed,IIT JEE,9112910835,9112910835,,,no_website,single_location,70,40,https://www.google.com/maps/place/Elite Academia beed/data=!4m7!3m6!1s0x3bc52bdfeb6290cb:0x2817f6eb076142bd!8m2!3d18.9965891!4d75.7492981!16s/g/11yg8p14h_!19sChIJy5Bi698rxTsRvUJhB-v2Fyg,Beed,,,"Kranti Nagar, Beed",
