business_name,category,rating,reviews,phone,whatsapp,full_address,district,taluka,city,maps_link,website,has_website,lead_score,premium_lead,branch_count,digital_presence,rejection_reason
Accountancy Classes,NEET coaching,5.0,96,,,"Ashtavinayak Colony, Nandanvan Nagar, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/Accountancy+Classes/data=!4m7!3m6!1s0x3bdcbb62205f7743:0xc9be8594e10a8286!8m2!3d19.1329077!4d74.7283659!16s%2Fg%2F11f7stt8qm!19sChIJQ3dfIGK73DsRhoIK4ZSFvsk?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,missing valid mobile or WhatsApp
Shri Sandipani Academy Branch 2,IIT JEE coaching,4.8,49,,,"Ekveera Chowk, Savedi, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/Shri+Sandipani+Academy+Branch+2/data=!4m7!3m6!1s0x3bdcbb7e9cf28b3f:0xeeea953eaada0094!8m2!3d19.1248876!4d74.7439305!16s%2Fg%2F11tgfs2l89!19sChIJP4vynH673DsRlADaqj6V6u4?authuser=0&hl=en&rclk=1,,no,100,no,2,none_found,missing valid mobile or WhatsApp
Best Academy For,NEET coaching,4.7,41,,,"ZM Tower, CITY LAWNS, Pipeline Rd, Savedi, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/Best+academy+for+-+NDA+-IIT-JEE-NEET-+MHT-CET/data=!4m7!3m6!1s0x3bdcbb9ad08443f3:0xe07d75396e38400b!8m2!3d19.1249884!4d74.754258!16s%2Fg%2F11w_kb42xj!19sChIJ80OE0Jq73DsRC0A4bjl1feA?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,missing valid mobile or WhatsApp
Best Academy For,JEE Coaching,4.7,41,,,"ZM Tower, CITY LAWNS, Pipeline Rd, Savedi, Ahilyanagar, Maharashtra 414003",Ahmednagar,Ahmednagar,,"https://www.google.com/maps/place/Best+academy+for+-+NDA+-IIT-JEE-NEET-+MHT-CET/@19.1249884,74.754258,17z/data=!3m1!4b1!4m6!3m5!1s0x3bdcbb9ad08443f3:0xe07d75396e38400b!8m2!3d19.1249884!4d74.754258!16s%2Fg%2F11w_kb42xj?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",,no,100,no,1,none_found,missing valid mobile or WhatsApp
Phoenix College Ahmednagr,Banking coaching,4.7,60,9595953732,9595953732,"Phoenix College, GLR No : 115 D, Near Lic Office, Pandit Nehru Vidyalay Campus, State Bank Chauk, Maharashtra 414001",Ahmednagar,,,"https://www.google.com/maps/place/Phoenix+College,+Ahmednagr/data=!4m7!3m6!1s0x3bdcba6439ae3931:0xa3516d7cf32d0428!8m2!3d19.0948118!4d74.7496063!16s%2Fg%2F11c31wrshw!19sChIJMTmuOWS63DsRKAQt83xtUaM?authuser=0&hl=en&rclk=1",,no,100,no,2,none_found,outside target niche
Scope Computers,Computer classes,4.6,31,9370022968,9370022968,"Dhoot Centre, Ahilyanagar, Maharashtra 414001",Ahmednagar,,,https://www.google.com/maps/place/Scope+Computers/data=!4m7!3m6!1s0x3bdcb05d7b74d5f9:0x56ac1c035c2689a7!8m2!3d19.0906639!4d74.7432649!16s%2Fg%2F124ylcqjh!19sChIJ-dV0e12w3DsRp4kmXAMcrFY?authuser=0&hl=en&rclk=1,,no,100,no,2,none_found,outside target niche
Wizard Computers,1st to 12th classes,4.9,559,,,"Wizard Computers, MKCL MS-CIT Computer Training Center, KliC Training Institute, Shakuntala Apartment, Professor Colony, Chowk, Savedi, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/Wizard+Computers/data=!4m7!3m6!1s0x3bdcba80b7bdd51f:0x9ba99195c49f9fa2!8m2!3d19.1186978!4d74.7348855!16s%2Fg%2F11b7hkmmls!19sChIJH9W9t4C63DsRop-fxJWRqZs?authuser=0&hl=en&rclk=1,,no,97,no,2,none_found,missing valid mobile or WhatsApp
Core Institute Of Technology Marathi कोअर इन्स्टिटयूट ऑफ टेक्नॉलॉजी,Computer classes,5.0,30,8087550366,8087550366,"JLP Tower, Link Rd, near Carmel Convent High School, Kotkar Nagar, Kedgaon, Ahilyanagar, Maharashtra 414005",Ahmednagar,,,https://www.google.com/maps/place/Core+Institute+of+Technology+%28Marathi:+%E0%A4%95%E0%A5%8B%E0%A4%85%E0%A4%B0+%E0%A4%87%E0%A4%A8%E0%A5%8D%E0%A4%B8%E0%A5%8D%E0%A4%9F%E0%A4%BF%E0%A4%9F%E0%A4%AF%E0%A5%82%E0%A4%9F+%E0%A4%91%E0%A4%AB+%E0%A4%9F%E0%A5%87%E0%A4%95%E0%A5%8D%E0%A4%A8%E0%A5%89%E0%A4%B2%E0%A5%89%E0%A4%9C%E0%A5%80%29/data=!4m7!3m6!1s0x3bdcb19dd2101605:0x7f61f3e1c56ebb76!8m2!3d19.0753063!4d74.7106417!16s%2Fg%2F11vm8h8cxs!19sChIJBRYQ0p2x3DsRdrtuxeHzYX8?authuser=0&hl=en&rclk=1,,no,95,no,1,none_found,outside target niche
Institute Of Integrated Software,Computer classes,5.0,117,9763206009,9763206009,"Sudke Mala, Ahilyanagar, Maharashtra 414001",Ahmednagar,,,https://www.google.com/maps/place/Institute+Of+Integrated+Software/data=!4m7!3m6!1s0x3bdcb087d5ed726d:0xeb6ccdcab82efaa4!8m2!3d19.1018429!4d74.7310831!16s%2Fg%2F11g8vcdw7w!19sChIJbXLt1Yew3DsRpPouuMrNbOs?authuser=0&hl=en&rclk=1,,no,95,no,1,none_found,outside target niche
The Ballers Academy,Railway coaching,5.0,49,7030071717,7030071717,"The Icon Public School, Railway, Station Rd, Anand Nagar, Ahilyanagar, Maharashtra 414001",Ahmednagar,,,https://www.google.com/maps/place/The+Ballers+Academy/data=!4m7!3m6!1s0x3bdcb177f3de0105:0x1b1b878f5a2f3ad9!8m2!3d19.0778643!4d74.7259656!16s%2Fg%2F11m4jc1zg6!19sChIJBQHe83ex3DsR2TovWo-HGxs?authuser=0&hl=en&rclk=1,,no,95,no,1,none_found,outside target niche
