business_name,category,rating,reviews,phone,whatsapp,full_address,district,taluka,city,maps_link,website,has_website,lead_score,premium_lead,branch_count,digital_presence,rejection_reason
Bts Coaching Center Bridge To Success,NEET coaching,5.0,63,7020727471,7020727471,"3D Corner, Tapovan Rd, opposite darandale hospital, Surya Nagar, Burhanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/BTS+Coaching+center+%28BRIDGE+TO+SUCCESS%29/data=!4m7!3m6!1s0x3bdcbb188500f7a1:0x1916a95eb98de75f!8m2!3d19.1388343!4d74.7557919!16s%2Fg%2F11xnctml92!19sChIJofcAhRi73DsRX-eNuV6pFhk?authuser=0&hl=en&rclk=1,https://spage.in,yes,50,no,2,website,has website
Shreem Classes,NEET coaching,5.0,21,9890420209,9890420209,"45, Gulmohar Rd, behind Om Bakers, Kirloskar Colony, Savedi, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/Shreem+Classes/data=!4m7!3m6!1s0x3bdcbb4212becbb7:0x85507b8959ca78f7!8m2!3d19.1226339!4d74.738249!16s%2Fg%2F11ldqgwx4n!19sChIJt8u-EkK73DsR93jKWYl7UIU?authuser=0&hl=en&rclk=1,https://shreemclasses.com,yes,40,no,1,website,has website
Kalam Coaching Classes,NEET coaching,4.9,23,8605213286,8605213286,"KALAM COACHING CLASSES, GPO ROAD, near OLD COLLECTOR OFFICE, M.I.R.C Ahmednagar, Ahilyanagar, Maharashtra 414001",Ahmednagar,,,https://www.google.com/maps/place/KALAM+COACHING+CLASSES/data=!4m7!3m6!1s0x3bdcb1bb6ae40285:0xf9539871f8efb274!8m2!3d19.0940886!4d74.7468431!16s%2Fg%2F11twgywprm!19sChIJhQLkarux3DsRdLLv-HGYU_k?authuser=0&hl=en&rclk=1,https://connectitapp.in,yes,40,no,1,website,has website
City Coaching Classes For CET JEE NEET,IIT JEE coaching,4.6,21,7875382835,7875382835,"near Appa mavagulfi & Dr ghorapade hospital, Sarjepura city, Ahilyanagar, Maharashtra 414001",Ahmednagar,,,https://www.google.com/maps/place/CITY+COACHING+CLASSES+For+CET+JEE+NEET/data=!4m7!3m6!1s0x3bdcb1398772687f:0x2b63b3c4d428ea50!8m2!3d19.0976742!4d74.7329067!16s%2Fg%2F11k583vbg4!19sChIJf2hyhzmx3DsRUOoo1MSzYys?authuser=0&hl=en&rclk=1,https://city-coaching-classes.grexa.site,yes,40,no,1,website,has website
Vidyasagar Coaching Classes,NEET coaching,4.5,25,7020284619,7020284619,"Police Colony, Plot no.37A, Pipeline Rd, Savedi, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/Vidyasagar+Coaching+Classes/data=!4m7!3m6!1s0x3bdcba87d33a92bb:0xd4ea402a293688af!8m2!3d19.1246438!4d74.7365424!16s%2Fg%2F11c5rp5_95!19sChIJu5I604e63DsRr4g2KSpA6tQ?authuser=0&hl=en&rclk=1,https://vcc2001.teachmint.in,yes,40,no,1,website,has website
Katariya Technical Institute,1st to 12th classes,5.0,75,8855061765,8855061765,"302,White house, Sarjepura Rd, near Gogadev Temple, Ahilyanagar, Maharashtra 414001",Ahmednagar,,,https://www.google.com/maps/place/Katariya+Technical+Institute/data=!4m7!3m6!1s0x3bdcb0640000817d:0xc38619623775c0cf!8m2!3d19.1029562!4d74.7373299!16s%2Fg%2F11f3w4qsyj!19sChIJfYEAAGSw3DsRz8B1N2IZhsM?authuser=0&hl=en&rclk=1,https://facebook.com,yes,32,no,1,facebook,has facebook
Todmal Commerce Academy,1st to 12th classes,5.0,323,9960098090,9960098090,"Atharav towers, chowpati karanja, oppo. Ashirwad chiwada, Ahilyanagar, Maharashtra 414001",Ahmednagar,,,https://www.google.com/maps/place/TODMAL+COMMERCE+ACADEMY/data=!4m7!3m6!1s0x3bdcb08a1d6c47dd:0xbe2533b1aeb1b19c!8m2!3d19.0956179!4d74.7328733!16s%2Fg%2F11c5g8v242!19sChIJ3UdsHYqw3DsRnLGxrrEzJb4?authuser=0&hl=en&rclk=1,http://todmalsacademy.com,yes,32,no,1,website,has website
Aasha Handwriting Classes,Spoken English classes,4.9,57,7044727044,7044727044,"Trimurti Chowk, near Jay Anand Medical, Sarasnagar, Iwale Nagar, Ahilyanagar, Maharashtra 414001",Ahmednagar,,,https://www.google.com/maps/place/Aasha+Handwriting+Classes/data=!4m7!3m6!1s0x3bdcb1fa0a248a0b:0xf2fd03811dd68c2e!8m2!3d19.0800146!4d74.7436832!16s%2Fg%2F11h_wy_6cn!19sChIJC4okCvqx3DsRLozWHYED_fI?authuser=0&hl=en&rclk=1,http://elixir.org.in,yes,32,no,1,website,has website
Bright Future English Phonics And Grammar Academy,Spoken English classes,4.9,22,9511893783,9511893783,"R 24, Ahilyanagari, Bhistbag, Road, near Pancharatna Dinning HallPipeline, Savedi, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/Bright+Future+English+Phonics+and+Grammar+Academy/data=!4m7!3m6!1s0x3bdcbb3cbd2a8715:0xc1f38ad10ecc70df!8m2!3d19.1306195!4d74.7319779!16s%2Fg%2F11v0bf1c03!19sChIJFYcqvTy73DsR33DMDtGK88E?authuser=0&hl=en&rclk=1,http://otsguru.com,yes,32,no,1,website,has website
Success Science Academy,1st to 12th classes,4.9,505,8830002899,8830002899,"Rajhans Towers, Chowk, Sona Nagar, Rasane Nagar, Savedi, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/Success+Science+Academy+%7C+NEET+%7C+JEE+%7C+MHT-CET+Classes/data=!4m7!3m6!1s0x3bdcbbac31d4779d:0x7447213f587c2f28!8m2!3d19.123545!4d74.7304099!16s%2Fg%2F11q1lg0drf!19sChIJnXfUMay73DsRKC98WD8hR3Q?authuser=0&hl=en&rclk=1,https://successscienceacademy.com,yes,32,no,1,website,has website
