business_name,category,rating,reviews,phone,whatsapp,full_address,district,taluka,city,maps_link,website,has_website,lead_score,premium_lead,branch_count,digital_presence,rejection_reason
Advait Music Academy Akola,Music classes,5.0,101,9172284743,9172284743,"Rautwadi , Mohite Plot, Ashirwad Building, near Hanuman Temple, near Mukherjee Banglow, Chhoti Umari, Akola, Maharashtra 444005",Akola,,,"https://www.google.com/maps/place/ADVAIT+MUSIC+ACADEMY+,+AKOLA/data=!4m7!3m6!1s0x3bd72f3f9540b0cf:0xdbb267045be01481!8m2!3d20.713617!4d77.01922!16s%2Fg%2F11smgs9x_2!19sChIJz7BAlT8v1zsRgRTgWwRnsts?authuser=0&hl=en&rclk=1",,no,100,no,1,none_found,
Ameen Classes,IIT JEE coaching,5.0,28,7021610412,7021610412,"2nd Floor, Momin Mension, above Zahoor Hospital, opp. Society Petrol Pump, Bhawani Peth, Akola, Maharashtra 444006",Akola,,,https://www.google.com/maps/place/Ameen+Classes/data=!4m7!3m6!1s0x3bd731a431b6db0f:0xf0c5d29617aa569b!8m2!3d20.7164101!4d76.9975511!16s%2Fg%2F11rqx2j3sf!19sChIJD9u2MaQx1zsRm1aqF5bSxfA?authuser=0&hl=en&rclk=1,,no,100,yes,1,none_found,
Chetan Sir's Calculus Academy,1st to 12th classes,5.0,70,9022282656,9022282656,"near TWC Gym, near Nimantran hotel, Maratha Nagar, Tapadia Nagar, Akola, Maharashtra 444005",Akola,,,https://www.google.com/maps/place/Chetan+Sir%27s+Calculus+Academy/data=!4m7!3m6!1s0x3bd73150e1d40289:0x81935041d2773079!8m2!3d20.7171997!4d77.0091522!16s%2Fg%2F11v_5gmwvx!19sChIJiQLU4VAx1zsReTB30kFQk4E?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,
Divya Maam's Chemia Coaching Classes,1st to 12th classes,5.0,108,9325515878,9325515878,"P246 8HC Amankhan Plot, Ranpise Nagar, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/DIVYA+MAAM%27S+CHEMIA+COACHING+CLASSES/data=!4m7!3m6!1s0x3bd7311916f8de35:0x9eca3695c6a76717!8m2!3d20.7058415!4d77.0114264!16s%2Fg%2F11q2rrt002!19sChIJNd74Fhkx1zsRF2enxpU2yp4?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,
Dynamic Coaching Classes,IIT JEE coaching,5.0,9,9765244367,9765244367,"Hussaini Park, Nutan Hindi School, Shri Shivaji College Rd, Deshmukh Peth, Bhawani Peth, Akola, Maharashtra 444006",Akola,,,https://www.google.com/maps/place/Dynamic+Coaching+Classes/data=!4m7!3m6!1s0x3bd7314e739a41dd:0xcf35ee1bc46205c7!8m2!3d20.7192391!4d76.9983106!16s%2Fg%2F11kpxsprjw!19sChIJ3UGac04x1zsRxwVixBvuNc8?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,
Guitar Studio Varad Tune Your Fingers,Music classes,5.0,109,9096982332,9096982332,"2nd floor, It square complex, 28B, Gorakshan Rd, Kirti Nagar, Akola, Maharashtra 444004",Akola,,,https://www.google.com/maps/place/Guitar+studio+varad+tune+your+fingers/data=!4m7!3m6!1s0x3bd72f4a1bee1229:0x272c3a2505aa65e8!8m2!3d20.6965158!4d77.0119121!16s%2Fg%2F11t3g9wtv_!19sChIJKRLuG0ov1zsR6GWqBSU6LCc?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,
Hplus Academy,IIT JEE coaching,5.0,19,9518799058,9518799058,"Toshniwal Layout, Near Prabhat Kids School, Milk Dairy Rd, behind Govt Office, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/HPlus+Academy/data=!4m7!3m6!1s0x3bd72f52d7465e0f:0xc72d2b7d5ea6deac!8m2!3d20.7006726!4d77.0144482!16s%2Fg%2F11fjqjv821!19sChIJD15G11Iv1zsRrN6mXn0rLcc?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,
Mercy Coaching And English Speaking Classes,Spoken English classes,5.0,10,9011355996,9011355996,"Mercy Home Acupressure Center, Yatra Chowk, Landy pura, Keshavraj Vetaal, Akot, Maharashtra 444101",Akola,Akot,,https://www.google.com/maps/place/Mercy+coaching+and+English+speaking+classes/data=!4m7!3m6!1s0x3bd71b5e2cdf899d:0x61664b8a9e0e2ad7!8m2!3d21.094463!4d77.0605804!16s%2Fg%2F11qydkgpdg!19sChIJnYnfLF4b1zsR1yoOnopLZmE?authuser=0&hl=en&rclk=1,,no,100,no,2,none_found,
Rise,1st to 12th classes,5.0,52,7373061111,7373061111,"4th Floor, Yamuna Business Park, Kirti Nagar, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/RISE+-+Rathi+Institute+of+Science+Education/data=!4m7!3m6!1s0x3bd72f36cb3a17a7:0x48e791fc7f313eb7!8m2!3d20.6995446!4d77.0135605!16s%2Fg%2F11v5x_c_rp!19sChIJpxc6yzYv1zsRtz4xf_yR50g?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,
The Photon Academy,IIT JEE coaching,5.0,3,8263058401,8263058401,"Jawahar nagar chowk, opposite to motherdairy, Shastri Nagar, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/The+Photon+Academy/data=!4m7!3m6!1s0x3bd72f5424241493:0xe2f821e34a19bfc3!8m2!3d20.7071201!4d77.0166567!16s%2Fg%2F11zkvwvjhx!19sChIJkxQkJFQv1zsRw78ZSuMh-OI?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,
Abhay Mankar Sir's Aim Coaching Classes,1st to 12th classes,4.9,264,8087960606,8087960606,"near New Jain Mandir, behind Siddhivinayak Mandir, Shastri Nagar, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/Abhay+Mankar+Sir%27s+Aim+Coaching+Classes/data=!4m7!3m6!1s0x3bd72f12d19ff871:0xe6cb455fd6c51056!8m2!3d20.7052077!4d77.0150659!16s%2Fg%2F11r9tyhl8j!19sChIJcfif0RIv1zsRVhDF1l9Fy-Y?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,
Aim Coaching Classes Barshitakli,IIT JEE coaching,4.9,7,7774806333,7774806333,"Barsi Takli, Maharashtra 444401",Akola,Barshitakli,,https://www.google.com/maps/place/AIM+Coaching+Classes+Barshitakli/data=!4m7!3m6!1s0x3bd0d38777907235:0x12916e6557794a6e!8m2!3d20.5776364!4d77.065055!16s%2Fg%2F11q93tdyh7!19sChIJNXKQd4fT0DsRbkp5V2VukRI?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,
Chemguru Science Academy Coaching Class,1st to 12th classes,4.9,40,9970383914,9970383914,"Jawahar chowk, opposite Mother dairy, near patanjali shopee, Ranpise Nagar, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/Chemguru+Science+Academy+%28Coaching+Class%29/data=!4m7!3m6!1s0x3bd731161e5307f5:0xbcbaf2b46f40bee7!8m2!3d20.7075746!4d77.0171866!16s%2Fg%2F11jn4vjh22!19sChIJ9QdTHhYx1zsR575Ab7Tyurw?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,
