business_name,category,rating,reviews,phone,whatsapp,full_address,district,taluka,city,maps_link,website,has_website,lead_score,premium_lead,branch_count,digital_presence,rejection_reason
Knowledge Nexus Academy,NEET coaching,4.9,72,,,"Deepak Chowk, Mominpura, Akola, Maharashtra 444006",Akola,,,https://www.google.com/maps/place/KNOWLEDGE+NEXUS+ACADEMY/data=!4m7!3m6!1s0x3bd731007e4aa645:0x586b83023f1fcf94!8m2!3d20.7154601!4d77.0009278!16s%2Fg%2F11vywvkm6b!19sChIJRaZKfgAx1zsRlM8fPwKDa1g?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,missing valid mobile or WhatsApp
Psv S Nurtury The Toybrary,Kids learning center,4.9,40,9136830952,9136830952,"46, Vasudha, Gorakshan Rd, beside Hindu Dhyanpeeth school, Aadarsh Colony, Akola, Maharashtra 444004",Akola,,,https://www.google.com/maps/place/PSV%E2%80%99s+Nurtury+the+Toybrary/data=!4m7!3m6!1s0x3bd7312f711479df:0x29cfe723b2cc3dd7!8m2!3d20.6940391!4d77.0126979!16s%2Fg%2F11qnkl59fv!19sChIJ33kUcS8x1zsR1z3MsiPnzyk?authuser=0&hl=en&rclk=1,,no,100,no,2,none_found,not coaching/academy related; outside target niche
Simkids School,Kids learning center,4.9,36,7709977758,7709977758,"Nityanand nagar, Gorakshan Rd, Sahakar Nagar, Akola, Maharashtra 444004",Akola,,,https://www.google.com/maps/place/Simkids+school/data=!4m7!3m6!1s0x3bd72f62562e684b:0xe556ab89188ebdc9!8m2!3d20.6870589!4d77.0249636!16s%2Fg%2F11ghlrgz_b!19sChIJS2guVmIv1zsRyb2OGImrVuU?authuser=0&hl=en&rclk=1,,no,100,no,2,none_found,not coaching/academy related; outside target niche
Savi Computer Institute,1st to 12th classes,4.8,34,,,"1st Floor, Sanket Chamber, opposite to khandelwal imaging center,jawahar nagar road, Civil Line Rd, chowk, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/SAVI+COMPUTER+INSTITUTE/data=!4m7!3m6!1s0x3bd731eb3eea5305:0xd02c975b8fadda5e!8m2!3d20.7058742!4d77.0115355!16s%2Fg%2F11w_knzf1g!19sChIJBVPqPusx1zsRXtqtj1uXLNA?authuser=0&hl=en&rclk=1,,no,100,no,2,none_found,missing valid mobile or WhatsApp
Mujahid M Khan Sir's Ideal Coaching Classes Akola,IIT JEE coaching,4.6,20,,,"4th Floor, Near Civil Line Chowk In Front Of Dhabekar Bunglow Sanket Chamber, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/Mujahid+M+Khan+Sir%27s+IDEAL+COACHING+CLASSES+AKOLA/data=!4m7!3m6!1s0x3bd72f33a1799605:0xf6d4b5d75962c223!8m2!3d20.7058398!4d77.0113063!16s%2Fg%2F11fsrh057f!19sChIJBZZ5oTMv1zsRI8JiWde11PY?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,missing valid mobile or WhatsApp
Achievers Comp Tech Computer Training Center Akot,Computer classes,4.4,38,9356338081,9356338081,"Pan market ,Akot Mothe Bargan, Akot, Maharashtra 444101",Akola,Akot,,https://www.google.com/maps/place/Achievers+Comp-Tech+Computer+Training+Center+Akot/data=!4m7!3m6!1s0x3bd71bbabc4e0ae5:0x5b927597d49f5ca3!8m2!3d21.0972514!4d77.0634601!16s%2Fg%2F11nxc2znxc!19sChIJ5QpOvLob1zsRo1yf1Jd1kls?authuser=0&hl=en&rclk=1,,no,100,no,2,none_found,outside target niche
Prof. Santosh Kute Examination Center,NEET coaching,4.3,56,,,"In Front Sant Tukaram Cancer Hospital, Sant Tukaram Chowk, Gorakshan Rd, Akola, Maharashtra 444004",Akola,Balapur,,https://www.google.com/maps/place/Prof.+Santosh+Kute+Examination+Center/data=!4m7!3m6!1s0x3bd72d9ff55dbb4b:0xbf764cc704ddef0f!8m2!3d20.6846247!4d77.0264665!16s%2Fg%2F11q8sw1pmp!19sChIJS7td9Z8t1zsRD-_dBMdMdr8?authuser=0&hl=en&rclk=1,,no,100,no,2,none_found,missing valid mobile or WhatsApp
Commerce Classes,Commerce classes,5.0,45,6367923120,6367923120,"Sneha Vihar B_1, Dangat Patil Nagar, Shivane, Pune, Maharashtra 411023",Akola,Balapur,,https://www.google.com/maps/place/Commerce+classes/data=!4m7!3m6!1s0x3bc295007e1de9c5:0xee483b0efaa0dfb5!8m2!3d18.4660241!4d73.791074!16s%2Fg%2F11yhdfpjvk!19sChIJxekdfgCVwjsRtd-g-g47SO4?authuser=0&hl=en&rclk=1,,no,95,no,1,none_found,outside target niche
Nerkar Commerce Classes,Commerce classes,5.0,22,9021693805,9021693805,"behind King Bakery, VHB Colony, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/Nerkar+Commerce+Classes/data=!4m7!3m6!1s0x3bd731d3264b34d9:0x472baa1e031387f8!8m2!3d20.7071281!4d77.0093685!16s%2Fg%2F11h55yqpxn!19sChIJ2TRLJtMx1zsR-IcTAx6qK0c?authuser=0&hl=en&rclk=1,,no,95,no,1,none_found,outside target niche
Software Square Academy,Computer classes,5.0,173,7020514095,7020514095,"P247 MJJ, Unnamed Road, Ranpise Nagar, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/Software+Square+Academy/data=!4m7!3m6!1s0x3bd72f7c3a30e2f7:0xfc797b93ac73b3b!8m2!3d20.7067233!4d77.0140217!16s%2Fg%2F11fkwcq8m1!19sChIJ9-IwOnwv1zsROzvHOrmXxw8?authuser=0&hl=en&rclk=1,,no,95,no,1,none_found,outside target niche
Swapnil Sir S Academy Shegaon,Science academy,5.0,66,7821095369,7821095369,"Shegaon, Maharashtra 444203",Akola,Balapur,,https://www.google.com/maps/place/SWAPNIL+SIR%E2%80%99S+ACADEMY+SHEGAON/data=!4m7!3m6!1s0x3bd74500644984c5:0x108287c4db3912b4!8m2!3d20.7928754!4d76.6915105!16s%2Fg%2F11vwdl_rm3!19sChIJxYRJZABF1zsRtBI528SHghA?authuser=0&hl=en&rclk=1,,no,95,no,1,none_found,outside target niche
Patil Career Academy Army Navy Air Force Classes,Army coaching,4.9,414,9822540356,9822540356,"Near Gandhi Maidan, New, College Rd, Kolhapur, Maharashtra 416012",Akola,Balapur,,"https://www.google.com/maps/place/Patil+Career+Academy+%28Army,+Navy,+Air+force+Classes%29/data=!4m7!3m6!1s0x3bc1000909b69745:0xc5bbc87e17ee9a89!8m2!3d16.6907989!4d74.220975!16s%2Fg%2F11c0p_qg7d!19sChIJRZe2CQkAwTsRiZruF37Iu8U?authuser=0&hl=en&rclk=1",,no,95,no,1,none_found,outside target niche
The Winner Academy,Police bharti classes,4.9,114,9834036854,9834036854,"Gadge Nagar, Amravati, Maharashtra 444603",Akola,Balapur,,https://www.google.com/maps/place/The+Winner+Academy/data=!4m7!3m6!1s0x3bd6a3172ec64387:0x2f87558561506c14!8m2!3d20.9472479!4d77.7662206!16s%2Fg%2F11py74q9x3!19sChIJh0PGLhej1jsRFGxQYYVVhy8?authuser=0&hl=en&rclk=1,,no,95,no,1,none_found,outside target niche
Vedant Computer Institute,Computer classes,4.9,125,9823355126,9823355126,"Guideline Computer, Infront of Hotel, Vedant Computer Institute Surbhi, Barajotirling mandir road, near Bara Jyotirling temple, jawhar nagar chowk, Ranpise Nagar, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/Vedant+Computer+Institute/data=!4m7!3m6!1s0x3bd72f0667cdce8b:0x83e9edb20ba21ea4!8m2!3d20.7078817!4d77.0172681!16s%2Fg%2F11pkbdp33r!19sChIJi87NZwYv1zsRpB6iC7Lt6YM?authuser=0&hl=en&rclk=1,,no,95,no,1,none_found,outside target niche
