business_name,category,rating,reviews,phone,whatsapp,full_address,district,taluka,city,maps_link,website,has_website,lead_score,premium_lead,branch_count,digital_presence,rejection_reason
Shri Ambe Enterprises & Computer Institute Mscit Center & Mkcl Klic Center. Akot,SSC coaching,5.0,69,9518974425,9518974425,"Akot - Daryapur Rd, in front of Shri Shivaji Arts, Commerce & Science College, Saraswati Nagar, Akot, Maharashtra 444101",Akola,Akot,,https://www.google.com/maps/place/Shri+Ambe+Enterprises+%26+Computer+Institute+MSCIT+Center+%26+MKCL+KLiC+Center.+Akot/data=!4m7!3m6!1s0x3bd71b51533ada61:0x58018558764840b6!8m2!3d21.0859923!4d77.0618153!16s%2Fg%2F11ql16zk7k!19sChIJYdo6U1Eb1zsRtkBIdliFAVg?authuser=0&hl=en&rclk=1,https://shri-ambe-enterprises-and-computer-institute-akot.odoo.com,yes,42,no,2,website,has website
Kalpataru Science Academy,NEET coaching,5.0,21,7721983007,7721983007,"Gokul colony, near mother teresa convent, infront of post office, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/Kalpataru+Science+Academy/data=!4m7!3m6!1s0x3bd72e03be07d1d5:0xf4f4aafb83e6127a!8m2!3d20.7042826!4d77.017544!16s%2Fg%2F11c45vcs36!19sChIJ1dEHvgMu1zsRehLmg_uq9PQ?authuser=0&hl=en&rclk=1,http://kalpataruscienceacademy.in,yes,40,no,1,website,has website
Bansal Classes,IIT JEE coaching,4.9,233,9371594360,9371594360,"1st & 2nd Floor, Alsi Plots, Anand Heights, Gorakshan Rd, near Khandelwal Bhawan, opposite Bank of India, Bhandaraj BK, Akola, Maharashtra 444002",Akola,,,https://www.google.com/maps/place/Bansal+Classes+-+IIT-JEE+%2F+NEET+%2F+MHT-CET+Coaching/data=!4m7!3m6!1s0x3bd731006c9a51f1:0x394dc0b0f3423530!8m2!3d20.7004459!4d77.0077931!16s%2Fg%2F11wm_rj03p!19sChIJ8VGabAAx1zsRMDVC87DATTk?authuser=0&hl=en&rclk=1,https://bansalclassesakola.com,yes,40,no,1,website,has website
Orbinova Academy,IIT JEE coaching,4.7,23,8830723094,8830723094,"New Radhakisan Plots, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/Orbinova+Academy/data=!4m7!3m6!1s0x3bd731b02581ee2f:0xd857594f97a959be!8m2!3d20.7112488!4d77.0083092!16s%2Fg%2F11vhfwn2js!19sChIJL-6BJbAx1zsRvlmpl09ZV9g?authuser=0&hl=en&rclk=1,https://orbinovaacademy.com,yes,40,no,1,website,has website
Physics Wallah Vidyapeeth Coaching Center Akola IIT JEE NEET & Foundation,1st to 12th classes,4.7,363,8045682665,8045682665,"3rd Floor, Infront of Pantaloons store, Yamuna Business Park, Murtizapur Rd, Kirti Nagar, Akola, Maharashtra 444001",Akola,,,"https://www.google.com/maps/place/Physics+Wallah+Vidyapeeth+Coaching+Center+Akola+%7C+IIT+JEE,+NEET+%26+Foundation/data=!4m7!3m6!1s0x3bd731cf52717179:0xac39e5b8f17284cd!8m2!3d20.6996094!4d77.0136432!16s%2Fg%2F11w92l71l9!19sChIJeXFxUs8x1zsRzYRy8bjlOaw?authuser=0&hl=en&rclk=1",https://pw.live,yes,40,no,2,website,has website
Inspire English Academy,Spoken English classes,4.9,319,8983337331,8983337331,"Shahina Plaza, Kala Maruti Rd, Dagdi Pul, Shivaji Nagar, Akola, Maharashtra 444002",Akola,,,https://www.google.com/maps/place/Inspire+English+Academy+-+Best+Spoken+English+Class/data=!4m7!3m6!1s0x3bd7315ab6f1bdc9:0x4b4a64bb8af7fdc9!8m2!3d20.7085967!4d76.9917309!16s%2Fg%2F11j3t0w_mv!19sChIJyb3xtlox1zsRyf33irtkSks?authuser=0&hl=en&rclk=1,http://inspireenglishacademy.com,yes,37,no,1,website,has website
Brds Akola,IIT JEE coaching,5.0,152,9512357598,9512357598,"2Floor, Tatyaji Sankul, Main Road, Raut Wadi, Ranpise Nagar, Akola, Maharashtra 444005",Akola,,,https://www.google.com/maps/place/BRDS+Akola+-+NID+NIFT+UCEED+%26+NATA+Coaching+Classes/data=!4m7!3m6!1s0x3bd72ff6b89aa647:0xf46f1cb5f03d9e53!8m2!3d20.7122232!4d77.0160735!16s%2Fg%2F11l776ykn6!19sChIJR6aauPYv1zsRU5498LUcb_Q?authuser=0&hl=en&rclk=1,https://rathoredesign.com,yes,35,no,1,website,has website
Padhye Education,NEET coaching,4.5,84,9021715859,9021715859,"J2WP 9GQ, Barshitakli Rd, Kanheri, Maharashtra 444401",Akola,Barshitakli,,https://www.google.com/maps/place/Padhye+Education/data=!4m7!3m6!1s0x3bd72d4dcb785859:0xf10bcad6ab106a94!8m2!3d20.6459719!4d77.036367!16s%2Fg%2F11qqj20236!19sChIJWVh4y00t1zsRlGoQq9bKC_E?authuser=0&hl=en&rclk=1,http://padhyeeducation.com,yes,35,no,1,website,has website
Pace Akola Oke Sir's Tution,IIT JEE coaching,4.2,217,9022971112,9022971112,"Vidya Bhavan, Shri Hari Nagar Road, Nanasaheb Patil Nagar, Jatharpeth, Akola, Maharashtra 444005",Akola,,,https://www.google.com/maps/place/PACE+AKOLA+%28Oke+Sir%27s+tution%29/data=!4m7!3m6!1s0x3bd72e1864ef463b:0xdf261e78a396ace0!8m2!3d20.7171617!4d77.0194498!16s%2Fg%2F1tm0rm6p!19sChIJO0bvZBgu1zsR4KyWo3geJt8?authuser=0&hl=en&rclk=1,https://iitianspace.com,yes,35,no,1,website,has website
Elite Music Academy,Music classes,4.9,151,7030302651,7030302651,"behind Bara Jyotirlinga Temple, Ranpise Nagar, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/Elite+Music+Academy/data=!4m7!3m6!1s0x3bd72e1c08bebb7d:0x78aec15bef9aedf8!8m2!3d20.7105659!4d77.0158617!16s%2Fg%2F11fzfbzd6m!19sChIJfbu-CBwu1zsR-O2a71vBrng?authuser=0&hl=en&rclk=1,https://akolaelitemusic.online,yes,32,no,1,website,has website
Sonbhi Guitar Academy,Music classes,4.9,164,9422161587,9422161587,"Govt.Dairy Road, Beside Dawale College, Jawahar Nagar Rd, near Sonone Hospital, Akola, Maharashtra 444001",Akola,Akola,,https://www.google.com/maps/place/Sonbhi+guitar+academy/data=!4m7!3m6!1s0x3bd72e1b326c16cd:0x22fb5738505cfb9d!8m2!3d20.7058937!4d77.0176332!16s%2Fg%2F11cn3jwppn!19sChIJzRZsMhsu1zsRnftcUDhX-yI?authuser=0&hl=en&rclk=1,https://youtube.com,yes,32,no,1,youtube,has youtube
Swar Academy,Music classes,4.9,223,9921304300,9921304300,"Tapadia Nagar, Akola, Maharashtra 444005",Akola,,,https://www.google.com/maps/place/Swar+Academy/data=!4m7!3m6!1s0x3bd72e202b6d16b1:0xa845bb20e11836d5!8m2!3d20.7174329!4d77.0107362!16s%2Fg%2F11c5bjzvfj!19sChIJsRZtKyAu1zsR1TYY4SC7Rag?authuser=0&hl=en&rclk=1,http://swaracademy.com,yes,32,no,1,website,has website
Soneji Coaching Classes Akola,1st to 12th classes,4.8,117,9860062631,9860062631,"Tapadia Nagar, Akola, Maharashtra 444005",Akola,,,"https://www.google.com/maps/place/Soneji+Coaching+Classes,+Akola/data=!4m7!3m6!1s0x3bd72ff2506464eb:0x8869d93883cdeca7!8m2!3d20.7190354!4d77.0108728!16s%2Fg%2F11h6wrr3fm!19sChIJ62RkUPIv1zsRp-zNgzjZaYg?authuser=0&hl=en&rclk=1",http://sonejicoachingclasses.com,yes,32,no,1,website,has website
