business_name,category,rating,reviews,phone,whatsapp,full_address,district,taluka,city,maps_link,website,has_website,lead_score,premium_lead,branch_count,digital_presence,rejection_reason
Agrawal's Professional Academy Apa,1st to 12th classes,5.0,80,9860792522,9860792522,"Agrawal's Professional Academy (APA, near Manibai Gujrati School, Amba Peth, Amravati, Maharashtra 444601",Amravati,,,https://www.google.com/maps/place/AGRAWAL%27S+PROFESSIONAL+ACADEMY+%28APA%29/data=!4m7!3m6!1s0x3bd6a5c0b01ca1a1:0xaef18533de78822d!8m2!3d20.9260264!4d77.7561281!16s%2Fg%2F11t3vmcybn!19sChIJoaEcsMCl1jsRLYJ43jOF8a4?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,
Aniket Thakare Chemistry Classes,1st to 12th classes,5.0,270,9890911383,9890911383,"Rajapeth - Irwin Square Flyover, beside Rohit Vadewale, near Samarth High School, Deorankar Nagar, Sharda Vihar, Amravati, Maharashtra 444605",Amravati,,,https://www.google.com/maps/place/Aniket+Thakare+Chemistry+Classes+-+Best+JEE+Coaching+Classes+In+Amravati+%7C+Best+NEET+Coaching+Classes+In+Amravati+%7C+MHT-CET/data=!4m7!3m6!1s0x3bd6a56b2da87eb3:0x5a99dc042310bda8!8m2!3d20.9169834!4d77.7516255!16s%2Fg%2F11sswp5_gv!19sChIJs36oLWul1jsRqL0QIwTcmVo?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,
Creative Academy,1st to 12th classes,5.0,31,7350710712,7350710712,"K L College Rd, Panchavati, Amravati, Maharashtra 444603",Amravati,,,https://www.google.com/maps/place/Creative+Academy/data=!4m7!3m6!1s0x3bd6a35e944ff01d:0xb675d2904670b329!8m2!3d20.941351!4d77.764025!16s%2Fg%2F11tjy87kbv!19sChIJHfBPlF6j1jsRKbNwRpDSdbY?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,
Dr Madhuri Gulhane's Biology Uccb Amravati Best NEET Biology Amravati,NEET coaching,5.0,64,7709161757,7709161757,"Prashant Bapat, Dr. Madhuri Gulhane Biology, C/o, Sharda Nagar, UCCB, Amravati, Maharashtra 444605",Amravati,,,https://www.google.com/maps/place/Dr+Madhuri+Gulhane%27s+Biology+UCCB+Amravati+Best+NEET+Biology+Amravati/data=!4m7!3m6!1s0x3bd6a3a9b73b540f:0x99736d5c805adee5!8m2!3d20.9183927!4d77.7489633!16s%2Fg%2F11hy_82_0_!19sChIJD1Q7t6mj1jsR5d5agFxtc5k?authuser=0&hl=en&rclk=1,,no,100,yes,1,none_found,
Gurukul Classes Amravati,HSC Classes,5.0,20,9823113272,9823113272,"Shivaji commercial complex, 3 rd floor Ravi nagar square, Maharashtra 444605",Amravati,Bhatkuli,,"https://www.google.com/maps/place/Gurukul+Classes,+Amravati/@20.9166853,77.749009,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd6a523e5c168d1:0xaf31af9242f5fff2!8m2!3d20.9166853!4d77.749009!16s%2Fg%2F11sp933skl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUyNy4wIKXMDSoASAFQAw%3D%3D",,no,100,no,1,none_found,
Jayhari Shep Physics Classes,1st to 12th classes,5.0,251,8975738087,8975738087,"near Samrtha High School, Deorankar Nagar, Devankar Nagar, Amravati, Maharashtra 444605",Amravati,,,https://www.google.com/maps/place/Jayhari+Shep+physics+classes/data=!4m7!3m6!1s0x3bd6a51f272ccf17:0x8dd89a90a60a10de!8m2!3d20.9178433!4d77.7520711!16s%2Fg%2F11h4qhv_gx!19sChIJF88sJx-l1jsR3hAKppCa2I0?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,
Kushwah Sir Concept Of Chemistry,1st to 12th classes,5.0,65,8208614452,8208614452,"1/1, Shilangan Rd, near ravi nagar, Ganesh Colony, Amravati, Maharashtra 444605",Amravati,,,https://www.google.com/maps/place/Kushwah+Sir+Concept+of+Chemistry/data=!4m7!3m6!1s0x3bd6a5fcec094629:0x3a513257a0760020!8m2!3d20.9211763!4d77.7483581!16s%2Fg%2F11v9_swss6!19sChIJKUYJ7Pyl1jsRIAB2oFcyUTo?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,
Mentor Spoken English Class,Spoken English,5.0,405,9372345462,9372345462,"MENTOR, Beside Gurukul Classes, Shivaji Commercial Centre, Ravi Nagar, Amravati, Maharashtra 444605",Amravati,Achalpur,,"https://www.google.com/maps/place/MENTOR+SPOKEN+ENGLISH+CLASS/@20.9157223,77.7496181,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd6a4b72aba751d:0x3b5fea7e50c7e177!8m2!3d20.9157223!4d77.7496181!16s%2Fg%2F11cs9mcg10?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUyNy4wIKXMDSoASAFQAw%3D%3D",,no,100,yes,2,none_found,
Nucleon Coaching Center,1st to 12th classes,5.0,31,8275288882,8275288882,"Rathi Nagar, Gadge Nagar, Amravati, Maharashtra 444603",Amravati,,,https://www.google.com/maps/place/Nucleon+Coaching+Center/data=!4m7!3m6!1s0x3bd6a3e1d61ca88b:0x210ac3bfe14db829!8m2!3d20.9505985!4d77.7660941!16s%2Fg%2F11xtglwq14!19sChIJi6gc1uGj1jsRKbhN4b_DCiE?authuser=0&hl=en&rclk=1,,no,100,yes,2,none_found,
Range Sir Biology Classes,1st to 12th classes,5.0,88,8149694591,8149694591,"Sharda Nagar, near Samartha high school, Deorankar Nagar, Sharda Vihar, Amravati, Maharashtra 444605",Amravati,,,https://www.google.com/maps/place/Range+Sir+Biology+Classes+-+Best+Biology+Classes+In+Amravati+%7C+NEET+Classes+In+Amravati+%7C+CET+Classes+Amravati/data=!4m7!3m6!1s0x3bd6a54ff9ea3ba3:0x2e118e0f3e34ecf5!8m2!3d20.9178423!4d77.7520915!16s%2Fg%2F11syw_r734!19sChIJozvq-U-l1jsR9ew0Pg-OES4?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,
Rg Classes 11th 12th Commerce Classes,1st to 12th classes,5.0,112,8380885566,8380885566,"2nd floor, Gandhi Complex, near Satidham temple, Amrawati Tahsil, Amravati, Maharashtra 444601",Amravati,,,"https://www.google.com/maps/place/RG+Classes+11th+12th+Commerce+Classes+,+CA+Classes+Amravati/data=!4m7!3m6!1s0x3bd6a50121523205:0x4c4de5a799c9cdf7!8m2!3d20.9292155!4d77.7565492!16s%2Fg%2F11h6g2c_7_!19sChIJBTJSIQGl1jsR983JmaflTUw?authuser=0&hl=en&rclk=1",,no,100,no,1,none_found,
Bhuyar Sir Educare,1st to 12th classes,4.9,134,9420123994,9420123994,"Plot no. 12B, Priya Park, near Khana Khazana, Navsaari, Amravati, Maharashtra 444604",Amravati,,,https://www.google.com/maps/place/Bhuyar+Sir+Educare/data=!4m7!3m6!1s0x3bd6bdc620bc1e93:0x80e0281b0b4f434f!8m2!3d20.9742868!4d77.7399714!16s%2Fg%2F11n8sww8wg!19sChIJkx68IMa91jsRT0NPCxso4IA?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,
Dnyaneshwari English Classes,English Speaking Classes,4.9,30,9021973881,9021973881,"VMV Rd, Vidyut Nagar, Vijay Colony, Amravati, Maharashtra 444604",Amravati,Bhatkuli,,"https://www.google.com/maps/place/Dnyaneshwari+English+Classes/@20.9673198,77.7499356,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd6a36ac1fc54dd:0x3e3c87babcaec20b!8m2!3d20.9673198!4d77.7499356!16s%2Fg%2F11pq5klrgp?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUyNy4wIKXMDSoASAFQAw%3D%3D",,no,100,no,1,none_found,
