business_name,category,rating,reviews,phone,whatsapp,full_address,district,taluka,city,maps_link,website,has_website,lead_score,premium_lead,branch_count,digital_presence,rejection_reason
Maya Centre For Learning,IIT JEE coaching,4.8,31,,,"Nasik ka plot, Chhatri Talao Road, Amravati-444601, Bapu Colony, Amravati, Maharashtra 444606",Amravati,,,https://www.google.com/maps/place/Maya+Centre+For+Learning/data=!4m7!3m6!1s0x3bd6a56868a5474b:0xa9a82c883cff1d03!8m2!3d20.9125422!4d77.7630301!16s%2Fg%2F11h49kp3w5!19sChIJS0elaGil1jsRAx3_PIgsqKk?authuser=0&hl=en&rclk=1,,no,100,no,2,none_found,missing valid mobile or WhatsApp
Maya Centre For Learning,NEET Coaching,4.8,31,,,"Nasik ka plot, Chhatri Talao Road, Amravati-444601, Bapu Colony, Amravati, Maharashtra 444606",Amravati,Amravati,,"https://www.google.com/maps/place/Maya+Centre+For+Learning/@20.9125422,77.7630301,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd6a56868a5474b:0xa9a82c883cff1d03!8m2!3d20.9125422!4d77.7630301!16s%2Fg%2F11h49kp3w5?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUyNy4wIKXMDSoASAFQAw%3D%3D",,no,100,no,2,none_found,missing valid mobile or WhatsApp
Motion Education Amravati,1st to 12th classes,4.0,49,9607768696,9607768696,"3rd Floor, Motion Education Amravati Office, near Vidyabharti college camp Vidyabharti College Road Campus, Maltekdi, Amravati, Maharashtra 444602",Amravati,,,https://www.google.com/maps/place/Motion+Education+Amravati/data=!4m7!3m6!1s0x3bd6a5d9af829563:0x49143907268b095!8m2!3d20.9373208!4d77.7739874!16s%2Fg%2F11shx4_976!19sChIJY5WCr9ml1jsRlbBocpBDkQQ?authuser=0&hl=en&rclk=1,,no,100,no,2,none_found,rating below 4.2 or missing
Ccit Banking Institute Amravati,CET coaching,4.9,294,7219596555,7219596555,"2nd floor, GULSHAN PLAZA, Badnera Rd, Rajapeth, Sharda Vihar, Amravati, Maharashtra 444601",Amravati,,,https://www.google.com/maps/place/CCIT+BANKING+INSTITUTE+AMRAVATI/data=!4m7!3m6!1s0x3bd6a58b6cef3419:0xf332a123c089bded!8m2!3d20.9185134!4d77.7539012!16s%2Fg%2F11fhzzvclx!19sChIJGTTvbIul1jsR7b2JwCOhMvM?authuser=0&hl=en&rclk=1,,no,95,no,1,none_found,outside target niche
Chanakya Academy,1st to 12th classes,5.0,39,,,"Rajapeth, Vivekanand Colony, Amravati, Maharashtra 444606",Amravati,,,https://www.google.com/maps/place/CHANAKYA+Academy/data=!4m7!3m6!1s0x3bd6a5001a136ee3:0xbf582ff9ec0c32a6!8m2!3d20.9206584!4d77.7592047!16s%2Fg%2F11vxphvlgy!19sChIJ424TGgCl1jsRpjIM7PkvWL8?authuser=0&hl=en&rclk=1,,no,92,no,1,none_found,missing valid mobile or WhatsApp
Dnyaneshwari English Classes,1st to 12th classes,4.9,30,,,"VMV Rd, Vidyut Nagar, Vijay Colony, Amravati, Maharashtra 444604",Amravati,,,https://www.google.com/maps/place/Dnyaneshwari+English+Classes/data=!4m7!3m6!1s0x3bd6a36ac1fc54dd:0x3e3c87babcaec20b!8m2!3d20.9673198!4d77.7499356!16s%2Fg%2F11pq5klrgp!19sChIJ3VT8wWqj1jsRC8KuvLqHPD4?authuser=0&hl=en&rclk=1,,no,92,no,1,none_found,missing valid mobile or WhatsApp
Yawalkar Tutorials,1st to 12th classes,4.9,90,,,"J.D. Complex, Kolhatkar Karyalaya, Ram mandir, Rajapeth, Amravati, Maharashtra 444605",Amravati,,,https://www.google.com/maps/place/YAWALKAR+TUTORIALS/data=!4m7!3m6!1s0x3bd6a4b083bb7a69:0xc2167a1ba99cb6d1!8m2!3d20.9208551!4d77.756365!16s%2Fg%2F11c2lcvqpj!19sChIJaXq7g7Ck1jsR0bacqRt6FsI?authuser=0&hl=en&rclk=1,,no,92,no,1,none_found,missing valid mobile or WhatsApp
Convergence Education Academy,1st to 12th classes,4.1,23,7559484667,7559484667,"Anandwadi, near Deshmukh hardware in front essar petrol pump, Amravati, Maharashtra 444604",Amravati,,,https://www.google.com/maps/place/CONVERGENCE+EDUCATION+ACADEMY/data=!4m7!3m6!1s0x3bd6a3dea56b7a25:0x3d08e7084c27a1aa!8m2!3d20.970066!4d77.7567027!16s%2Fg%2F11rr15k0vz!19sChIJJXprpd6j1jsRqqEnTAjnCD0?authuser=0&hl=en&rclk=1,,no,92,no,1,none_found,rating below 4.2 or missing
Gravity Educare IIT JEE NEET Physics And Maths & Maths Classes,IIT JEE coaching,4.0,18,9890774811,9890774811,"Ambika Nagar Road, behind Manekar Hospital, near Sabnis plot, Rajapeth, Dastur Nagar, Amravati, Maharashtra 444606",Amravati,,,https://www.google.com/maps/place/Gravity+Educare+%7C+IIT+JEE+NEET+%7C+Physics+and+maths+%26+Maths+classes/data=!4m7!3m6!1s0x3bd6a4ba50fb4469:0x5c3f31f0c8125566!8m2!3d20.918572!4d77.7614808!16s%2Fg%2F11c2kgnwty!19sChIJaUT7ULqk1jsRZlUSyPAxP1w?authuser=0&hl=en&rclk=1,,no,85,no,1,none_found,rating below 4.2 or missing
Jijau Coaching Classes,JEE Coaching,,,8983782412,8983782412,"Sangai Plot, Civil Line, near Co-Oprative Bank, Anjangaon Surji, Anjangaon, Maharashtra 444705",Amravati,Anjangaon Surji,,"https://www.google.com/maps/place/Jijau+Coaching+Classes/@21.1638161,77.316966,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd6e5b59cea28cf:0x9cfd794bbc8f6b16!8m2!3d21.1638161!4d77.316966!16s%2Fg%2F11xsbdl10g?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUyNy4wIKXMDSoASAFQAw%3D%3D",,no,85,no,1,none_found,rating below 4.2 or missing
