business_name,category,rating,reviews,phone,whatsapp,full_address,district,taluka,city,maps_link,source_google_maps_url,website,has_website,search_query,export_timestamp,lead_score,premium_lead,branch_count,digital_presence,rejection_reason
Dr. Moin Academy,JEE Coaching,4.7,31,,,"Vitthal Rukmini Chouk, Anand Nagar, Ambajogai, Maharashtra 431517",Beed,Ambejogai,,"https://www.google.com/maps/place/DR.+MOIN+ACADEMY+(NEET%2FJEE%2FCET)/@18.7283741,76.3931856,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc55e63ffffffff:0x3193f9841bc81c2a!8m2!3d18.7283741!4d76.3931856!16s%2Fg%2F11hz7cxnwd?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","https://www.google.com/maps/place/DR.+MOIN+ACADEMY+(NEET%2FJEE%2FCET)/@18.7283741,76.3931856,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc55e63ffffffff:0x3193f9841bc81c2a!8m2!3d18.7283741!4d76.3931856!16s%2Fg%2F11hz7cxnwd?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",,no,"JEE Coaching in Ambejogai, Maharashtra",2026-06-10 07:02:03,100,no,1,none_found,missing valid mobile or WhatsApp
Ypc Classes Ambajogai,NEET Coaching,4.1,26,9860006120,9860006120,"near maitri apartment, Anand Nagar, Ambajogai, Maharashtra 431517",Beed,Ambejogai,,"https://www.google.com/maps/place/YPC+CLASSES+Ambajogai/@18.7293215,76.39408,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc55e5ec92322a3:0x23a66b2c436bd9cc!8m2!3d18.7293215!4d76.39408!16s%2Fg%2F11cn974hvq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","https://www.google.com/maps/place/YPC+CLASSES+Ambajogai/@18.7293215,76.39408,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc55e5ec92322a3:0x23a66b2c436bd9cc!8m2!3d18.7293215!4d76.39408!16s%2Fg%2F11cn974hvq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",,no,"NEET Coaching in Ambejogai, Maharashtra",2026-06-10 07:02:03,100,no,1,none_found,rating below 4.2 or missing
Jidnyasa Career Academy Beed.,IELTS TOEFL Classes,4.5,47,,,"NATYAGRUH ROAD, near PARNERKAR TEMPLE SIDE OF LOTUS HOSPITAL, Bhaya Nagar, Datta Nagar, Beed, Maharashtra 431122",Beed,,,"https://www.google.com/maps/place/Jidnyasa+Career+Academy+Beed./@18.9875112,75.7470059,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc52ac3b07cb76b:0x1f811062c5de7341!8m2!3d18.9875112!4d75.7470059!16s%2Fg%2F11ddxv2vj6?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","https://www.google.com/maps/place/Jidnyasa+Career+Academy+Beed./@18.9875112,75.7470059,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc52ac3b07cb76b:0x1f811062c5de7341!8m2!3d18.9875112!4d75.7470059!16s%2Fg%2F11ddxv2vj6?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",,no,"IELTS TOEFL Classes in Beed, Maharashtra",2026-06-10 07:02:03,92,no,1,none_found,missing valid mobile or WhatsApp
Vidyasagar Classes,IIT JEE Classes,4.3,6,,,"Tuition Area, H-N-9-776, Anand Nagar, Ambajogai, Maharashtra 431515",Beed,Ambejogai,,"https://www.google.com/maps/place/Vidyasagar+Classes/@18.7281581,76.3930798,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc55f60d660633d:0x32b84fad46d4b564!8m2!3d18.7281581!4d76.3930798!16s%2Fg%2F11kpgm0q4r?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","https://www.google.com/maps/place/Vidyasagar+Classes/@18.7281581,76.3930798,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc55f60d660633d:0x32b84fad46d4b564!8m2!3d18.7281581!4d76.3930798!16s%2Fg%2F11kpgm0q4r?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",,no,"IIT JEE Classes in Ambejogai, Maharashtra",2026-06-10 07:02:03,85,no,1,none_found,missing valid mobile or WhatsApp
Jadhav Coaching Classes,IIT JEE Classes,4.0,6,9822042774,9822042774,"P9HQ RR5, सायगाव नाका, Jaywanti Nagar, Ambajogai, Maharashtra 431515",Beed,Ambejogai,,"https://www.google.com/maps/place/JADHAV+COACHING+CLASSES/@18.7295176,76.3896179,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc55e5e5f243b53:0xab099aa7af14a570!8m2!3d18.7295176!4d76.3896179!16s%2Fg%2F11c2kgh660?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","https://www.google.com/maps/place/JADHAV+COACHING+CLASSES/@18.7295176,76.3896179,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc55e5e5f243b53:0xab099aa7af14a570!8m2!3d18.7295176!4d76.3896179!16s%2Fg%2F11c2kgh660?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",,no,"IIT JEE Classes in Ambejogai, Maharashtra",2026-06-10 07:02:03,85,no,1,none_found,rating below 4.2 or missing
Rai Education,JEE Coaching,4.9,8,,,"in front of Reliance petrol pump, Jaywanti Nagar, Ambajogai, Maharashtra 431517",Beed,Ambejogai,,"https://www.google.com/maps/place/RAI+Education+-+NEET+JEE+FOUNDATION+Classes+in+Ambajogai/@18.7313675,76.393363,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc55f87cc35e15f:0x901edd5e2c628f49!8m2!3d18.7313675!4d76.393363!16s%2Fg%2F11yzb6zh55?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","https://www.google.com/maps/place/RAI+Education+-+NEET+JEE+FOUNDATION+Classes+in+Ambajogai/@18.7313675,76.393363,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc55f87cc35e15f:0x901edd5e2c628f49!8m2!3d18.7313675!4d76.393363!16s%2Fg%2F11yzb6zh55?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",,no,"JEE Coaching in Ambejogai, Maharashtra",2026-06-10 07:02:03,80,no,1,none_found,missing valid mobile or WhatsApp
I Can Spoken English Classes,Spoken English,,,8856934323,8856934323,"Bhakti Construction Road, Maharashtra 431122",Beed,,,"https://www.google.com/maps/place/I+CAN+SPOKEN+ENGLISH+CLASSES/@18.9947955,75.7441379,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc52ba375b172af:0x2d0bf746c0a33bcf!8m2!3d18.9947955!4d75.7441379!16s%2Fg%2F11pf5nyd85?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","https://www.google.com/maps/place/I+CAN+SPOKEN+ENGLISH+CLASSES/@18.9947955,75.7441379,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc52ba375b172af:0x2d0bf746c0a33bcf!8m2!3d18.9947955!4d75.7441379!16s%2Fg%2F11pf5nyd85?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",,no,"Spoken English in Beed, Maharashtra",2026-06-10 07:02:03,77,no,1,none_found,rating below 4.2 or missing
Angel English School Morewadi Angel Sahakari Patsanstha Best Digital English School,English Speaking Classes,5.0,2,,,"Rajmata Jijau Chouk, Latur Road, Teacher Colony, Morewadi, Ambajogai, Maharashtra 431517",Beed,Ambejogai,,"https://www.google.com/maps/place/Angel+English+School,+Morewadi+%7C+Angel+Sahakari+Patsanstha+%7C+Best+Digital+English+School/@18.7129977,76.3686437,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc55feaafe52091:0x83f606362139f72c!8m2!3d18.7129977!4d76.3686437!16s%2Fg%2F11z13bf4bp?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","https://www.google.com/maps/place/Angel+English+School,+Morewadi+%7C+Angel+Sahakari+Patsanstha+%7C+Best+Digital+English+School/@18.7129977,76.3686437,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc55feaafe52091:0x83f606362139f72c!8m2!3d18.7129977!4d76.3686437!16s%2Fg%2F11z13bf4bp?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",,no,"English Speaking Classes in Ambejogai, Maharashtra",2026-06-10 07:02:03,72,no,1,none_found,missing valid mobile or WhatsApp
Panchshil Nagar,Music Classes,3.9,40,,,"Panchshil Nagar, Palwan Rd, Beed, Maharashtra 431122",Beed,,,"https://www.google.com/maps/place/Panchshil+Nagar/@18.9801097,75.7464561,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc52b0b079f2c21:0x3dd864d13502a1d6!8m2!3d18.9801097!4d75.7464561!16s%2Fg%2F11rcqfsjt8?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","https://www.google.com/maps/place/Panchshil+Nagar/@18.9801097,75.7464561,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc52b0b079f2c21:0x3dd864d13502a1d6!8m2!3d18.9801097!4d75.7464561!16s%2Fg%2F11rcqfsjt8?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",,no,"Music Classes in Beed, Maharashtra",2026-06-10 07:02:03,72,no,1,none_found,missing valid mobile or WhatsApp; rating below 4.2 or missing
My Milestone Academy For Spoken English & School Play Group To 1 Std,Spoken English,3.8,15,,,"bus stand, Chhatrapati colony,Near Bsnl office D.p road,Behind, Beed, Maharashtra 431122",Beed,,,"https://www.google.com/maps/place/My+Milestone+academy+for+spoken+english+%26+school+(+play+group+to+1+std)/@18.9934323,75.7503064,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc52b0827bc1cd9:0x946f64d149b59f6c!8m2!3d18.9934323!4d75.7503064!16s%2Fg%2F11h7kvx7nn?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","https://www.google.com/maps/place/My+Milestone+academy+for+spoken+english+%26+school+(+play+group+to+1+std)/@18.9934323,75.7503064,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc52b0827bc1cd9:0x946f64d149b59f6c!8m2!3d18.9934323!4d75.7503064!16s%2Fg%2F11h7kvx7nn?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",,no,"Spoken English in Beed, Maharashtra",2026-06-10 07:02:03,52,no,1,none_found,missing valid mobile or WhatsApp; rating below 4.2 or missing
