Business Name,Phone,PHONE_FOUND,Category,District,Taluka,Address,Rating,Reviews,Website,Facebook,Instagram,WhatsApp,Maps URL,Lead Type,lead_status,listing_opened,listing_failure_reason,whatsappStatus,contactedAt,lastMessage,notes,optOut,Export Date
Khot Chemistry Classes Kcc Best Coaching For Pcm Pcb Pcmb & All Competitive Exam Coaching Centre,9637772893,True,JEE Coaching,Beed,Ambejogai,"Vithal Rukmini chouk, Anand Nagar, Ambajogai Rural, Maharashtra 431515",4.7,12,,,,9637772893,"https://www.google.com/maps/place/KHOT+CHEMISTRY+CLASSES+(KCC),+Best+Coaching+For+PCM+%7C+PCB+%7C+PCMB+%26+All+Competitive+Exam+Coaching+Centre/@18.7284944,76.3936487,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc55fb6df42900d:0x90a4d4ae820ba68b!8m2!3d18.7284944!4d76.3936487!16s%2Fg%2F11t2y2zvlf?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Gbc Classes,9405490177,True,JEE Coaching,Beed,Ambejogai,"Ghule's Biology Classes, Aanand nagar, Near maitri Apartment, Anand Nagar, Ambajogai, Maharashtra 431515",4.9,18,,,,9405490177,"https://www.google.com/maps/place/GBC+Classes+-+PCB+%26+PCM/@18.7295442,76.3944398,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc55fdbe3c2e359:0xcbe4ea3c83e2aac6!8m2!3d18.7295442!4d76.3944398!16s%2Fg%2F11qt0hcd53?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Icc Ambajogai,8482924426,True,IIT JEE Classes,Beed,Ambejogai,"Meenatai thackeray chowk, Jaywanti Nagar, Ambajogai, Maharashtra 431515",4.9,63,,,,8482924426,"https://www.google.com/maps/place/ICC+Ambajogai/@18.7281919,76.3874109,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc55e5e03559783:0xdd9ba6d23908970d!8m2!3d18.7281919!4d76.3874109!16s%2Fg%2F11f00d18n2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Mbc Classes Munde Biology Classes Pcb & Pcm In Ambajogai Beed Ambejogai,9657572777,True,JEE Coaching,Beed,Ambejogai,"Vitthal-Rukmini Chowk, Anand Nagar, Ambajogai, Maharashtra 431515",4.7,27,,,,9657572777,"https://www.google.com/maps/place/MBC+Classes%7BMunde+Biology+classes%7D%7C+PCB+%26+PCM+Best+Coaching+Classes+in+Ambajogai+Beed+Ambejogai/@18.7299784,76.3945551,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc55f4b2df06c21:0xa113fe20d64f7b6f!8m2!3d18.7299784!4d76.3945551!16s%2Fg%2F11px9gddb3?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Avnish Metro Brain Abacus And English Phonics Amba Academy Ambajogai,9175570600,True,English Speaking Classes,Beed,Ambejogai,"Jaywanti Nagar, Ambajogai, Maharashtra 431515",5.0,2,,,,9175570600,"https://www.google.com/maps/place/AVNISH+METRO+BRAIN+ABACUS+AND+ENGLISH+PHONICS+(AMBA+ACADEMY)+AMBAJOGAI/@18.7282623,76.3900423,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc55f70b982a943:0xc96b1ed3787fdbf0!8m2!3d18.7282623!4d76.3900423!16s%2Fg%2F11nrw2v3dk?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Everest Math's Classes Ambajogai,7620770064,True,SSC Classes,Beed,Ambejogai,"Prashant Nagar, Jaywanti Nagar, Ambajogai, Maharashtra 431515",5.0,2,,,,7620770064,"https://www.google.com/maps/place/Everest+Math's+Classes+,+Ambajogai/@18.7284366,76.3899824,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc55fb538d9435b:0x1b2d088bac72581e!8m2!3d18.7284366!4d76.3899824!16s%2Fg%2F11vbf0x16l?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Excellent Quest Career Academy,9284644849,True,IELTS TOEFL Classes,Beed,,"Gopan Complex, Canol Road, Kranti Nagar, Beed, Maharashtra 431122",5.0,6,,,,9284644849,"https://www.google.com/maps/place/Excellent+Quest+Career+Academy/@18.9958854,75.7477576,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc52bc1f929c697:0x8b0dff0a5e6c01e6!8m2!3d18.9958854!4d75.7477576!16s%2Fg%2F11kplcpwj4?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Shri Coaching Classes & Abacus Classes Beed.,9421861333,True,IELTS TOEFL Classes,Beed,,"Canal Rd, beside mauli apartment, Dwarkanagari, Shinde Nagar, Beed, Maharashtra 431122",5.0,19,,,,9421861333,"https://www.google.com/maps/place/Shri+coaching+classes+%26+Abacus+classes,+Beed./@19.0040084,75.7479625,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc52b0d0b54c205:0x91c28fd29e2bceb0!8m2!3d19.0040084!4d75.7479625!16s%2Fg%2F11s189px9r?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Speakup Spoken English Academy,9373340075,True,Spoken English,Beed,,"DP Road, near Rajeev Gandhi Chowk, Shriram Nagar, Beed, Maharashtra 431122",5.0,2,,,,9373340075,"https://www.google.com/maps/place/Speakup+Spoken+English+Academy/@18.9944763,75.7471535,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc52bc7ec75d393:0xa712d27b6290a82d!8m2!3d18.9944763!4d75.7471535!16s%2Fg%2F11n6rrgst1?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Times Coaching Classes Beed,9823456056,True,IELTS TOEFL Classes,Beed,,"KSK college road, in front of BHMS college, Kranti Colony, Datta Nagar, Beed, Maharashtra 431122",5.0,3,,,,9823456056,"https://www.google.com/maps/place/Times+coaching+classes+beed/@18.9852497,75.7496852,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc52b78fd3ace15:0xdc9d32e04e51227b!8m2!3d18.9852497!4d75.7496852!16s%2Fg%2F11y4zx49sl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
