Business Name,Phone,PHONE_FOUND,Category,District,Taluka,Address,Rating,Reviews,Website,Facebook,Instagram,WhatsApp,Maps URL,Lead Type,lead_status,listing_opened,listing_failure_reason,whatsappStatus,contactedAt,lastMessage,notes,optOut,Export Date
Guru Academy Best NEET And JEE Coaching,9423758015,True,JEE Classes,Beed,Dharur,"chauk munde shoping centre, Near, Chatrapathi Shivaji Maharaj Cir, Kalamb, Maharashtra 413507",5.0,1,,,,9423758015,https://www.google.com/maps/place/Guru+Academy+%28Best+NEET+and+JEE+coaching%29/data=!4m7!3m6!1s0x3bc515a4496f4e8b:0xcbed9fd56f1b4c29!8m2!3d18.5767714!4d76.0229213!16s%2Fg%2F11z7lzk60r!19sChIJi05vSaQVxTsRKUwbb9Wf7cs?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Reporter Physics Classes Beed,7350307209,True,NEET Coaching,Beed,Beed,"Pangari Rd, Shahunagar, Beed, Maharashtra 431122",5.0,38,,,,7350307209,"https://www.google.com/maps/place/Reporter+Physics+Classes,Beed/@18.9953938,75.7507601,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc52b63b98d2f8d:0x8cdf95167bf20b15!8m2!3d18.9953938!4d75.7507601!16s%2Fg%2F11x0c35q24?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Lamb's Mathematics Classes,8482954799,True,NEET Coaching,Beed,Beed,"Urvi Capital, Tendulkar's Educational Hub, Pangari Rd, near Umakiran Sankul, Kranti Nagar, Beed, Maharashtra 431122",4.9,73,,,,8482954799,"https://www.google.com/maps/place/Lamb's+Mathematics+Classes+(+IIT+JEE+I+MHTCET+I+FOUNDATION+)/@18.996286,75.749487,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc52b10eea25ccd:0x33dcf7072355d936!8m2!3d18.996286!4d75.749487!16s%2Fg%2F11y9pvdby9?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Biyani Digital Smart Coaching,8600555689,True,JEE Coaching,Beed,Dharur,"2nd Floor,Jalatarn Talav, Near Lokmat Office,Shivaji Maharaj Stadium, Beed, Maharashtra 431122",4.6,102,,,,8600555689,"https://www.google.com/maps/place/Biyani+Digital+Smart+Coaching/@18.996515,75.756584,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc52ad905ff01fd:0xfd8b3a7f02523b2a!8m2!3d18.996515!4d75.756584!16s%2Fg%2F11g6qdjjd2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Adharsh Spardha Pariksa Classes And Study Room,9673887632,True,Study Center,Beed,Parli,"near by BUS STAND, V, Azad Nagar, Parli Vaijnath, Maharashtra 431515",5.0,3,,,,9673887632,https://www.google.com/maps/place/ADHARSH+SPARDHA+PARIKSA+CLASSES+AND+STUDY+ROOM/data=!4m7!3m6!1s0x3bcff710face4c75:0x9df35b079e8cab7c!8m2!3d18.8496354!4d76.5243698!16s%2Fg%2F11y5vhljhp!19sChIJdUzO-hD3zzsRfKuMngdb850?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Govt.boys Hostel Patoda,6916281531,True,Study Center,Beed,Patoda,"Government Boys Hostel, Patoda, Maharashtra 414204",5.0,2,,,,6916281531,https://www.google.com/maps/place/GOVT.BOYS+HOSTEL+PATODA/data=!4m7!3m6!1s0x3bc4c57ca254fbfb:0x1929af33ace6c60d!8m2!3d18.793089!4d75.4972605!16s%2Fg%2F11tmjjg4g0!19sChIJ-_tUonzFxDsRDcbmrDOvKRk?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Learning Ladder Reading Study Class,8390089132,True,Study Center,Beed,Kaij,"Umari road, sahyog nagar, Shikshak Colony, Kaij, Maharashtra 431123",5.0,1,,,,8390089132,https://www.google.com/maps/place/Learning+ladder+reading+%2Fstudy+class/data=!4m7!3m6!1s0x3bc53febdba593d3:0xd7f4988a8bd8d097!8m2!3d18.7184973!4d76.0554313!16s%2Fg%2F11x1fg82wj!19sChIJ05Ol2-s_xTsRl9DYi4qY9Nc?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
New Shriram Abhyashika,9604044818,True,Study Center,Beed,Majalgaon,"Shop No 6, Kalptaru Complex, Gadi Road, near Axix Bank, Gadi Rd, Swami Vivekananda Nagar, Bank Colany, Majalgaon, Maharashtra 431131",5.0,7,,,,9604044818,https://www.google.com/maps/place/New+Shriram+Abhyashika/data=!4m7!3m6!1s0x3bdab15b5aebf875:0xb1882f8e0e635ef5!8m2!3d19.1653434!4d76.2029452!16s%2Fg%2F11xs7w6gfp!19sChIJdfjrWlux2jsR9V5jDo4viLE?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Results,8698146099,True,Study Center,Beed,Ambejogai,"MUNDADA HOUSE, FRONT OF NANDKISHORJI, RING ROAD, Kalpana Colony, Ganesh Nagar, Ambajogai, Maharashtra 431517",5.0,219,,,,8698146099,"https://www.google.com/maps/place/STUDY+HUB+ABHYASIKA+1+%E0%A4%B8%E0%A5%8D%E0%A4%9F%E0%A4%A1%E0%A5%80+%E0%A4%B9%E0%A4%AC+%E0%A4%85%E0%A4%AD%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B8%E0%A4%BF%E0%A4%95%E0%A4%BE/@18.7337167,76.3728968,15z/data=!4m10!1m2!2m1!1sStudy+Center+in+Ambejogai,+Maharashtra!3m6!1s0x3bc55f0dab6b7957:0x1dd6c1076d488865!8m2!3d18.7235784!4d76.3827384!15sCiZTdHVkeSBDZW50ZXIgaW4gQW1iZWpvZ2FpLCBNYWhhcmFzaHRyYVonIiVzdHVkeSBjZW50ZXIgaW4gYW1iZWpvZ2FpIG1haGFyYXNodHJhkgEHbGlicmFyeeABAA!16s%2Fg%2F11t0rynwnh?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D",NO_WEBSITE,PARTIAL_LEAD,YES,normal_click: full extraction incomplete,not_contacted,,,,,2026-07-02 20:57:27
Results,9623375627,True,Academy,Beed,Ashti,"Sayyed Nagar, Patoda, Maharashtra 414204",5.0,1,,,,9623375627,"https://www.google.com/maps/place/Sankalp+Coaching+Classes/@18.7797193,70.5463178,7z/data=!4m9!1m2!2m1!1sAcademy+in+Ashti,+Maharashtra!3m5!1s0x3bc4cf9ef4dd3c1f:0xcd20ec81b02f17e8!8m2!3d18.8052198!4d75.4776482!16s%2Fg%2F11n9cqfrwb?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D",NO_WEBSITE,PARTIAL_LEAD,YES,normal_click: full extraction incomplete,not_contacted,,,,,2026-07-02 20:57:27
