business_name,category,rating,reviews,phone,whatsapp,full_address,district,taluka,city,maps_link,website,has_website,lead_score,premium_lead,branch_count,digital_presence,rejection_reason
Prabhas Capital Stock Market Academy,1st to 12th classes,5.0,28,7020521369,7020521369,"Shri Raghukul Bunglow, HNO.2837/31, Canal Rd, Sumati Nagar, Beed, Wasanwadi, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/Prabhas+Capital+Stock+Market+Academy/data=!4m7!3m6!1s0x3bc52da0a56e7b47:0x8319ca17ef7c287f!8m2!3d19.0142688!4d75.747246!16s%2Fg%2F11ssx6g5pq!19sChIJR3tupaAtxTsRfyh87xfKGYM?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,
Reporter Physics Classes Beed,NEET coaching,5.0,36,7350307209,7350307209,"Pangari Rd, Shahunagar, Beed, Maharashtra 431122",Beed,,,"https://www.google.com/maps/place/Reporter+Physics+Classes,Beed/data=!4m7!3m6!1s0x3bc52b63b98d2f8d:0x8cdf95167bf20b15!8m2!3d18.9953938!4d75.7507601!16s%2Fg%2F11x0c35q24!19sChIJjS-NuWMrxTsRFQvyexaV34w?authuser=0&hl=en&rclk=1",,no,100,yes,1,none_found,
Vidyamandir Career Institute,1st to 12th classes,5.0,68,8380000919,8380000919,"Pangari Rd, opposite to Umakiran Educational Complex, Shahunagar, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/VIDYAMANDIR+Career+Institute/data=!4m7!3m6!1s0x3bc52bcfc7348123:0x638a4402b08eb833!8m2!3d18.9963986!4d75.7501984!16s%2Fg%2F11x8jp5ks9!19sChIJI4E0x88rxTsRM7iOsAJEimM?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,
Lamb's Mathematics Classes,IIT JEE coaching,4.9,73,8482954799,8482954799,"Urvi Capital, Tendulkar's Educational Hub, Pangari Rd, near Umakiran Sankul, Kranti Nagar, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/Lamb%27s+Mathematics+Classes+%28+IIT+JEE+I+MHTCET+I+FOUNDATION+%29/data=!4m7!3m6!1s0x3bc52b10eea25ccd:0x33dcf7072355d936!8m2!3d18.996286!4d75.749487!16s%2Fg%2F11y9pvdby9!19sChIJzVyi7hArxTsRNtlVIwf33DM?authuser=0&hl=en&rclk=1,,no,100,yes,1,none_found,
Sk.s Class,1st to 12th classes,4.9,21,9545094647,9545094647,"Gaya nagar, Jalna - Beed Rd, Sanskar Colony, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/Sk.S+Class/data=!4m7!3m6!1s0x3bc52ad3c04755bf:0x6ea3d1f7fcf82826!8m2!3d19.0069552!4d75.7532142!16s%2Fg%2F11bxc5wgkb!19sChIJv1VHwNMqxTsRJij4_PfRo24?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,
Med Excellence Classes,NEET coaching,4.6,11,8999114847,8999114847,"XQM3 2G8, Bir, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/MED-EXCELLENCE+CLASSES/data=!4m7!3m6!1s0x3bc52b913c3e3779:0x3f4618237525fcf5!8m2!3d18.9825417!4d75.7538304!16s%2Fg%2F11q384sy83!19sChIJeTc-PJErxTsR9fwldSMYRj8?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,
Shraddha Coaching Classes,NEET coaching,4.3,23,9404321915,9404321915,"Shikshak Colony Rd, Shriram Nagar, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/Shraddha+Coaching+Classes/data=!4m7!3m6!1s0x3bc52adca6499c3b:0x4a7b7e3393dade40!8m2!3d18.9927727!4d75.7496059!16s%2Fg%2F11c2pj14ms!19sChIJO5xJptwqxTsRQN7akzN-e0o?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,
Universal Education Beed,IIT JEE Classes,4.2,5,9767701002,9767701002,"FIRST FLOOR, CHATRAPATI CAPITAL, NAVGAN COLLEGE ROAD, Mitra Nagar, CHOWK, Beed, Maharashtra 431122",Beed,,,"https://www.google.com/maps/place/UNIVERSAL+EDUCATION+BEED/@18.9863971,75.7487994,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc52b5bfe6bd8d3:0x1d7fd0c882801bf1!8m2!3d18.9863971!4d75.7487994!16s%2Fg%2F11lzh9ymtx?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUyNy4wIKXMDSoASAFQAw%3D%3D",,no,100,no,1,none_found,
Dr.nahar's House Of Biology,1st to 12th classes,5.0,6,9260676188,9260676188,"Umakiran campus, Pangari Rd, in front of Urvi capital, Shriram Nagar, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/Dr.Nahar%27s+House+Of+Biology/data=!4m7!3m6!1s0x3bc52b24bc85f415:0xcb170d9db7b7c408!8m2!3d18.9931119!4d75.749487!16s%2Fg%2F11tnj4f68k!19sChIJFfSFvCQrxTsRCMS3t50NF8s?authuser=0&hl=en&rclk=1,,no,97,no,2,none_found,
Kulkarni Education,IIT JEE coaching,5.0,4,9930434232,9930434232,"Ranganath Krupa, Satwai maidan road, in front of HP Gas agency, Malives, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/Kulkarni+Education/data=!4m7!3m6!1s0x3bc52b5abd7371e1:0xe52dbf19db637046!8m2!3d18.9962995!4d75.7605995!16s%2Fg%2F11j65jjz3d!19sChIJ4XFzvVorxTsRRnBj2xm_LeU?authuser=0&hl=en&rclk=1,,no,95,no,1,none_found,
