Business Name,Phone,PHONE_FOUND,Category,District,Taluka,Address,Rating,Reviews,Website,Facebook,Instagram,WhatsApp,Maps URL,Lead Type,lead_status,listing_opened,listing_failure_reason,whatsappStatus,contactedAt,lastMessage,notes,optOut,Export Date
My Fitness Club Vol.2,9503920468,True,Training Institute,Beed,Dharur,"My Fitness Club, Chhatrapati Shivaji Maharaj market, yaard Telgaon road, Dharur, Maharashtra 431124",4.9,35,,,,9503920468,"https://www.google.com/maps/place/MY+FITNESS+CLUB,vol.2/data=!4m7!3m6!1s0x3bc547adc4577c61:0x23afd9fbf5000470!8m2!3d18.8265275!4d76.1141267!16s%2Fg%2F11kr6shm84!19sChIJYXxXxK1HxTsRcAQA9fvZryM?authuser=0&hl=en&rclk=1",NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Bankers Point,9673969743,True,SSC Classes,Beed,Ambejogai,"Shop No 2 First Floor, Diwanaji Complex, Ambajogai Rd, near Jatal Hospital, Latur, Maharashtra 413531",4.8,233,,,,9673969743,"https://www.google.com/maps/place/Bankers+Point/@18.405942,76.5659602,17z/data=!3m1!4b1!4m6!3m5!1s0x3bcf83ee83a05961:0xe79afb5c1f0be448!8m2!3d18.405942!4d76.5659602!16s%2Fg%2F11hcqmlq08?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Results,9804665555,True,Tuition Classes,Beed,Ashti,"MIDC Road, near sonwane hospital, Maliwada, Ashti, Maharashtra 414203",4.7,22,,,,9804665555,"https://www.google.com/maps/place/Shiv+Computers+Ashti/@18.8064608,70.5576189,7z/data=!4m10!1m2!2m1!1sTuition+Classes+in+Ashti,+Maharashtra!3m6!1s0x3bc4b03ee56880b5:0x86fda32e946ea8d9!8m2!3d18.8060587!4d75.1742052!15sCiVUdWl0aW9uIENsYXNzZXMgaW4gQXNodGksIE1haGFyYXNodHJhkgEYY29tcHV0ZXJfdHJhaW5pbmdfc2Nob29s4AEA!16s%2Fg%2F11f3ctdxbx?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D",NO_WEBSITE,PARTIAL_LEAD,YES,normal_click: full extraction incomplete,not_contacted,,,,,2026-07-02 20:57:27
Komal Computer Institute,9271388382,True,Computer Institute,Beed,Shirur Kasar,"Pune Nagar Road, In front of Police Station Trimurti Complex, Near Kohokade Hospital,A/p Karegaon, Tal Shirur, Dist, Pune, Karegaon, Maharashtra 412220",4.9,48,,,,9271388382,https://www.google.com/maps/place/KOMAL+COMPUTER+INSTITUTE/data=!4m7!3m6!1s0x3bc32900540327cb:0xa1b1452d73f05fc6!8m2!3d18.7810142!4d74.292521!16s%2Fg%2F11lf41xl0k!19sChIJyycDVAApwzsRxl_wcy1FsaE?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Yashosiddhi MPSC Banking Academy,8424079933,True,Competitive Exam Classes,Beed,Shirur Kasar,"Second Floor, Biz Square Apartment, Above Aroma Cafe & Shreya Collection Behind Court Nirman Plaza, Central Hospital Road, Shirur, Maharashtra 412210",5.0,,,,,8424079933,https://www.google.com/maps/place/Yashosiddhi+MPSC%2FBanking+Academy/data=!4m7!3m6!1s0x3bc32dfd9315fd27:0x94d6ecaa3c094c47!8m2!3d18.8238583!4d74.3751991!16s%2Fg%2F11ny2nst70!19sChIJJ_0Vk_0twzsRR0wJPKrs1pQ?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Results,9689915001,True,Computer Institute,Beed,,"Shivaji Dhande Nagar, behind Renu Hospital Road, Tirupati Colony, Swaraj Nagar, Beed, Maharashtra 431122",5.0,56,,,,9689915001,"https://www.google.com/maps/place/Swaraj+Infotech/@18.9904605,75.7271181,14z/data=!4m10!1m2!2m1!1sComputer+Institute+in+Beed,+Maharashtra!3m6!1s0x3bc52b7f5b05569d:0x7be844ffd6fffb80!8m2!3d18.9780984!4d75.7555518!15sCidDb21wdXRlciBJbnN0aXR1dGUgaW4gQmVlZCwgTWFoYXJhc2h0cmFaKCImY29tcHV0ZXIgaW5zdGl0dXRlIGluIGJlZWQgbWFoYXJhc2h0cmGSARBjb21wdXRlcl9zZXJ2aWNlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJDYjA1eVZVRm5FQUXgAQD6AQQIABAt!16s%2Fg%2F11k45w9kp9?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D",NO_WEBSITE,PARTIAL_LEAD,YES,normal_click: full extraction incomplete,not_contacted,,,,,2026-07-02 20:57:27
Swamit Abhyasika Study Hall.,9850813178,True,Study Center,Beed,Shirur Kasar,"behind Yadav Hospital, Baburao Nagar, Shirur, Maharashtra 412210",4.8,,,,,9850813178,https://www.google.com/maps/place/Swamit+Abhyasika%2Fstudy+hall./data=!4m7!3m6!1s0x3bc32ddcffcceac5:0x9d71211711603e1d!8m2!3d18.8158995!4d74.3667728!16s%2Fg%2F11ptv2rr9d!19sChIJxerM_9wtwzsRHT5gERchcZ0?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Results,9423172712,True,Computer Institute,Beed,Ashti,"near Pokale Hospital, Murshadpur, Maharashtra 414203",4.9,15,,,,9423172712,"https://www.google.com/maps/place/Disha+Computers+Ashti/@18.7530246,70.5350167,7z/data=!4m10!1m2!2m1!1sComputer+Institute+in+Ashti,+Maharashtra!3m6!1s0x3bc4b03cc2986ea3:0x7236a63e4fc3809b!8m2!3d18.804661!4d75.1685809!15sCihDb21wdXRlciBJbnN0aXR1dGUgaW4gQXNodGksIE1haGFyYXNodHJhWikiJ2NvbXB1dGVyIGluc3RpdHV0ZSBpbiBhc2h0aSBtYWhhcmFzaHRyYZIBD2xlYXJuaW5nX2NlbnRlcuABAA!16s%2Fg%2F11f5d65z0d?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D",NO_WEBSITE,PARTIAL_LEAD,YES,normal_click: full extraction incomplete,not_contacted,,,,,2026-07-02 20:57:27
Dnyansagar Abhyashika न्यानसागर अभ्यासिका,9196641003,True,Study Center,Beed,Shirur Kasar,"R99C 35M, Behind Vighnharta Hospital Baburaonagar shirur, Dist, Maharashtra 412210",4.0,9,,,,9196641003,https://www.google.com/maps/place/Dnyansagar+Abhyashika+%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%A8%E0%A4%B8%E0%A4%BE%E0%A4%97%E0%A4%B0+%E0%A4%85%E0%A4%AD%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B8%E0%A4%BF%E0%A4%95%E0%A4%BE/data=!4m7!3m6!1s0x3bc32dcff59b3c23:0x1893eb2b0af827cc!8m2!3d18.8177017!4d74.3704264!16s%2Fg%2F11gffkk0sn!19sChIJIzyb9c8twzsRzCf4Civrkxg?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
Dhanshree Computers Maha E Seva Kendra,9370590848,True,Computer Institute,Beed,Majalgaon,"Shop No 03, Bypass Road, in-front of Shatayushi Hospital, By Pass Rd, B and C Colony, Majalgaon, Maharashtra 431131",,3,,,,9370590848,https://www.google.com/maps/place/Dhanshree+Computers+%28+Maha+E+Seva+Kendra+%29/data=!4m7!3m6!1s0x3bdab11455555555:0xa837b99093ab41bd!8m2!3d19.1576164!4d76.2039465!16s%2Fg%2F11pc9y17w_!19sChIJVVVVVRSx2jsRvUGrk5C5N6g?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,not_contacted,,,,,2026-07-02 20:57:27
