business_name,category,rating,reviews,phone,whatsapp,full_address,district,taluka,city,maps_link,website,has_website,lead_score,premium_lead,branch_count,digital_presence,rejection_reason
Physics Wallah Vidyapeeth Pathshala Coaching Center Beed 8th 12th IIT JEE NEET And Dropper MHT CET,1st to 12th classes,4.6,28,7428096975,7428096975,"1st Floor, Physics Wallah Pathshala, Canal Rd, near SBI Bank, next to Surya Lawns, Ambika Chowk, Shivrana Nagar, Beed, Maharashtra 431122",Beed,,,"https://www.google.com/maps/place/Physics+Wallah+Vidyapeeth+Pathshala+Coaching+Center+Beed+%7C+%288th-12th%2B%29+IIT-JEE,NEET+and+Dropper%7C+MHT-CET/data=!4m7!3m6!1s0x3bc52b0cb6590c13:0xc283b9d1a6163b3e!8m2!3d19.0018642!4d75.7487429!16s%2Fg%2F11yb171lfk!19sChIJEwxZtgwrxTsRPjsWptG5g8I?authuser=0&hl=en&rclk=1",https://pw.live,yes,50,no,2,website,has website
Shaheen Knowledge Academy,NEET coaching,4.9,31,8265077177,8265077177,"XQH7 3F9, Bid Rural, Bir, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/Shaheen+Knowledge+Academy/data=!4m7!3m6!1s0x3bc52b54f885ffbd:0xbbf2e84791d2fc76!8m2!3d18.9776614!4d75.7637394!16s%2Fg%2F11jh7bzjv_!19sChIJvf-F-FQrxTsRdvzSkUfo8rs?authuser=0&hl=en&rclk=1,https://shaheengroup.org,yes,40,no,1,website,has website
Rahnuma Coaching & Spoken English With Rahnuma Academy,1st to 12th classes,4.9,133,9096666220,9096666220,"Zum Zum Colony, Bir, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/Rahnuma+Coaching+%26+spoken+English+with+Rahnuma+academy/data=!4m7!3m6!1s0x3bc52ae3cdb57b2d:0xdfb5a53ad43928b0!8m2!3d18.9804008!4d75.757498!16s%2Fg%2F11dymbf0mm!19sChIJLXu1zeMqxTsRsCg51Dqltd8?authuser=0&hl=en&rclk=1,http://rahnumaacademy.in,yes,32,no,1,website,has website
Rai Education NEET JEE Foundation Classes In Beed,1st to 12th classes,4.9,48,9852983333,9852983333,"Infront of BSNL office, Shikshak Colony Rd, Shriram Nagar, Kranti Nagar, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/Rai+Education-+NEET+JEE+FOUNDATION+Classes+in+Beed/data=!4m7!3m6!1s0x4665d7b5f829a43f:0x20835edfb277ae1f!8m2!3d18.9937194!4d75.7508093!16s%2Fg%2F11vz6hwy45!19sChIJP6Qp-LXXZUYRH653st9egyA?authuser=0&hl=en&rclk=1,https://instagram.com,yes,30,no,1,instagram,has instagram
Bansal Classes Pvt. Ltd.,IIT JEE coaching,4.2,30,8003045222,8003045222,"Bajirao Jagtap Complex, Driving School St, Swaraj Nagar, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/Bansal+Classes+Pvt.+Ltd./data=!4m7!3m6!1s0x3bc52b58015bf5c9:0x3777fb6275262c23!8m2!3d18.9819722!4d75.7535595!16s%2Fg%2F11pdxqgy36!19sChIJyfVbAVgrxTsRIywmdWL7dzc?authuser=0&hl=en&rclk=1,https://bansal.ac.in,yes,30,no,1,website,has website
Tulsi College Of Computer Science And Information Technology,1st to 12th classes,4.2,64,9310666651,9310666651,"XPVX Q6X, Shikshak Colony Rd, Adarsh nagar, Kranti Nagar, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/Tulsi+College+of+Computer+Science+and+Information+Technology/data=!4m7!3m6!1s0x3bc52ac4b837e607:0xd9c5dc76d5dded9c!8m2!3d18.9944957!4d75.7481249!16s%2Fg%2F1262n892f!19sChIJB-Y3uMQqxTsRnO3d1Xbcxdk?authuser=0&hl=en&rclk=1,https://tulsicollegeit.in,yes,27,no,1,website,has website
Ramanujan Academy Of Science And Technology,NEET coaching,5.0,3,7979833607,7979833607,"3rd Floor, Ambika Chowk, Canal Rd, above Nandewalikar Saraf Baliraja Complex, Tirupati Colony, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/RAMANUJAN+ACADEMY+OF+SCIENCE+AND+TECHNOLOGY/data=!4m7!3m6!1s0x3bc52b232264ffbd:0x21d9f4cd93de6284!8m2!3d18.9977233!4d75.7479553!16s%2Fg%2F11y9_6r6sd!19sChIJvf9kIiMrxTsRhGLek8302SE?authuser=0&hl=en&rclk=1,https://rasta360.in,yes,25,no,1,website,has website
Avishkar Coaching Classes,IIT JEE coaching,4.4,31,,,"Canara Bank Colony, near Asha cineplex, Bhaya Nagar, Datta Nagar, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/Avishkar+Coaching+Classes/data=!4m7!3m6!1s0x3bc52ae9f2fad93f:0xf5c260bf9b234566!8m2!3d18.9854681!4d75.743514!16s%2Fg%2F1hhg_3sfj!19sChIJP9n68ukqxTsRZkUjm79gwvU?authuser=0&hl=en&rclk=1,https://avishkar.eduapp.in,yes,25,no,1,website,has website; missing valid mobile or WhatsApp
Podar International School Beed Cbse,SSC coaching,4.7,238,6366438026,6366438026,"Navgan Nagari, Jalna - Beed Rd, behind Navgan Plaza, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/Podar+International+School+Beed+%28CBSE%29/data=!4m7!3m6!1s0x3bc52b2ae2c212fd:0x3c378d074e62341d!8m2!3d19.0094652!4d75.7632696!16s%2Fg%2F11b6sbtwfj!19sChIJ_RLC4iorxTsRHTRiTgeNNzw?authuser=0&hl=en&rclk=1,http://podareducation.org,yes,17,no,1,website,has website
Sanjay Ghodawat IIT & Medical Academy,1st to 12th classes,3.3,13,9075001263,9075001263,"Tuljai Niwas, Sanskar Colony, Shahunagar Area, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/Sanjay+Ghodawat+IIT+%26+Medical+Academy/data=!4m7!3m6!1s0x3bcf83ad52dbf66f:0x84d1ad80e50065bc!8m2!3d19.0038915!4d75.7524286!16s%2Fg%2F11jgbz_hxz!19sChIJb_bbUq2DzzsRvGUA5YCt0YQ?authuser=0&hl=en&rclk=1,http://sgima.in,yes,10,no,1,website,has website; rating below 4.2 or missing
