business_name,category,rating,reviews,phone,whatsapp,full_address,district,taluka,city,maps_link,website,has_website,lead_score,premium_lead,branch_count,digital_presence,rejection_reason
Ahuja Classes,1st to 12th classes,5.0,184,9850063399,9850063399,"16/A, Saheti Society, Borude Mala, Balikashram Road, Savedi,, Ahmednagar-414003, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/AHUJA+CLASSES/data=!4m7!3m6!1s0x3bdcb1e5b91abbbd:0x59cf8524edade33!8m2!3d19.1119137!4d74.7275522!16s%2Fg%2F11f61fjy7j!19sChIJvbsaueWx3DsRM97aTlL4nAU?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,
Aims Aryabhatt Institute Of Mathematics & Sciences,1st to 12th classes,5.0,24,8446723960,8446723960,"Gulmohar Rd, near Akshay Jumbo Xerox, New Premdan Hudco, Savedi, Ahilyanagar, Maharashtra 414002",Ahmednagar,,,https://www.google.com/maps/place/AIMS+Aryabhatt+Institute+of+Mathematics+%26+Sciences/data=!4m7!3m6!1s0x3bdcbbbc47d97d27:0xd7b57adbf782f081!8m2!3d19.1204319!4d74.7313898!16s%2Fg%2F11jfcwqc01!19sChIJJ33ZR7y73DsRgfCC99t6tdc?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,
Ambition Science NEET Academy,NEET coaching,5.0,1,9067795407,9067795407,"New Premdan Hudco, Savedi, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/ambition+SCIENCE+NEET+ACADEMY/data=!4m7!3m6!1s0x3bdcba7db60f8e3d:0xeb79055817362c65!8m2!3d19.1203914!4d74.7311846!16s%2Fg%2F11l6tlyvyh!19sChIJPY4Ptn263DsRZSw2F1gFees?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,
Ashish Tattu's Excellence Classes,Spoken English classes,5.0,53,9029349483,9029349483,"Varsha Heights, Gulmohar Rd, opposite BJP Office, Savedi, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/Ashish+Tattu%27s+Excellence+Classes/data=!4m7!3m6!1s0x3bdcba7db6227257:0x750996340347862a!8m2!3d19.1215416!4d74.7368891!16s%2Fg%2F11g892r6j3!19sChIJV3Iitn263DsRKoZHAzSWCXU?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,
Atharva Maths Classes,1st to 12th classes,5.0,37,9890664006,9890664006,"5405, Lonar Lane, Teli Khunt Rd, near Y.Prakash Tailors, Ahilyanagar, Maharashtra 414001",Ahmednagar,,,https://www.google.com/maps/place/Atharva+Maths+Classes/data=!4m7!3m6!1s0x3bdcb114a03b1689:0x9a72d639aa5cf72e!8m2!3d19.0979087!4d74.7379532!16s%2Fg%2F11xlb1d_0m!19sChIJiRY7oBSx3DsRLvdcqjnWcpo?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,
Catalyser,1st to 12th classes,5.0,58,8237658801,8237658801,"Sai Samarth heights, Rasane Nagar, Savedi, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/Catalyser/data=!4m7!3m6!1s0x3bdcbb9cab3b04bf:0xfa66c19ab90fa144!8m2!3d19.1234421!4d74.7301836!16s%2Fg%2F11swzjdbff!19sChIJvwQ7q5y73DsRRKEPuZrBZvo?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,
Dambelkar's Spoken English Classes,1st to 12th classes,5.0,140,7272886565,7272886565,"Amey Apt, Balikashram Rd, near Ganpati Temple, Sudke Mala, Ahilyanagar, Maharashtra 414001",Ahmednagar,,,https://www.google.com/maps/place/Dambelkar%27s+Spoken+English+Classes/data=!4m7!3m6!1s0x3bdcb1dcaf43fa15:0xa498a096ae0ba5bf!8m2!3d19.1072283!4d74.7301741!16s%2Fg%2F11n05jsl50!19sChIJFfpDr9yx3DsRv6ULrpagmKQ?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,
Darkundes Science Classes,1st to 12th classes,5.0,48,9096302244,9096302244,"Bank Colony, Kedgaon, Ahilyanagar, Maharashtra 414005",Ahmednagar,,,https://www.google.com/maps/place/Darkundes+Science+Classes/data=!4m7!3m6!1s0x3bdcb127f90d7467:0x2f86ed0580a534ad!8m2!3d19.0637828!4d74.6990946!16s%2Fg%2F11g027rf5b!19sChIJZ3QN-Sex3DsRrTSlgAXthi8?authuser=0&hl=en&rclk=1,,no,100,no,1,none_found,
I Can Training Institute Ahilyanagar,NEET coaching,5.0,21,8668604127,8668604127,"Tapovan Rd, near Bade Avenue, near Indo Irish Hospital, Dhavan Vasti, Savedi, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/I+Can+Training+Institute+Ahilyanagar/data=!4m7!3m6!1s0x3bdcbb1be50cdd4d:0xbcf880ea706d11bd!8m2!3d19.13999!4d74.7419145!16s%2Fg%2F11ywj62zsp!19sChIJTd0M5Ru73DsRvRFtcOqA-Lw?authuser=0&hl=en&rclk=1,,no,100,yes,1,none_found,
Maths World Academy,IIT JEE coaching,5.0,26,7020844450,7020844450,"Maths World Academy, chowk, Pipeline Rd, opposite to Nakshatra mobile shoppee, Bhistabag, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/Maths+World+Academy/data=!4m7!3m6!1s0x3bdcbb55217d70a1:0x2d01fb4ce017bd04!8m2!3d19.1292841!4d74.7320018!16s%2Fg%2F11fkdyqj07!19sChIJoXB9IVW73DsRBL0X4Ez7AS0?authuser=0&hl=en&rclk=1,,no,100,yes,1,none_found,
