business_name,category,rating,reviews,phone,whatsapp,full_address,district,taluka,city,maps_link,website,has_website,lead_score,premium_lead,branch_count,digital_presence,rejection_reason
Ahuja Classes,1st to 12th classes,5.0,184,9850063399,9850063399,"16/A, Saheti Society, Borude Mala, Balikashram Road, Savedi,, Ahmednagar-414003, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/AHUJA+CLASSES/data=!4m7!3m6!1s0x3bdcb1e5b91abbbd:0x59cf8524edade33!8m2!3d19.1119137!4d74.7275522!16s%2Fg%2F11f61fjy7j!19sChIJvbsaueWx3DsRM97aTlL4nAU?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Atharva Maths Classes,1st to 12th classes,5.0,37,9890664006,9890664006,"5405, Lonar Lane, Teli Khunt Rd, near Y.Prakash Tailors, Ahilyanagar, Maharashtra 414001",Ahmednagar,,,https://www.google.com/maps/place/Atharva+Maths+Classes/data=!4m7!3m6!1s0x3bdcb114a03b1689:0x9a72d639aa5cf72e!8m2!3d19.0979087!4d74.7379532!16s%2Fg%2F11xlb1d_0m!19sChIJiRY7oBSx3DsRLvdcqjnWcpo?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Catalyser,1st to 12th classes,5.0,58,8237658801,8237658801,"Sai Samarth heights, Rasane Nagar, Savedi, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/Catalyser/data=!4m7!3m6!1s0x3bdcbb9cab3b04bf:0xfa66c19ab90fa144!8m2!3d19.1234421!4d74.7301836!16s%2Fg%2F11swzjdbff!19sChIJvwQ7q5y73DsRRKEPuZrBZvo?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Shreee Ganesh Classes,1st to 12th classes,5.0,60,9834768688,9834768688,"Block No-5/4, Nirmal Chamber, Laltaki road, Tarakpur, Ahilyanagar, Maharashtra 414001",Ahmednagar,,,https://www.google.com/maps/place/Shreee+Ganesh+Classes+!/data=!4m7!3m6!1s0x3bdcb06155555555:0xc2c3ca8ce6a03bee!8m2!3d19.1045988!4d74.7363815!16s%2Fg%2F11hbt4tk_7!19sChIJVVVVVWGw3DsR7jug5ozKw8I?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
8 To 10 All Subjects Ahmednagar Vision Academy,1st to 12th classes,4.9,43,8830110501,8830110501,"VISION ACADEMY, Professor Colony Chowk Rd, above LOVELY BAKERY, opposite SAMARTH SCHOOL, Nepti Suburban, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/Best+Coaching+Classes+%7C+8+to+10+%7C+All+Subjects+%7C+Ahmednagar+%7C+Vision+Academy/data=!4m7!3m6!1s0x3bdcba7dea5abf23:0xebadecdf55742870!8m2!3d19.1198772!4d74.7349513!16s%2Fg%2F11f32mrvp7!19sChIJI79a6n263DsRcCh0Vd_sres?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Anomalous Coaching Classes,1st to 12th classes,4.9,445,8857087569,8857087569,"3rd floor, Krushna complex, Pipeline Rd, near Shriram chowk, Savedi, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/ANOMALOUS+COACHING+CLASSES%28IIT-JEE%2FNEET%2FMHT-CET%2FNDA%29/data=!4m7!3m6!1s0x3bdcba89b8bb8e55:0x3d9d71bee93c65cc!8m2!3d19.1253226!4d74.7485084!16s%2Fg%2F11ddxs8c1j!19sChIJVY67uIm63DsRzGU86b5xnT0?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Durekar Science Academy,1st to 12th classes,4.9,162,9595953085,9595953085,"Sona Nagar, Savedi, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/Durekar+Science+Academy/data=!4m7!3m6!1s0x3bdcba62b5ee2a59:0xb853b86b5e0158b8!8m2!3d19.1252293!4d74.7328691!16s%2Fg%2F11td8c60pv!19sChIJWSrutWK63DsRuFgBXmu4U7g?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
J.k. Academy All Subjects Under One Roof,1st to 12th classes,4.9,64,9623685696,9623685696,"Jamkhed Rd, near Army public school, General Vaidya Colony, jakat naka, Darewadi, Maharashtra 414002",Ahmednagar,,,https://www.google.com/maps/place/J.K.+ACADEMY+%28All+subjects+under+one+roof%29/data=!4m7!3m6!1s0x3bdcb154b17c5511:0x449b6e149d5a9b7f!8m2!3d19.0792083!4d74.7713032!16s%2Fg%2F11txjgb67z!19sChIJEVV8sVSx3DsRf5tanRRum0Q?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Jha S Academy,1st to 12th classes,4.9,203,7875100199,7875100199,"Hari Mala, Ahilyanagar - Solapur Rd, opp. Hariom steel, Wakodi Phata, Darewadi, Maharashtra 414002",Ahmednagar,,,https://www.google.com/maps/place/Jha%E2%80%99s+Academy/data=!4m7!3m6!1s0x3bdcb1b9fc93d263:0x792669bb56376693!8m2!3d19.073753!4d74.7584725!16s%2Fg%2F11sr83sv40!19sChIJY9KT_Lmx3DsRk2Y3VrtpJnk?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Karale Math & B K Physics Academy A.ngar,1st to 12th classes,4.9,55,9923222488,9923222488,"3, Sona Nagar, Prashantnagar, Savedi, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,"https://www.google.com/maps/place/Karale+Math+%26+B+K+PHYSICS+ACADEMY,A.NGAR/data=!4m7!3m6!1s0x3bdcba7d31aaa3f7:0x811f3d81922bd59b!8m2!3d19.1241897!4d74.7316935!16s%2Fg%2F11cs5b2w09!19sChIJ96OqMX263DsRm9UrkoE9H4E?authuser=0&hl=en&rclk=1",,no,70,no,1,none_found,
