business_name,category,rating,reviews,phone,whatsapp,full_address,district,taluka,city,maps_link,website,has_website,lead_score,premium_lead,branch_count,digital_presence,rejection_reason
Chetan Sir's Calculus Academy,1st to 12th classes,5.0,70,9022282656,9022282656,"near TWC Gym, near Nimantran hotel, Maratha Nagar, Tapadia Nagar, Akola, Maharashtra 444005",Akola,,,https://www.google.com/maps/place/Chetan+Sir%27s+Calculus+Academy/data=!4m7!3m6!1s0x3bd73150e1d40289:0x81935041d2773079!8m2!3d20.7171997!4d77.0091522!16s%2Fg%2F11v_5gmwvx!19sChIJiQLU4VAx1zsReTB30kFQk4E?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Divya Maam's Chemia Coaching Classes,1st to 12th classes,5.0,108,9325515878,9325515878,"P246 8HC Amankhan Plot, Ranpise Nagar, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/DIVYA+MAAM%27S+CHEMIA+COACHING+CLASSES/data=!4m7!3m6!1s0x3bd7311916f8de35:0x9eca3695c6a76717!8m2!3d20.7058415!4d77.0114264!16s%2Fg%2F11q2rrt002!19sChIJNd74Fhkx1zsRF2enxpU2yp4?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Rise,1st to 12th classes,5.0,52,7373061111,7373061111,"4th Floor, Yamuna Business Park, Kirti Nagar, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/RISE+-+Rathi+Institute+of+Science+Education/data=!4m7!3m6!1s0x3bd72f36cb3a17a7:0x48e791fc7f313eb7!8m2!3d20.6995446!4d77.0135605!16s%2Fg%2F11v5x_c_rp!19sChIJpxc6yzYv1zsRtz4xf_yR50g?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Abhay Mankar Sir's Aim Coaching Classes,1st to 12th classes,4.9,264,8087960606,8087960606,"near New Jain Mandir, behind Siddhivinayak Mandir, Shastri Nagar, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/Abhay+Mankar+Sir%27s+Aim+Coaching+Classes/data=!4m7!3m6!1s0x3bd72f12d19ff871:0xe6cb455fd6c51056!8m2!3d20.7052077!4d77.0150659!16s%2Fg%2F11r9tyhl8j!19sChIJcfif0RIv1zsRVhDF1l9Fy-Y?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Chemguru Science Academy Coaching Class,1st to 12th classes,4.9,40,9970383914,9970383914,"Jawahar chowk, opposite Mother dairy, near patanjali shopee, Ranpise Nagar, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/Chemguru+Science+Academy+%28Coaching+Class%29/data=!4m7!3m6!1s0x3bd731161e5307f5:0xbcbaf2b46f40bee7!8m2!3d20.7075746!4d77.0171866!16s%2Fg%2F11jn4vjh22!19sChIJ9QdTHhYx1zsR575Ab7Tyurw?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Autocrat Coaching Classes,1st to 12th classes,4.8,210,9922960305,9922960305,"Shreeji Apartment, Shreeji Apartment Ratanlal Plot, behind Vidhyut Bhavan, Soni Colony, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/Autocrat+Coaching+Classes/data=!4m7!3m6!1s0x3bd7312b79e138cb:0x8869a3c75fc0a07e!8m2!3d20.712766!4d77.0087428!16s%2Fg%2F11ll0q_1g_!19sChIJyzjheSsx1zsRfqDAX8ejaYg?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Kedia Commerce Classes Kc2,1st to 12th classes,4.8,272,9881331553,9881331553,"Purva Sankul Complex Opp SA College, RLT College Road, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/Kedia+Commerce+Classes+KC2/data=!4m7!3m6!1s0x3bd7314ad195f2db:0x87cf2e788fcc3496!8m2!3d20.7054635!4d77.0063229!16s%2Fg%2F11ghztgp6b!19sChIJ2_KV0Uox1zsRljTMj3guz4c?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Shastrakar Sir's Utkarsh Education Akola,1st to 12th classes,4.7,27,9370811902,9370811902,"Telephone Exchange, Near BSNL Krishi Nagar, Toshniwal Layout, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/Shastrakar+Sir%27s+Utkarsh+Education+Akola/data=!4m7!3m6!1s0x3bd72f230cf5c23d:0xc53d1dbbe91c1a54!8m2!3d20.701811!4d77.0165106!16s%2Fg%2F11fsb1djry!19sChIJPcL1DCMv1zsRVBoc6bsdPcU?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Niraj Rathi's Career Forum Akola Nrcf,1st to 12th classes,4.6,132,9422164530,9422164530,"Behind RLT College, Near New Bus Stand, कलेक्टर कॉलोनी, Akola, Maharashtra 444001",Akola,,,"https://www.google.com/maps/place/Niraj+RATHI%27S+CAREER+FORUM,+AKOLA+%28NRCF%29/data=!4m7!3m6!1s0x3bd731e30e0fbf93:0x45016fa912c142ac!8m2!3d20.7070151!4d77.0064332!16s%2Fg%2F1pyqmrv49!19sChIJk78PDuMx1zsRrELBEqlvAUU?authuser=0&hl=en&rclk=1",,no,70,no,1,none_found,
Lalit Tutorial Campus 4,1st to 12th classes,4.2,315,9049433433,9049433433,"Telephone Exchange, Near BSNL, Krishi Nagar, Toshniwal Layout, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/Lalit+tutorial+campus+4/data=!4m7!3m6!1s0x3bd72e047ec2124b:0xec1197167d1aceea!8m2!3d20.7023115!4d77.0163857!16s%2Fg%2F124ypt8_3!19sChIJSxLCfgQu1zsR6s4afRaXEew?authuser=0&hl=en&rclk=1,,no,60,no,2,none_found,
