business_name,category,rating,reviews,phone,whatsapp,full_address,district,taluka,city,maps_link,website,has_website,lead_score,premium_lead,branch_count,digital_presence,rejection_reason
Physics Wallah Vidyapeeth Coaching Center Akola IIT JEE NEET & Foundation,1st to 12th classes,4.7,363,8045682665,8045682665,"3rd Floor, Infront of Pantaloons store, Yamuna Business Park, Murtizapur Rd, Kirti Nagar, Akola, Maharashtra 444001",Akola,,,"https://www.google.com/maps/place/Physics+Wallah+Vidyapeeth+Coaching+Center+Akola+%7C+IIT+JEE,+NEET+%26+Foundation/data=!4m7!3m6!1s0x3bd731cf52717179:0xac39e5b8f17284cd!8m2!3d20.6996094!4d77.0136432!16s%2Fg%2F11w92l71l9!19sChIJeXFxUs8x1zsRzYRy8bjlOaw?authuser=0&hl=en&rclk=1",https://pw.live,yes,40,no,2,website,has website
Soneji Coaching Classes Akola,1st to 12th classes,4.8,117,9860062631,9860062631,"Tapadia Nagar, Akola, Maharashtra 444005",Akola,,,"https://www.google.com/maps/place/Soneji+Coaching+Classes,+Akola/data=!4m7!3m6!1s0x3bd72ff2506464eb:0x8869d93883cdeca7!8m2!3d20.7190354!4d77.0108728!16s%2Fg%2F11h6wrr3fm!19sChIJ62RkUPIv1zsRp-zNgzjZaYg?authuser=0&hl=en&rclk=1",http://sonejicoachingclasses.com,yes,32,no,1,website,has website
Bright Career Institute,1st to 12th classes,4.4,152,9146144555,9146144555,"P279 H95, behind kala maruti mandir, next to Deepak more hospital, Ram Nagar, Ranpise Nagar, Akola, Maharashtra 444005",Akola,,,https://www.google.com/maps/place/BRIGHT+CAREER+INSTITUTE/data=!4m7!3m6!1s0x3bd72f8951e60dd1:0x2963a38bfcd766fe!8m2!3d20.7115222!4d77.0132758!16s%2Fg%2F11h8f4tkhv!19sChIJ0Q3mUYkv1zsR_mbX_IujYyk?authuser=0&hl=en&rclk=1,https://brightcareerakola.in,yes,32,no,1,website,has website
Shree Samartha Coaching Classes Akola,1st to 12th classes,4.4,230,8929100751,8929100751,"P258 FXJ, near Shri Bara Jyortirling Temple, Ranpise Nagar, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/Shree+Samartha+Coaching+Classes+Akola/data=!4m7!3m6!1s0x3bd72e1b99dcdb43:0x71b65be189bb066f!8m2!3d20.7087216!4d77.0173852!16s%2Fg%2F1pzsx9v82!19sChIJQ9vcmRsu1zsRbwa7ieFbtnE?authuser=0&hl=en&rclk=1,https://samartheducation.org,yes,32,no,1,website,has website
Deshumukh Sir's Saraswati Coaching Classes Akola,1st to 12th classes,4.3,146,9359390706,9359390706,"near BSNL, Toshniwal Layout, Dwarka Nagri, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/Deshumukh+Sir%27s+Saraswati+Coaching+Classes+Akola/data=!4m7!3m6!1s0x3bd72e0381d44e4b:0x60aafe5834826d1f!8m2!3d20.702543!4d77.015949!16s%2Fg%2F124yhzsl6!19sChIJS07UgQMu1zsRH22CNFj-qmA?authuser=0&hl=en&rclk=1,https://saraswaticoachingclassesakola.in,yes,32,no,1,website,has website
Lalit Tutorials Akola,1st to 12th classes,4.3,740,7969000900,7969000900,"Toshniwal Layout, Dwarka Nagri, Akola, Maharashtra 444001",Akola,,,"https://www.google.com/maps/place/Lalit+Tutorials,+Akola/data=!4m7!3m6!1s0x3bd72e0389030dab:0x57988ed03587b7bf!8m2!3d20.7011282!4d77.0159434!16s%2Fg%2F1hm2mmvmq!19sChIJqw0DiQMu1zsRv7eHNdCOmFc?authuser=0&hl=en&rclk=1",https://lalittutorials.com,yes,32,no,1,website,has website
Siddhant Coaching Classes,1st to 12th classes,4.3,64,9822565154,9822565154,"Dwarka Nagri, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/Siddhant+Coaching+Classes/data=!4m7!3m6!1s0x3bd72e04a1dba48b:0x33705c1edca0ff34!8m2!3d20.704124!4d77.0163874!16s%2Fg%2F12q4vq_zp!19sChIJi6TboQQu1zsRNP-g3B5ccDM?authuser=0&hl=en&rclk=1,https://siddhantcoachingclassesakola.com,yes,32,no,1,website,has website
,1st to 12th classes,4.9,226,7083431795,7083431795,"college, opposite RLT Science College, New Radhakisan Plots, Civil Line, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/%F0%9D%90%8F%F0%9D%90%AB%F0%9D%90%A2%F0%9D%90%9D%F0%9D%90%9E+%F0%9D%90%84%F0%9D%90%9D%F0%9D%90%AE%F0%9D%90%9C%F0%9D%90%9A%F0%9D%90%AD%F0%9D%90%A2%F0%9D%90%A8%F0%9D%90%A7+-+Best+Banking+Coaching+Classes+in+Akola+%7C+Top+MBA+Entrance+%7C+SSC+%7C+Railways+Coaching+%7C+MPSC+Coaching/data=!4m7!3m6!1s0x3bd731dbbc3e0273:0xde3dde7566ec0021!8m2!3d20.7054431!4d77.0063241!16s%2Fg%2F11glfdbsr0!19sChIJcwI-vNsx1zsRIQDsZnXePd4?authuser=0&hl=en&rclk=1,https://prideeducation.co.in,yes,22,no,1,website,missing business name; has website
Msquare Tutorials Best CA Foundation In Akola,1st to 12th classes,4.9,85,9370335455,9370335455,"Deshonnati Press, Old RTO Rd, Sahakar Nagar, Akola, Maharashtra 444004",Akola,,,https://www.google.com/maps/place/MSquare+Tutorials+Best+CA+FOUNDATION+in+Akola/data=!4m7!3m6!1s0x3bd72d5c53a1ff37:0x1e2e66b61f224716!8m2!3d20.6871796!4d77.0228736!16s%2Fg%2F11h4tnwxs0!19sChIJN_-hU1wt1zsRFkciH7ZmLh4?authuser=0&hl=en&rclk=1,http://msquaretutorials.com,yes,22,no,1,website,has website
Wasim Sir's Chaudhary Coaching Classes,1st to 12th classes,4.4,335,,,"Equinox Study Hub, Toshniwal Layout, Shastri Nagar, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/Wasim+Sir%27s+Chaudhary+Coaching+Classes+-+Best+NEET+Coaching+Classes+%7C+Best+JEE+Classes+%7C+Best+NEET+Tutorials+in+Akola/data=!4m7!3m6!1s0x3bd72e046a3392e1:0x1fc38469a6192822!8m2!3d20.7006007!4d77.0165061!16s%2Fg%2F11dxp466bd!19sChIJ4ZIzagQu1zsRIigZpmmEwx8?authuser=0&hl=en&rclk=1,http://wasimsirschaudharyclasses.com,yes,17,no,1,website,has website; missing valid mobile or WhatsApp
