business_name,category,rating,reviews,phone,whatsapp,full_address,district,taluka,city,maps_link,website,has_website,lead_score,premium_lead,branch_count,digital_presence,rejection_reason
Aniket Thakare Chemistry Classes,1st to 12th classes,5.0,270,9890911383,9890911383,"Rajapeth - Irwin Square Flyover, beside Rohit Vadewale, near Samarth High School, Deorankar Nagar, Sharda Vihar, Amravati, Maharashtra 444605",Amravati,,,https://www.google.com/maps/place/Aniket+Thakare+Chemistry+Classes+-+Best+JEE+Coaching+Classes+In+Amravati+%7C+Best+NEET+Coaching+Classes+In+Amravati+%7C+MHT-CET/data=!4m7!3m6!1s0x3bd6a56b2da87eb3:0x5a99dc042310bda8!8m2!3d20.9169834!4d77.7516255!16s%2Fg%2F11sswp5_gv!19sChIJs36oLWul1jsRqL0QIwTcmVo?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Jayhari Shep Physics Classes,1st to 12th classes,5.0,251,8975738087,8975738087,"near Samrtha High School, Deorankar Nagar, Devankar Nagar, Amravati, Maharashtra 444605",Amravati,,,https://www.google.com/maps/place/Jayhari+Shep+physics+classes/data=!4m7!3m6!1s0x3bd6a51f272ccf17:0x8dd89a90a60a10de!8m2!3d20.9178433!4d77.7520711!16s%2Fg%2F11h4qhv_gx!19sChIJF88sJx-l1jsR3hAKppCa2I0?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Range Sir Biology Classes,1st to 12th classes,5.0,88,8149694591,8149694591,"Sharda Nagar, near Samartha high school, Deorankar Nagar, Sharda Vihar, Amravati, Maharashtra 444605",Amravati,,,https://www.google.com/maps/place/Range+Sir+Biology+Classes+-+Best+Biology+Classes+In+Amravati+%7C+NEET+Classes+In+Amravati+%7C+CET+Classes+Amravati/data=!4m7!3m6!1s0x3bd6a54ff9ea3ba3:0x2e118e0f3e34ecf5!8m2!3d20.9178423!4d77.7520915!16s%2Fg%2F11syw_r734!19sChIJozvq-U-l1jsR9ew0Pg-OES4?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Rg Classes 11th 12th Commerce Classes,1st to 12th classes,5.0,112,8380885566,8380885566,"2nd floor, Gandhi Complex, near Satidham temple, Amrawati Tahsil, Amravati, Maharashtra 444601",Amravati,,,"https://www.google.com/maps/place/RG+Classes+11th+12th+Commerce+Classes+,+CA+Classes+Amravati/data=!4m7!3m6!1s0x3bd6a50121523205:0x4c4de5a799c9cdf7!8m2!3d20.9292155!4d77.7565492!16s%2Fg%2F11h6g2c_7_!19sChIJBTJSIQGl1jsR983JmaflTUw?authuser=0&hl=en&rclk=1",,no,70,no,1,none_found,
Excellent Commerce Academy,1st to 12th classes,4.9,91,8975469169,8975469169,"Kiran nagar 1, near saibaba Temple Narsamma College, Amravati, Maharashtra 444606",Amravati,,,https://www.google.com/maps/place/EXCELLENT+COMMERCE+ACADEMY/data=!4m7!3m6!1s0x3bd6a5a5d51f81fb:0xb14075299e637fa2!8m2!3d20.9160631!4d77.7665848!16s%2Fg%2F11rr9020tg!19sChIJ-4Ef1aWl1jsRon9jnil1QLE?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Gupta Sirs Shri Sai Commerce Classes,1st to 12th classes,4.9,33,8149912550,8149912550,"Palash Line, near Deshmukh market, Gadge Nagar, Amravati, Maharashtra 444603",Amravati,,,https://www.google.com/maps/place/Gupta+Sirs+Shri+Sai+Commerce+Classes/data=!4m7!3m6!1s0x3bd6a367f2856e41:0x277b357cb467b792!8m2!3d20.9475047!4d77.7687575!16s%2Fg%2F11f3jw4h07!19sChIJQW6F8mej1jsRkrdntHw1eyc?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Joshi Coaching Classes,1st to 12th classes,4.9,76,7588224447,7588224447,"Balaji plot near Diparchan Mangal Karyalay, The Bherde Citymark, Rajapeth, Amravati, Maharashtra 444605",Amravati,,,https://www.google.com/maps/place/Joshi+Coaching+Classes/data=!4m7!3m6!1s0x3bd6a5fb0d5f14a7:0x1490e30aab3671f!8m2!3d20.9216538!4d77.7535446!16s%2Fg%2F11syr5r24j!19sChIJpxRfDful1jsRH2ezqjAOSQE?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Ideal Coaching Classes,1st to 12th classes,4.8,252,9604334722,9604334722,"2, Radha Nagar, Gadge Nagar, Amravati, Maharashtra 444603",Amravati,,,https://www.google.com/maps/place/Ideal+Coaching+Classes/data=!4m7!3m6!1s0x3bd6a36771eaa7c1:0x44d069d9200b10b4!8m2!3d20.9452564!4d77.7693777!16s%2Fg%2F11g9dj_p5h!19sChIJwafqcWej1jsRtBALINlp0EQ?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Awacademy,1st to 12th classes,4.7,572,8983315203,8983315203,"AWAcademy, Rathi Nagar, Amravati, Maharashtra 444603",Amravati,,,https://www.google.com/maps/place/AWAcademy/data=!4m7!3m6!1s0x3bd6a342c373a49f:0x771934ee70000000!8m2!3d20.9496639!4d77.7669794!16s%2Fg%2F11rdx1p4mv!19sChIJn6Rzw0Kj1jsRAAAAcO40GXc?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Resonance Academy,1st to 12th classes,4.7,193,7758816553,7758816553,"Rangoli lawn lane, Kathora Rd, Samata Colony, Amravati, Maharashtra 444604",Amravati,,,https://www.google.com/maps/place/Resonance+Academy/data=!4m7!3m6!1s0x3bd6a33869d29a19:0x5e572438813cff7e!8m2!3d20.9616985!4d77.758921!16s%2Fg%2F12jlnxrvq!19sChIJGZrSaTij1jsRfv88gTgkV14?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
