business_name,category,rating,reviews,phone,whatsapp,full_address,district,taluka,city,maps_link,website,has_website,lead_score,premium_lead,branch_count,digital_presence,rejection_reason
Bansal Classes Amravati Rajapeth,1st to 12th classes,4.5,323,9561067991,9561067991,"BANSAL Campus, Infront of Gurudwara, Booty plot Rajapeth, Madhokar Peth, Amravati, Maharashtra 444601",Amravati,,,https://www.google.com/maps/place/Bansal+Classes+Amravati+%28Rajapeth%29/data=!4m7!3m6!1s0x3bd6a5212801e511:0xcc8ece14c31cddb1!8m2!3d20.9215818!4d77.7546987!16s%2Fg%2F11j7d07fgc!19sChIJEeUBKCGl1jsRsd0cwxTOjsw?authuser=0&hl=en&rclk=1,https://bansal.ac.in,yes,42,no,2,website,has website
Rahul Pahlajani Coaching Classes,1st to 12th classes,5.0,297,8983622584,8983622584,"Hingaspure Market, Rajapeth - Irwin Square Flyover, Chatrapati Sahu Nagar, Amravati, Maharashtra 444606",Amravati,,,https://www.google.com/maps/place/Rahul+Pahlajani+coaching+classes/data=!4m7!3m6!1s0x3bd6a4b9e156c2cd:0x434f6f91d0000000!8m2!3d20.9175126!4d77.7569808!16s%2Fg%2F11rdx35dh8!19sChIJzcJW4bmk1jsRAAAA0JFvT0M?authuser=0&hl=en&rclk=1,https://rpcc.co.in,yes,32,no,1,website,has website
Abhijeet Men Academy,1st to 12th classes,4.9,169,8275418855,8275418855,"Sabnis plot, Shramsafalya,Behind Heera Hardware Rajapeth Kanwar Nagar Road, Rajapeth-444605, Amravati, Maharashtra 444605",Amravati,,,https://www.google.com/maps/place/Abhijeet+Men+Academy/data=!4m7!3m6!1s0x3bd6a4ba64e3079f:0x5d610b8a86e3d12e!8m2!3d20.9188975!4d77.7610106!16s%2Fg%2F11g6_wlmby!19sChIJnwfjZLqk1jsRLtHjhooLYV0?authuser=0&hl=en&rclk=1,http://abhijeetmenacademy.in,yes,32,no,1,website,has website
Bhande Sir's Academy Bsa,1st to 12th classes,4.9,1212,9766577526,9766577526,"near Ekta Mandal Ground, Rathi Nagar, Gadge Nagar, Amravati, Maharashtra 444603",Amravati,,,https://www.google.com/maps/place/BHANDE+Sir%27s+ACADEMY+%28BSA%29/data=!4m7!3m6!1s0x3bd6a342bb318727:0x18d4bc5457d5b60e!8m2!3d20.9496858!4d77.7672707!16s%2Fg%2F11d_2js4h9!19sChIJJ4cxu0Kj1jsRDrbVV1S81Bg?authuser=0&hl=en&rclk=1,https://youtube.com,yes,32,no,1,youtube,has youtube
Daga Coaching Classes Sharda Nagar,1st to 12th classes,4.9,363,9421955173,9421955173,"Sharda Nagar, Rajapeth, Sharda Vihar, Amravati, Maharashtra 444605",Amravati,,,"https://www.google.com/maps/place/DAGA+COACHING+CLASSES,+Sharda+Nagar/data=!4m7!3m6!1s0x3bd6a4b38ac282c5:0xab906e31735176e1!8m2!3d20.9166891!4d77.7481672!16s%2Fg%2F11g6rjghqq!19sChIJxYLCirOk1jsR4XZRczFukKs?authuser=0&hl=en&rclk=1",http://dagacoachingclasses.com,yes,32,no,1,website,has website
Velocity Career Guidance & Academy,1st to 12th classes,4.9,51,8055511316,8055511316,"Lane No. 2, Radha Nagar, Gadge Nagar, Amravati, Maharashtra 444603",Amravati,,,https://www.google.com/maps/place/Velocity+Career+Guidance+%26+Academy/data=!4m7!3m6!1s0x3bd6a3003a2c45bb:0xd12f74bb83ce6d40!8m2!3d20.9478326!4d77.7702361!16s%2Fg%2F11w903vjhw!19sChIJu0UsOgCj1jsRQG3Og7t0L9E?authuser=0&hl=en&rclk=1,https://classplusapp.com,yes,32,no,1,website,has website
Knowledge Hub Coaching Classes,1st to 12th classes,4.8,137,9096899166,9096899166,"Paradise Colony, Amravati, Maharashtra 444601",Amravati,,,https://www.google.com/maps/place/Knowledge+Hub+Coaching+Classes/data=!4m7!3m6!1s0x3bd6bcb499bc98c3:0x8d32d07ced4c5993!8m2!3d20.9522616!4d77.7416168!16s%2Fg%2F11c2p8_kt8!19sChIJw5i8mbS81jsRk1lM7XzQMo0?authuser=0&hl=en&rclk=1,http://knowledgehubamt.org,yes,32,no,1,website,has website
Chintamani Coaching Classes Science Academy Cbse Classes,1st to 12th classes,4.6,321,9422734930,9422734930,"Shankar Nagar Rd, Wadali Naka, Amravati, Maharashtra 444606",Amravati,,,https://www.google.com/maps/place/Chintamani+Coaching+Classes+%2F+Science+Academy+%2F+CBSE+Classes/data=!4m7!3m6!1s0x3bd6a4c6d238f549:0x75a4a8039ee85def!8m2!3d20.9110157!4d77.7607551!16s%2Fg%2F1pyql4z7t!19sChIJSfU40sak1jsR713ongOopHU?authuser=0&hl=en&rclk=1,http://chintamanicoaching.com,yes,32,no,1,website,has website
Aakash Institute,1st to 12th classes,4.5,414,8800013065,8800013065,"Prabhat Talkies, 3rd Floor, Rachana Shree Commercial Cplx, Besides, Prabhat Chowk, Amravati, Maharashtra 444601",Amravati,,,"https://www.google.com/maps/place/Aakash+Institute+-+Best+NEET+%26+IIT-Jee+Coaching+in+Amravati,+Prabhat+Chowk/data=!4m7!3m6!1s0x3bd6a4a3259b5c11:0x8adb677e9e190c6!8m2!3d20.9305163!4d77.7513459!16s%2Fg%2F11r9f5pm6!19sChIJEVybJaOk1jsRxpDh6Xe2rQg?authuser=0&hl=en&rclk=1",https://centers.aakash.ac.in,yes,32,no,1,website,has website
Ibt Amravati,1st to 12th classes,5.0,23,7977916313,7977916313,"Shirbhate Market, Moti Nagar Rd, near Ekvira Electronics, Mudliyar Nagar, Wadali Naka, Amravati, Maharashtra 444606",Amravati,,,https://www.google.com/maps/place/IBT+Amravati/data=!4m7!3m6!1s0x3bd6a5b2fd8baafb:0x2a1c21f4bb49f5d!8m2!3d20.9183979!4d77.7677799!16s%2Fg%2F11ys4mbhp1!19sChIJ-6qL_bKl1jsRXZ-0Sx_CoQI?authuser=0&hl=en&rclk=1,https://ibtindia.com,yes,27,no,1,website,has website
Malpani Eduhub,1st to 12th classes,4.8,124,7387329099,7387329099,"infront of Shivaji commercial market, First floor, Devisha Apartment, chouk, Ravi Nagar, Amravati, Maharashtra 444605",Amravati,,,https://www.google.com/maps/place/Malpani+EduHub/data=!4m7!3m6!1s0x3bd6a5d328db3709:0xfd95b2bf9e161812!8m2!3d20.9169448!4d77.7485834!16s%2Fg%2F11h23mh_yz!19sChIJCTfbKNOl1jsREhgWnr-ylf0?authuser=0&hl=en&rclk=1,http://vardhishnuacademy.com,yes,27,no,1,website,has website
Rathi Career Forum Pvt Ltd,1st to 12th classes,4.8,341,7057705715,7057705715,"RCF Campus, Jaisthambh Square, Amrawati Tahsil, Amravati, Maharashtra 444601",Amravati,,,https://www.google.com/maps/place/Rathi+Career+Forum+Pvt+Ltd/data=!4m7!3m6!1s0x3bd6a354000001c9:0xeeba8c3d4550d72c!8m2!3d20.9315486!4d77.7565036!16s%2Fg%2F1pt_vc5z9!19sChIJyQEAAFSj1jsRLNdQRT2Muu4?authuser=0&hl=en&rclk=1,http://rcfamt.com,yes,27,no,2,website,has website
Dnyan Foundation,1st to 12th classes,4.8,44,8007472741,8007472741,"2nd Floor, Shree Heritage, PLot No 202, near Hp Petrol Pump, near Rathod Petrol Pump, Rukmini Nagar, Vivekanand Colony, Amravati, Maharashtra 444606",Amravati,,,https://www.google.com/maps/place/Dnyan+Foundation+-+Best+CBSE+Coaching+Classes+In+Amravati+%7C+Best+Foundation+Classes+Amravati+%7C+MHT-CET+Classes+Amravati+%7C/data=!4m7!3m6!1s0x3bd6a4a3013560c1:0xa8fc977642a2a2ba!8m2!3d20.928199!4d77.7632281!16s%2Fg%2F11f__l66z0!19sChIJwWA1AaOk1jsRuqKiQnaX_Kg?authuser=0&hl=en&rclk=1,http://dnyanfoundation.org,yes,17,no,1,website,has website
Kadam Sir's Classes,1st to 12th classes,4.0,41,9823972809,9823972809,"Congress Nagar Rd, near Kasturba Kanya School, Rajendra Colony, Shyam Nagar, Amravati, Maharashtra 444606",Amravati,,,https://www.google.com/maps/place/Kadam+Sir%27s+Classes/data=!4m7!3m6!1s0x3bd6a4bd4e0f3b2f:0x5e0351309533e9c6!8m2!3d20.925515!4d77.7678195!16s%2Fg%2F11csb2nkvv!19sChIJLzsPTr2k1jsRxukzlTBRA14?authuser=0&hl=en&rclk=1,https://facebook.com,yes,17,no,1,facebook,has facebook; rating below 4.2 or missing
