business_name,category,rating,reviews,phone,whatsapp,full_address,district,taluka,city,maps_link,website,has_website,lead_score,premium_lead,branch_count,digital_presence,rejection_reason
Umakiran Shaikshanik Sankul.,IIT JEE coaching,3.9,50,9922362893,9922362893,"XQW2 73G, Shahunagar, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/Umakiran+Shaikshanik+Sankul./data=!4m7!3m6!1s0x3bc52adb21be7fa9:0x174bff5d5a12ccdf!8m2!3d18.9956449!4d75.7501777!16s%2Fg%2F11dxmhh9cc!19sChIJqX--IdsqxTsR38wSWl3_Sxc?authuser=0&hl=en&rclk=1,,no,95,no,1,none_found,rating below 4.2 or missing
Jidnyasa Career Academy Beed.,1st to 12th classes,4.6,46,,,"NATYAGRUH ROAD, near PARNERKAR TEMPLE SIDE OF LOTUS HOSPITAL, Bhaya Nagar, Datta Nagar, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/Jidnyasa+Career+Academy+Beed./data=!4m7!3m6!1s0x3bc52ac3b07cb76b:0x1f811062c5de7341!8m2!3d18.9875112!4d75.7470059!16s%2Fg%2F11ddxv2vj6!19sChIJa7d8sMMqxTsRQXPexWIQgR8?authuser=0&hl=en&rclk=1,,no,92,no,1,none_found,missing valid mobile or WhatsApp
Umakiran Complex,IIT JEE coaching,4.0,117,,,"Kranti Nagar, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/Umakiran+Complex/data=!4m7!3m6!1s0x3bc52adb21dbba37:0xd9bc5e9655e4ad98!8m2!3d18.9956893!4d75.7502013!16s%2Fg%2F126262hmv!19sChIJN7rbIdsqxTsRmK3kVZZevNk?authuser=0&hl=en&rclk=1,,no,80,no,1,none_found,missing valid mobile or WhatsApp; rating below 4.2 or missing
Universal Education Beed,1st to 12th classes,4.2,5,,,"FIRST FLOOR, CHATRAPATI CAPITAL, NAVGAN COLLEGE ROAD, Mitra Nagar, CHOWK, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/UNIVERSAL+EDUCATION+BEED/data=!4m7!3m6!1s0x3bc52b5bfe6bd8d3:0x1d7fd0c882801bf1!8m2!3d18.9863971!4d75.7487994!16s%2Fg%2F11lzh9ymtx!19sChIJ09hr_lsrxTsR8RuAgsjQfx0?authuser=0&hl=en&rclk=1,,no,77,no,1,none_found,missing valid mobile or WhatsApp
Dr.tidke Classes,IIT JEE coaching,4.0,10,,,"urvi complex, Pangari Rd, Kranti Nagar, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/Dr.Tidke+Classes/data=!4m7!3m6!1s0x3bc52bf4c9a0c7cd:0x97966282ed49cbb5!8m2!3d18.99627!4d75.7495331!16s%2Fg%2F11t7dzrlk6!19sChIJzcegyfQrxTsRtctJ7YJilpc?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,missing valid mobile or WhatsApp; rating below 4.2 or missing
Aditya Education Group,1st to 12th classes,3.7,54,,,"Sarda Estate, Telgaon Road, Bir, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/Aditya+Education+Group/data=!4m7!3m6!1s0x3bc52b3f7043cfbf:0x887837965b429c53!8m2!3d18.99311!4d75.781975!16s%2Fg%2F1tfxf3yv!19sChIJv89DcD8rxTsRU5xCW5Y3eIg?authuser=0&hl=en&rclk=1,,no,62,no,1,none_found,missing valid mobile or WhatsApp; rating below 4.2 or missing
Physics Wallah Vidyapeeth Pathshala Coaching Center Beed 8th 12th IIT JEE NEET And Dropper MHT CET,1st to 12th classes,4.6,28,7428096975,7428096975,"1st Floor, Physics Wallah Pathshala, Canal Rd, near SBI Bank, next to Surya Lawns, Ambika Chowk, Shivrana Nagar, Beed, Maharashtra 431122",Beed,,,"https://www.google.com/maps/place/Physics+Wallah+Vidyapeeth+Pathshala+Coaching+Center+Beed+%7C+%288th-12th%2B%29+IIT-JEE,NEET+and+Dropper%7C+MHT-CET/data=!4m7!3m6!1s0x3bc52b0cb6590c13:0xc283b9d1a6163b3e!8m2!3d19.0018642!4d75.7487429!16s%2Fg%2F11yb171lfk!19sChIJEwxZtgwrxTsRPjsWptG5g8I?authuser=0&hl=en&rclk=1",https://pw.live,yes,50,no,2,website,has website
Rahnuma Coaching & Spoken English With Rahnuma Academy,1st to 12th classes,4.9,133,9096666220,9096666220,"Zum Zum Colony, Bir, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/Rahnuma+Coaching+%26+spoken+English+with+Rahnuma+academy/data=!4m7!3m6!1s0x3bc52ae3cdb57b2d:0xdfb5a53ad43928b0!8m2!3d18.9804008!4d75.757498!16s%2Fg%2F11dymbf0mm!19sChIJLXu1zeMqxTsRsCg51Dqltd8?authuser=0&hl=en&rclk=1,http://rahnumaacademy.in,yes,32,no,1,website,has website
Rai Education NEET JEE Foundation Classes In Beed,1st to 12th classes,4.9,48,9852983333,9852983333,"Infront of BSNL office, Shikshak Colony Rd, Shriram Nagar, Kranti Nagar, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/Rai+Education-+NEET+JEE+FOUNDATION+Classes+in+Beed/data=!4m7!3m6!1s0x4665d7b5f829a43f:0x20835edfb277ae1f!8m2!3d18.9937194!4d75.7508093!16s%2Fg%2F11vz6hwy45!19sChIJP6Qp-LXXZUYRH653st9egyA?authuser=0&hl=en&rclk=1,https://instagram.com,yes,30,no,1,instagram,has instagram
Bansal Classes Pvt. Ltd.,IIT JEE coaching,4.2,30,8003045222,8003045222,"Bajirao Jagtap Complex, Driving School St, Swaraj Nagar, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/Bansal+Classes+Pvt.+Ltd./data=!4m7!3m6!1s0x3bc52b58015bf5c9:0x3777fb6275262c23!8m2!3d18.9819722!4d75.7535595!16s%2Fg%2F11pdxqgy36!19sChIJyfVbAVgrxTsRIywmdWL7dzc?authuser=0&hl=en&rclk=1,https://bansal.ac.in,yes,30,no,1,website,has website
Tulsi College Of Computer Science And Information Technology,1st to 12th classes,4.2,64,9310666651,9310666651,"XPVX Q6X, Shikshak Colony Rd, Adarsh nagar, Kranti Nagar, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/Tulsi+College+of+Computer+Science+and+Information+Technology/data=!4m7!3m6!1s0x3bc52ac4b837e607:0xd9c5dc76d5dded9c!8m2!3d18.9944957!4d75.7481249!16s%2Fg%2F1262n892f!19sChIJB-Y3uMQqxTsRnO3d1Xbcxdk?authuser=0&hl=en&rclk=1,https://tulsicollegeit.in,yes,27,no,1,website,has website
Sanjay Ghodawat IIT & Medical Academy,1st to 12th classes,3.3,13,9075001263,9075001263,"Tuljai Niwas, Sanskar Colony, Shahunagar Area, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/Sanjay+Ghodawat+IIT+%26+Medical+Academy/data=!4m7!3m6!1s0x3bcf83ad52dbf66f:0x84d1ad80e50065bc!8m2!3d19.0038915!4d75.7524286!16s%2Fg%2F11jgbz_hxz!19sChIJb_bbUq2DzzsRvGUA5YCt0YQ?authuser=0&hl=en&rclk=1,http://sgima.in,yes,10,no,1,website,has website; rating below 4.2 or missing
Joshis Math Classes,1st to 12th classes,,,9422332137,9422332137,"XQW2 73G Umakiran Educational Sankul, Adarsh nagar, Kranti Nagar, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/Joshis+Math+Classes/data=!4m7!3m6!1s0x3bc52ac3f63e95b9:0xb40a3299e936d07b!8m2!3d18.9956774!4d75.7501136!16s%2Fg%2F1262hptkp!19sChIJuZU-9sMqxTsRe9A26ZkyCrQ?authuser=0&hl=en&rclk=1,https://jmcbeed.com,yes,2,no,1,website,has website; rating below 4.2 or missing
Upscgk.com,1st to 12th classes,4.7,3,,,"Pangari Rd, near Taware Wada, Shahunagar, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/upscgk.com/data=!4m7!3m6!1s0x3bc52b40f92a9bff:0xc2bd244f0022698!8m2!3d18.9953976!4d75.7510781!16s%2Fg%2F11fjb156b9!19sChIJ_5sq-UArxTsRmCYC8ETSKww?authuser=0&hl=en&rclk=1,https://upscgk.com,yes,0,no,1,website,has website; missing valid mobile or WhatsApp
