business_name,category,rating,reviews,phone,whatsapp,full_address,district,taluka,city,maps_link,website,has_website,lead_score,premium_lead,branch_count,digital_presence,rejection_reason
Lamb's Mathematics Classes,IIT JEE coaching,4.9,73,8482954799,8482954799,"Urvi Capital, Tendulkar's Educational Hub, Pangari Rd, near Umakiran Sankul, Kranti Nagar, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/Lamb%27s+Mathematics+Classes+%28+IIT+JEE+I+MHTCET+I+FOUNDATION+%29/data=!4m7!3m6!1s0x3bc52b10eea25ccd:0x33dcf7072355d936!8m2!3d18.996286!4d75.749487!16s%2Fg%2F11y9pvdby9!19sChIJzVyi7hArxTsRNtlVIwf33DM?authuser=0&hl=en&rclk=1,,no,85,yes,1,none_found,
Dr.nahar's House Of Biology,1st to 12th classes,5.0,6,9260676188,9260676188,"Umakiran campus, Pangari Rd, in front of Urvi capital, Shriram Nagar, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/Dr.Nahar%27s+House+Of+Biology/data=!4m7!3m6!1s0x3bc52b24bc85f415:0xcb170d9db7b7c408!8m2!3d18.9931119!4d75.749487!16s%2Fg%2F11tnj4f68k!19sChIJFfSFvCQrxTsRCMS3t50NF8s?authuser=0&hl=en&rclk=1,,no,80,no,2,none_found,
Ahuja Classes,1st to 12th classes,5.0,184,9850063399,9850063399,"16/A, Saheti Society, Borude Mala, Balikashram Road, Savedi,, Ahmednagar-414003, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/AHUJA+CLASSES/data=!4m7!3m6!1s0x3bdcb1e5b91abbbd:0x59cf8524edade33!8m2!3d19.1119137!4d74.7275522!16s%2Fg%2F11f61fjy7j!19sChIJvbsaueWx3DsRM97aTlL4nAU?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Aniket Thakare Chemistry Classes,1st to 12th classes,5.0,270,9890911383,9890911383,"Rajapeth - Irwin Square Flyover, beside Rohit Vadewale, near Samarth High School, Deorankar Nagar, Sharda Vihar, Amravati, Maharashtra 444605",Amravati,,,https://www.google.com/maps/place/Aniket+Thakare+Chemistry+Classes+-+Best+JEE+Coaching+Classes+In+Amravati+%7C+Best+NEET+Coaching+Classes+In+Amravati+%7C+MHT-CET/data=!4m7!3m6!1s0x3bd6a56b2da87eb3:0x5a99dc042310bda8!8m2!3d20.9169834!4d77.7516255!16s%2Fg%2F11sswp5_gv!19sChIJs36oLWul1jsRqL0QIwTcmVo?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Atharva Maths Classes,1st to 12th classes,5.0,37,9890664006,9890664006,"5405, Lonar Lane, Teli Khunt Rd, near Y.Prakash Tailors, Ahilyanagar, Maharashtra 414001",Ahmednagar,,,https://www.google.com/maps/place/Atharva+Maths+Classes/data=!4m7!3m6!1s0x3bdcb114a03b1689:0x9a72d639aa5cf72e!8m2!3d19.0979087!4d74.7379532!16s%2Fg%2F11xlb1d_0m!19sChIJiRY7oBSx3DsRLvdcqjnWcpo?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Catalyser,1st to 12th classes,5.0,58,8237658801,8237658801,"Sai Samarth heights, Rasane Nagar, Savedi, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/Catalyser/data=!4m7!3m6!1s0x3bdcbb9cab3b04bf:0xfa66c19ab90fa144!8m2!3d19.1234421!4d74.7301836!16s%2Fg%2F11swzjdbff!19sChIJvwQ7q5y73DsRRKEPuZrBZvo?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Chetan Sir's Calculus Academy,1st to 12th classes,5.0,70,9022282656,9022282656,"near TWC Gym, near Nimantran hotel, Maratha Nagar, Tapadia Nagar, Akola, Maharashtra 444005",Akola,,,https://www.google.com/maps/place/Chetan+Sir%27s+Calculus+Academy/data=!4m7!3m6!1s0x3bd73150e1d40289:0x81935041d2773079!8m2!3d20.7171997!4d77.0091522!16s%2Fg%2F11v_5gmwvx!19sChIJiQLU4VAx1zsReTB30kFQk4E?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Divya Maam's Chemia Coaching Classes,1st to 12th classes,5.0,108,9325515878,9325515878,"P246 8HC Amankhan Plot, Ranpise Nagar, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/DIVYA+MAAM%27S+CHEMIA+COACHING+CLASSES/data=!4m7!3m6!1s0x3bd7311916f8de35:0x9eca3695c6a76717!8m2!3d20.7058415!4d77.0114264!16s%2Fg%2F11q2rrt002!19sChIJNd74Fhkx1zsRF2enxpU2yp4?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Jayhari Shep Physics Classes,1st to 12th classes,5.0,251,8975738087,8975738087,"near Samrtha High School, Deorankar Nagar, Devankar Nagar, Amravati, Maharashtra 444605",Amravati,,,https://www.google.com/maps/place/Jayhari+Shep+physics+classes/data=!4m7!3m6!1s0x3bd6a51f272ccf17:0x8dd89a90a60a10de!8m2!3d20.9178433!4d77.7520711!16s%2Fg%2F11h4qhv_gx!19sChIJF88sJx-l1jsR3hAKppCa2I0?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Prabhas Capital Stock Market Academy,1st to 12th classes,5.0,28,7020521369,7020521369,"Shri Raghukul Bunglow, HNO.2837/31, Canal Rd, Sumati Nagar, Beed, Wasanwadi, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/Prabhas+Capital+Stock+Market+Academy/data=!4m7!3m6!1s0x3bc52da0a56e7b47:0x8319ca17ef7c287f!8m2!3d19.0142688!4d75.747246!16s%2Fg%2F11ssx6g5pq!19sChIJR3tupaAtxTsRfyh87xfKGYM?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Range Sir Biology Classes,1st to 12th classes,5.0,88,8149694591,8149694591,"Sharda Nagar, near Samartha high school, Deorankar Nagar, Sharda Vihar, Amravati, Maharashtra 444605",Amravati,,,https://www.google.com/maps/place/Range+Sir+Biology+Classes+-+Best+Biology+Classes+In+Amravati+%7C+NEET+Classes+In+Amravati+%7C+CET+Classes+Amravati/data=!4m7!3m6!1s0x3bd6a54ff9ea3ba3:0x2e118e0f3e34ecf5!8m2!3d20.9178423!4d77.7520915!16s%2Fg%2F11syw_r734!19sChIJozvq-U-l1jsR9ew0Pg-OES4?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Rg Classes 11th 12th Commerce Classes,1st to 12th classes,5.0,112,8380885566,8380885566,"2nd floor, Gandhi Complex, near Satidham temple, Amrawati Tahsil, Amravati, Maharashtra 444601",Amravati,,,"https://www.google.com/maps/place/RG+Classes+11th+12th+Commerce+Classes+,+CA+Classes+Amravati/data=!4m7!3m6!1s0x3bd6a50121523205:0x4c4de5a799c9cdf7!8m2!3d20.9292155!4d77.7565492!16s%2Fg%2F11h6g2c_7_!19sChIJBTJSIQGl1jsR983JmaflTUw?authuser=0&hl=en&rclk=1",,no,70,no,1,none_found,
Rise,1st to 12th classes,5.0,52,7373061111,7373061111,"4th Floor, Yamuna Business Park, Kirti Nagar, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/RISE+-+Rathi+Institute+of+Science+Education/data=!4m7!3m6!1s0x3bd72f36cb3a17a7:0x48e791fc7f313eb7!8m2!3d20.6995446!4d77.0135605!16s%2Fg%2F11v5x_c_rp!19sChIJpxc6yzYv1zsRtz4xf_yR50g?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Shreee Ganesh Classes,1st to 12th classes,5.0,60,9834768688,9834768688,"Block No-5/4, Nirmal Chamber, Laltaki road, Tarakpur, Ahilyanagar, Maharashtra 414001",Ahmednagar,,,https://www.google.com/maps/place/Shreee+Ganesh+Classes+!/data=!4m7!3m6!1s0x3bdcb06155555555:0xc2c3ca8ce6a03bee!8m2!3d19.1045988!4d74.7363815!16s%2Fg%2F11hbt4tk_7!19sChIJVVVVVWGw3DsR7jug5ozKw8I?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
Vidyamandir Career Institute,1st to 12th classes,5.0,68,8380000919,8380000919,"Pangari Rd, opposite to Umakiran Educational Complex, Shahunagar, Beed, Maharashtra 431122",Beed,,,https://www.google.com/maps/place/VIDYAMANDIR+Career+Institute/data=!4m7!3m6!1s0x3bc52bcfc7348123:0x638a4402b08eb833!8m2!3d18.9963986!4d75.7501984!16s%2Fg%2F11x8jp5ks9!19sChIJI4E0x88rxTsRM7iOsAJEimM?authuser=0&hl=en&rclk=1,,no,70,no,1,none_found,
