business_name,category,rating,reviews,phone,whatsapp,full_address,district,taluka,city,maps_link,website,has_website,lead_score,premium_lead,branch_count,digital_presence,rejection_reason
Avinash Classes,1st to 12th classes,4.6,57,,,"plot no 7, Pipeline Rd, Behind Tulja Bhavani Mandir, Savedi, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/Avinash+Classes/data=!4m7!3m6!1s0x3bdcba6159e99f5b:0x1c704f703319cae9!8m2!3d19.1302202!4d74.7285754!16s%2Fg%2F11b7clz9kl!19sChIJW5_pWWG63DsR6coZM3BPcBw?authuser=0&hl=en&rclk=1,,no,92,no,1,none_found,missing valid mobile or WhatsApp
B & W Career Academy,1st to 12th classes,5.0,2,,,"Lendkar Mala, Balikashram road kamala Ayurvedic hospital, Balikashram Rd, Ahilyanagar, Maharashtra 414001",Ahmednagar,,,https://www.google.com/maps/place/B+%26+W+Career+Academy/data=!4m7!3m6!1s0x3bdcb166fbffc681:0xb25b38ab2f3368b8!8m2!3d19.1041957!4d74.728092!16s%2Fg%2F11sv5hdbhl!19sChIJgcb_-2ax3DsRuGgzL6s4W7I?authuser=0&hl=en&rclk=1,,no,77,no,1,none_found,missing valid mobile or WhatsApp
Todmal Commerce Academy,1st to 12th classes,5.0,323,9960098090,9960098090,"Atharav towers, chowpati karanja, oppo. Ashirwad chiwada, Ahilyanagar, Maharashtra 414001",Ahmednagar,,,https://www.google.com/maps/place/TODMAL+COMMERCE+ACADEMY/data=!4m7!3m6!1s0x3bdcb08a1d6c47dd:0xbe2533b1aeb1b19c!8m2!3d19.0956179!4d74.7328733!16s%2Fg%2F11c5g8v242!19sChIJ3UdsHYqw3DsRnLGxrrEzJb4?authuser=0&hl=en&rclk=1,http://todmalsacademy.com,yes,32,no,1,website,has website
Success Science Academy,1st to 12th classes,4.9,505,8830002899,8830002899,"Rajhans Towers, Chowk, Sona Nagar, Rasane Nagar, Savedi, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/Success+Science+Academy+%7C+NEET+%7C+JEE+%7C+MHT-CET+Classes/data=!4m7!3m6!1s0x3bdcbbac31d4779d:0x7447213f587c2f28!8m2!3d19.123545!4d74.7304099!16s%2Fg%2F11q1lg0drf!19sChIJnXfUMay73DsRKC98WD8hR3Q?authuser=0&hl=en&rclk=1,https://successscienceacademy.com,yes,32,no,1,website,has website
Shri Sandipani Academy Ahilyanagar,1st to 12th classes,4.8,588,7501988988,7501988988,"Pipeline Rd, Gawade Mala, Bhistabag, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/Shri+Sandipani+Academy+Ahilyanagar/data=!4m7!3m6!1s0x3bdcbbe52cd56be9:0xce4b17aac19a853f!8m2!3d19.1285841!4d74.7392497!16s%2Fg%2F11h3qbvx49!19sChIJ6WvVLOW73DsRP4WawaoXS84?authuser=0&hl=en&rclk=1,http://shrisandipaniacademy.in,yes,32,no,1,website,has website
Smash Table Tennis Academy,1st to 12th classes,4.8,94,9673111189,9673111189,"Dalvi Mala, 12, 'Omkar', 1st Floor, Omkar Colony Near Gulmohar Police Station, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/SMASH+Table+Tennis+Academy/data=!4m7!3m6!1s0x3bdcbb0d339d9a99:0xf641e5375cf45a96!8m2!3d19.1216024!4d74.7463523!16s%2Fg%2F11mb5q3ztk!19sChIJmZqdMw273DsRllr0XDflQfY?authuser=0&hl=en&rclk=1,https://instagram.com,yes,32,no,1,instagram,has instagram
J.j Science Academy Ahilyanagar,1st to 12th classes,4.4,147,9604225588,9604225588,"Mrunal Heights,Shree Ram Chowk, Pipeline Rd, Savedi, Maharashtra 414003",Ahmednagar,,,"https://www.google.com/maps/place/J.J+Science+Academy,Ahilyanagar/data=!4m7!3m6!1s0x3bdcb1031c01e5d7:0x11ba34a0abe63e60!8m2!3d19.1256374!4d74.7485889!16s%2Fg%2F11gnsp04ph!19sChIJ1-UBHAOx3DsRYD7mq6A0uhE?authuser=0&hl=en&rclk=1",https://jjsa.in,yes,32,no,1,website,has website
Garud Zep Career Army Academy,1st to 12th classes,4.3,60,8048034454,8048034454,"Raj Chamber, A-building, Ahmednagar - Aurangabad Rd, near Kotla Stand, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/Garud+Zep+Career+army+Academy/data=!4m7!3m6!1s0x3bdcb13579d5bb5b:0x34327762b751f6f1!8m2!3d19.1293135!4d74.7549674!16s%2Fg%2F11g1gp7yhm!19sChIJW7vVeTWx3DsR8fZRt2J3MjQ?authuser=0&hl=en&rclk=1,https://garudzep.com,yes,32,no,1,website,has website
Physics Wallah Vidyapeeth Pathshala Coaching Center Ahilyanagar IIT JEE NEET & Foundation Classes,1st to 12th classes,3.5,39,9420402964,9420402964,"Gulmohar Rd, near Pramod kamble art studio, Anand Nagar East, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,"https://www.google.com/maps/place/Physics+Wallah+Vidyapeeth+Pathshala+Coaching+Center+Ahilyanagar+%7C+IIT+JEE,+NEET+%26+Foundation+Classes%7C+MHT-CET/data=!4m7!3m6!1s0x3bdcbb79dfd2de3d:0x163b26e3c948df67!8m2!3d19.1213329!4d74.7362691!16s%2Fg%2F11vlszyp5k!19sChIJPd7S33m73DsRZ99IyeMmOxY?authuser=0&hl=en&rclk=1",https://pw.live,yes,25,no,2,website,has website; rating below 4.2 or missing
Sai Samarth Coaching Classes,1st to 12th classes,5.0,2,9422727544,9422727544,"Plot no.116, A-1, Premdan Hudco, Rasane Nagar, road, Savedi, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/Sai+Samarth+Coaching+Classes/data=!4m7!3m6!1s0x3bdcbb83f68015ab:0x98a5f4820ad993ae!8m2!3d19.120421!4d74.7314212!16s%2Fg%2F11ry9rs8w2!19sChIJqxWA9oO73DsRrpPZCoL0pZg?authuser=0&hl=en&rclk=1,https://ssisc.in,yes,17,no,1,website,has website
Rajat Academy,1st to 12th classes,4.0,9,9960914959,9960914959,"2nd Floor Aadesh Plaza Nagar-Manmad Road Near Daule Hospital, Savedi, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/Rajat+Academy/data=!4m7!3m6!1s0x3bdcba7c8087d8fd:0x1fbab8339cda21c2!8m2!3d19.1216131!4d74.727994!16s%2Fg%2F11g81dgkdw!19sChIJ_diHgHy63DsRwiHanDO4uh8?authuser=0&hl=en&rclk=1,http://rajatacademy.com,yes,2,no,1,website,has website; rating below 4.2 or missing
Sairaj Test Series,1st to 12th classes,3.7,9,9881325454,9881325454,"Meghraj colony, Sahkar Nagar, Savedi, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/Sairaj+Test+Series/data=!4m7!3m6!1s0x3bdcba6072539e53:0x8d12a12d18db2c8c!8m2!3d19.125815!4d74.7386954!16s%2Fg%2F11s8klf3kd!19sChIJU55TcmC63DsRjCzbGC2hEo0?authuser=0&hl=en&rclk=1,https://sairajtestseries.com,yes,0,no,1,website,has website; rating below 4.2 or missing
Unacademy Coaching Helpline Ahmadnagar IIT JEE NEET & Foundation Classes,1st to 12th classes,,,6366526955,6366526955,"4PCR FRV, Savedi, Ahilyanagar, Maharashtra 431001",Ahmednagar,,,"https://www.google.com/maps/place/Unacademy+Coaching+Helpline+Ahmadnagar+%7C+IIT+JEE,+NEET+%26+Foundation+Classes/data=!4m7!3m6!1s0x3bdcbb292feade9d:0x3b59f56dd9d2908c!8m2!3d19.121245!4d74.7420236!16s%2Fg%2F11yfj3slv1!19sChIJnd7qLym73DsRjJDS2W31WTs?authuser=0&hl=en&rclk=1",https://unacademy.com,yes,0,no,1,website,has website; rating below 4.2 or missing
Physics Wallah Vidyapeeth Coaching Center Akola IIT JEE NEET & Foundation,1st to 12th classes,4.7,363,8045682665,8045682665,"3rd Floor, Infront of Pantaloons store, Yamuna Business Park, Murtizapur Rd, Kirti Nagar, Akola, Maharashtra 444001",Akola,,,"https://www.google.com/maps/place/Physics+Wallah+Vidyapeeth+Coaching+Center+Akola+%7C+IIT+JEE,+NEET+%26+Foundation/data=!4m7!3m6!1s0x3bd731cf52717179:0xac39e5b8f17284cd!8m2!3d20.6996094!4d77.0136432!16s%2Fg%2F11w92l71l9!19sChIJeXFxUs8x1zsRzYRy8bjlOaw?authuser=0&hl=en&rclk=1",https://pw.live,yes,40,no,2,website,has website
Soneji Coaching Classes Akola,1st to 12th classes,4.8,117,9860062631,9860062631,"Tapadia Nagar, Akola, Maharashtra 444005",Akola,,,"https://www.google.com/maps/place/Soneji+Coaching+Classes,+Akola/data=!4m7!3m6!1s0x3bd72ff2506464eb:0x8869d93883cdeca7!8m2!3d20.7190354!4d77.0108728!16s%2Fg%2F11h6wrr3fm!19sChIJ62RkUPIv1zsRp-zNgzjZaYg?authuser=0&hl=en&rclk=1",http://sonejicoachingclasses.com,yes,32,no,1,website,has website
Bright Career Institute,1st to 12th classes,4.4,152,9146144555,9146144555,"P279 H95, behind kala maruti mandir, next to Deepak more hospital, Ram Nagar, Ranpise Nagar, Akola, Maharashtra 444005",Akola,,,https://www.google.com/maps/place/BRIGHT+CAREER+INSTITUTE/data=!4m7!3m6!1s0x3bd72f8951e60dd1:0x2963a38bfcd766fe!8m2!3d20.7115222!4d77.0132758!16s%2Fg%2F11h8f4tkhv!19sChIJ0Q3mUYkv1zsR_mbX_IujYyk?authuser=0&hl=en&rclk=1,https://brightcareerakola.in,yes,32,no,1,website,has website
Shree Samartha Coaching Classes Akola,1st to 12th classes,4.4,230,8929100751,8929100751,"P258 FXJ, near Shri Bara Jyortirling Temple, Ranpise Nagar, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/Shree+Samartha+Coaching+Classes+Akola/data=!4m7!3m6!1s0x3bd72e1b99dcdb43:0x71b65be189bb066f!8m2!3d20.7087216!4d77.0173852!16s%2Fg%2F1pzsx9v82!19sChIJQ9vcmRsu1zsRbwa7ieFbtnE?authuser=0&hl=en&rclk=1,https://samartheducation.org,yes,32,no,1,website,has website
Deshumukh Sir's Saraswati Coaching Classes Akola,1st to 12th classes,4.3,146,9359390706,9359390706,"near BSNL, Toshniwal Layout, Dwarka Nagri, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/Deshumukh+Sir%27s+Saraswati+Coaching+Classes+Akola/data=!4m7!3m6!1s0x3bd72e0381d44e4b:0x60aafe5834826d1f!8m2!3d20.702543!4d77.015949!16s%2Fg%2F124yhzsl6!19sChIJS07UgQMu1zsRH22CNFj-qmA?authuser=0&hl=en&rclk=1,https://saraswaticoachingclassesakola.in,yes,32,no,1,website,has website
Lalit Tutorials Akola,1st to 12th classes,4.3,740,7969000900,7969000900,"Toshniwal Layout, Dwarka Nagri, Akola, Maharashtra 444001",Akola,,,"https://www.google.com/maps/place/Lalit+Tutorials,+Akola/data=!4m7!3m6!1s0x3bd72e0389030dab:0x57988ed03587b7bf!8m2!3d20.7011282!4d77.0159434!16s%2Fg%2F1hm2mmvmq!19sChIJqw0DiQMu1zsRv7eHNdCOmFc?authuser=0&hl=en&rclk=1",https://lalittutorials.com,yes,32,no,1,website,has website
Siddhant Coaching Classes,1st to 12th classes,4.3,64,9822565154,9822565154,"Dwarka Nagri, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/Siddhant+Coaching+Classes/data=!4m7!3m6!1s0x3bd72e04a1dba48b:0x33705c1edca0ff34!8m2!3d20.704124!4d77.0163874!16s%2Fg%2F12q4vq_zp!19sChIJi6TboQQu1zsRNP-g3B5ccDM?authuser=0&hl=en&rclk=1,https://siddhantcoachingclassesakola.com,yes,32,no,1,website,has website
,1st to 12th classes,4.9,226,7083431795,7083431795,"college, opposite RLT Science College, New Radhakisan Plots, Civil Line, Akola, Maharashtra 444001",Akola,,,https://www.google.com/maps/place/%F0%9D%90%8F%F0%9D%90%AB%F0%9D%90%A2%F0%9D%90%9D%F0%9D%90%9E+%F0%9D%90%84%F0%9D%90%9D%F0%9D%90%AE%F0%9D%90%9C%F0%9D%90%9A%F0%9D%90%AD%F0%9D%90%A2%F0%9D%90%A8%F0%9D%90%A7+-+Best+Banking+Coaching+Classes+in+Akola+%7C+Top+MBA+Entrance+%7C+SSC+%7C+Railways+Coaching+%7C+MPSC+Coaching/data=!4m7!3m6!1s0x3bd731dbbc3e0273:0xde3dde7566ec0021!8m2!3d20.7054431!4d77.0063241!16s%2Fg%2F11glfdbsr0!19sChIJcwI-vNsx1zsRIQDsZnXePd4?authuser=0&hl=en&rclk=1,https://prideeducation.co.in,yes,22,no,1,website,missing business name; has website
