Business Name,Phone,PHONE_FOUND,Category,District,Taluka,Address,Rating,Reviews,Website,Facebook,Instagram,WhatsApp,Maps URL,Lead Type,lead_status,listing_opened,listing_failure_reason,Export Date
Physics Wallah Vidyapeeth Coaching Center Akola IIT JEE NEET & Foundation,8045682665,True,1st to 12th classes,Akola,,"3rd Floor, Infront of Pantaloons store, Yamuna Business Park, Murtizapur Rd, Kirti Nagar, Akola, Maharashtra 444001",4.7,363,https://pw.live/offline-centres/batches/vidyapeeth/akola-mh,,,8045682665,"https://www.google.com/maps/place/Physics+Wallah+Vidyapeeth+Coaching+Center+Akola+%7C+IIT+JEE,+NEET+%26+Foundation/data=!4m7!3m6!1s0x3bd731cf52717179:0xac39e5b8f17284cd!8m2!3d20.6996094!4d77.0136432!16s%2Fg%2F11w92l71l9!19sChIJeXFxUs8x1zsRzYRy8bjlOaw?authuser=0&hl=en&rclk=1",SOCIAL_ONLY,FULL_LEAD,YES,,2026-06-19 09:48:58
Physics Wallah Vidyapeeth Pathshala Coaching Center Beed 8th 12th IIT JEE NEET And Dropper MHT CET,7428096975,True,1st to 12th classes,Beed,,"1st Floor, Physics Wallah Pathshala, Canal Rd, near SBI Bank, next to Surya Lawns, Ambika Chowk, Shivrana Nagar, Beed, Maharashtra 431122",4.6,28,https://pw.live/offline-centres/batches/vidyapeeth/beed-mh/beed-vidyapeeth--pathshala-centre--087793,,,7428096975,"https://www.google.com/maps/place/Physics+Wallah+Vidyapeeth+Pathshala+Coaching+Center+Beed+%7C+%288th-12th%2B%29+IIT-JEE,NEET+and+Dropper%7C+MHT-CET/data=!4m7!3m6!1s0x3bc52b0cb6590c13:0xc283b9d1a6163b3e!8m2!3d19.0018642!4d75.7487429!16s%2Fg%2F11yb171lfk!19sChIJEwxZtgwrxTsRPjsWptG5g8I?authuser=0&hl=en&rclk=1",SOCIAL_ONLY,FULL_LEAD,YES,,2026-06-19 09:48:58
Ahuja Classes,9850063399,True,1st to 12th classes,Ahmednagar,,"16/A, Saheti Society, Borude Mala, Balikashram Road, Savedi,, Ahmednagar-414003, Ahilyanagar, Maharashtra 414003",5.0,184,,,,9850063399,https://www.google.com/maps/place/AHUJA+CLASSES/data=!4m7!3m6!1s0x3bdcb1e5b91abbbd:0x59cf8524edade33!8m2!3d19.1119137!4d74.7275522!16s%2Fg%2F11f61fjy7j!19sChIJvbsaueWx3DsRM97aTlL4nAU?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,2026-06-19 09:48:58
Abhay Mankar Sir's Aim Coaching Classes,8087960606,True,1st to 12th classes,Akola,,"near New Jain Mandir, behind Siddhivinayak Mandir, Shastri Nagar, Akola, Maharashtra 444001",4.9,264,,,,8087960606,https://www.google.com/maps/place/Abhay+Mankar+Sir%27s+Aim+Coaching+Classes/data=!4m7!3m6!1s0x3bd72f12d19ff871:0xe6cb455fd6c51056!8m2!3d20.7052077!4d77.0150659!16s%2Fg%2F11r9tyhl8j!19sChIJcfif0RIv1zsRVhDF1l9Fy-Y?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,2026-06-19 09:48:58
Anomalous Coaching Classes,8857087569,True,1st to 12th classes,Ahmednagar,,"3rd floor, Krushna complex, Pipeline Rd, near Shriram chowk, Savedi, Ahilyanagar, Maharashtra 414003",4.9,445,,,,8857087569,https://www.google.com/maps/place/ANOMALOUS+COACHING+CLASSES%28IIT-JEE%2FNEET%2FMHT-CET%2FNDA%29/data=!4m7!3m6!1s0x3bdcba89b8bb8e55:0x3d9d71bee93c65cc!8m2!3d19.1253226!4d74.7485084!16s%2Fg%2F11ddxs8c1j!19sChIJVY67uIm63DsRzGU86b5xnT0?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,2026-06-19 09:48:58
Excellent Commerce Academy,8975469169,True,1st to 12th classes,Amravati,,"Kiran nagar 1, near saibaba Temple Narsamma College, Amravati, Maharashtra 444606",4.9,91,,,,8975469169,https://www.google.com/maps/place/EXCELLENT+COMMERCE+ACADEMY/data=!4m7!3m6!1s0x3bd6a5a5d51f81fb:0xb14075299e637fa2!8m2!3d20.9160631!4d77.7665848!16s%2Fg%2F11rr9020tg!19sChIJ-4Ef1aWl1jsRon9jnil1QLE?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,2026-06-19 09:48:58
Jha S Academy,7875100199,True,1st to 12th classes,Ahmednagar,,"Hari Mala, Ahilyanagar - Solapur Rd, opp. Hariom steel, Wakodi Phata, Darewadi, Maharashtra 414002",4.9,203,,,,7875100199,https://www.google.com/maps/place/Jha%E2%80%99s+Academy/data=!4m7!3m6!1s0x3bdcb1b9fc93d263:0x792669bb56376693!8m2!3d19.073753!4d74.7584725!16s%2Fg%2F11sr83sv40!19sChIJY9KT_Lmx3DsRk2Y3VrtpJnk?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,2026-06-19 09:48:58
Karale Math & B K Physics Academy A.ngar,9923222488,True,1st to 12th classes,Ahmednagar,,"3, Sona Nagar, Prashantnagar, Savedi, Ahilyanagar, Maharashtra 414003",4.9,55,,,,9923222488,"https://www.google.com/maps/place/Karale+Math+%26+B+K+PHYSICS+ACADEMY,A.NGAR/data=!4m7!3m6!1s0x3bdcba7d31aaa3f7:0x811f3d81922bd59b!8m2!3d19.1241897!4d74.7316935!16s%2Fg%2F11cs5b2w09!19sChIJ96OqMX263DsRm9UrkoE9H4E?authuser=0&hl=en&rclk=1",NO_WEBSITE,FULL_LEAD,YES,,2026-06-19 09:48:58
Nath Computer Institute Beed,9881534999,True,1st to 12th classes,Beed,,"Navghan College Rd, Bhaya Nagar, Datta Nagar, Beed, Maharashtra 431122",4.9,15,,,,9881534999,https://www.google.com/maps/place/Nath+computer+institute+beed/data=!4m7!3m6!1s0x3bc52b6d61ed4cb1:0x314d59b09a44cff3!8m2!3d18.9853866!4d75.7472211!16s%2Fg%2F11p062nx42!19sChIJsUztYW0rxTsR889EmrBZTTE?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,2026-06-19 09:48:58
Sk.s Class,9545094647,True,1st to 12th classes,Beed,,"Gaya nagar, Jalna - Beed Rd, Sanskar Colony, Beed, Maharashtra 431122",4.9,21,,,,9545094647,https://www.google.com/maps/place/Sk.S+Class/data=!4m7!3m6!1s0x3bc52ad3c04755bf:0x6ea3d1f7fcf82826!8m2!3d19.0069552!4d75.7532142!16s%2Fg%2F11bxc5wgkb!19sChIJv1VHwNMqxTsRJij4_PfRo24?authuser=0&hl=en&rclk=1,NO_WEBSITE,FULL_LEAD,YES,,2026-06-19 09:48:58
