Business Name,Phone,PHONE_FOUND,Category,District,Taluka,Address,Rating,Reviews,Website,Facebook,Instagram,WhatsApp,Maps URL,Lead Type,lead_status,listing_opened,listing_failure_reason,Export Date
Success Science Academy,8830002899,True,1st to 12th classes,Ahmednagar,,"Rajhans Towers, Chowk, Sona Nagar, Rasane Nagar, Savedi, Ahilyanagar, Maharashtra 414003",4.9,505,https://successscienceacademy.com,,,8830002899,https://www.google.com/maps/place/Success+Science+Academy+%7C+NEET+%7C+JEE+%7C+MHT-CET+Classes/data=!4m7!3m6!1s0x3bdcbbac31d4779d:0x7447213f587c2f28!8m2!3d19.123545!4d74.7304099!16s%2Fg%2F11q1lg0drf!19sChIJnXfUMay73DsRKC98WD8hR3Q?authuser=0&hl=en&rclk=1,,FULL_LEAD,YES,,2026-06-19 10:06:31
Shri Sandipani Academy Ahilyanagar,7501988988,True,1st to 12th classes,Ahmednagar,,"Pipeline Rd, Gawade Mala, Bhistabag, Ahilyanagar, Maharashtra 414003",4.8,588,http://shrisandipaniacademy.in,,,7501988988,https://www.google.com/maps/place/Shri+Sandipani+Academy+Ahilyanagar/data=!4m7!3m6!1s0x3bdcbbe52cd56be9:0xce4b17aac19a853f!8m2!3d19.1285841!4d74.7392497!16s%2Fg%2F11h3qbvx49!19sChIJ6WvVLOW73DsRP4WawaoXS84?authuser=0&hl=en&rclk=1,,FULL_LEAD,YES,,2026-06-19 10:06:31
Soneji Coaching Classes Akola,9860062631,True,1st to 12th classes,Akola,,"Tapadia Nagar, Akola, Maharashtra 444005",4.8,117,http://sonejicoachingclasses.com,,,9860062631,"https://www.google.com/maps/place/Soneji+Coaching+Classes,+Akola/data=!4m7!3m6!1s0x3bd72ff2506464eb:0x8869d93883cdeca7!8m2!3d20.7190354!4d77.0108728!16s%2Fg%2F11h6wrr3fm!19sChIJ62RkUPIv1zsRp-zNgzjZaYg?authuser=0&hl=en&rclk=1",,FULL_LEAD,YES,,2026-06-19 10:06:31
Shree Samartha Coaching Classes Akola,8929100751,True,1st to 12th classes,Akola,,"P258 FXJ, near Shri Bara Jyortirling Temple, Ranpise Nagar, Akola, Maharashtra 444001",4.4,230,https://samartheducation.org,,,8929100751,https://www.google.com/maps/place/Shree+Samartha+Coaching+Classes+Akola/data=!4m7!3m6!1s0x3bd72e1b99dcdb43:0x71b65be189bb066f!8m2!3d20.7087216!4d77.0173852!16s%2Fg%2F1pzsx9v82!19sChIJQ9vcmRsu1zsRbwa7ieFbtnE?authuser=0&hl=en&rclk=1,,FULL_LEAD,YES,,2026-06-19 10:06:31
Lalit Tutorials Akola,7969000900,True,1st to 12th classes,Akola,,"Toshniwal Layout, Dwarka Nagri, Akola, Maharashtra 444001",4.3,740,https://lalittutorials.com,,,7969000900,"https://www.google.com/maps/place/Lalit+Tutorials,+Akola/data=!4m7!3m6!1s0x3bd72e0389030dab:0x57988ed03587b7bf!8m2!3d20.7011282!4d77.0159434!16s%2Fg%2F1hm2mmvmq!19sChIJqw0DiQMu1zsRv7eHNdCOmFc?authuser=0&hl=en&rclk=1",,FULL_LEAD,YES,,2026-06-19 10:06:31
Daga Coaching Classes Sharda Nagar,9421955173,True,1st to 12th classes,Amravati,,"Sharda Nagar, Rajapeth, Sharda Vihar, Amravati, Maharashtra 444605",4.9,363,http://dagacoachingclasses.com,,,9421955173,"https://www.google.com/maps/place/DAGA+COACHING+CLASSES,+Sharda+Nagar/data=!4m7!3m6!1s0x3bd6a4b38ac282c5:0xab906e31735176e1!8m2!3d20.9166891!4d77.7481672!16s%2Fg%2F11g6rjghqq!19sChIJxYLCirOk1jsR4XZRczFukKs?authuser=0&hl=en&rclk=1",,FULL_LEAD,YES,,2026-06-19 10:06:31
Chintamani Coaching Classes Science Academy Cbse Classes,9422734930,True,1st to 12th classes,Amravati,,"Shankar Nagar Rd, Wadali Naka, Amravati, Maharashtra 444606",4.6,321,http://chintamanicoaching.com,,,9422734930,https://www.google.com/maps/place/Chintamani+Coaching+Classes+%2F+Science+Academy+%2F+CBSE+Classes/data=!4m7!3m6!1s0x3bd6a4c6d238f549:0x75a4a8039ee85def!8m2!3d20.9110157!4d77.7607551!16s%2Fg%2F1pyql4z7t!19sChIJSfU40sak1jsR713ongOopHU?authuser=0&hl=en&rclk=1,,FULL_LEAD,YES,,2026-06-19 10:06:31
Dnyan Foundation,8007472741,True,1st to 12th classes,Amravati,,"2nd Floor, Shree Heritage, PLot No 202, near Hp Petrol Pump, near Rathod Petrol Pump, Rukmini Nagar, Vivekanand Colony, Amravati, Maharashtra 444606",4.8,44,http://dnyanfoundation.org,,,8007472741,https://www.google.com/maps/place/Dnyan+Foundation+-+Best+CBSE+Coaching+Classes+In+Amravati+%7C+Best+Foundation+Classes+Amravati+%7C+MHT-CET+Classes+Amravati+%7C/data=!4m7!3m6!1s0x3bd6a4a3013560c1:0xa8fc977642a2a2ba!8m2!3d20.928199!4d77.7632281!16s%2Fg%2F11f__l66z0!19sChIJwWA1AaOk1jsRuqKiQnaX_Kg?authuser=0&hl=en&rclk=1,,FULL_LEAD,YES,,2026-06-19 10:06:31
Rahnuma Coaching & Spoken English With Rahnuma Academy,9096666220,True,1st to 12th classes,Beed,,"Zum Zum Colony, Bir, Beed, Maharashtra 431122",4.9,133,http://rahnumaacademy.in,,,9096666220,https://www.google.com/maps/place/Rahnuma+Coaching+%26+spoken+English+with+Rahnuma+academy/data=!4m7!3m6!1s0x3bc52ae3cdb57b2d:0xdfb5a53ad43928b0!8m2!3d18.9804008!4d75.757498!16s%2Fg%2F11dymbf0mm!19sChIJLXu1zeMqxTsRsCg51Dqltd8?authuser=0&hl=en&rclk=1,,FULL_LEAD,YES,,2026-06-19 10:06:31
Joshis Math Classes,9422332137,True,1st to 12th classes,Beed,,"XQW2 73G Umakiran Educational Sankul, Adarsh nagar, Kranti Nagar, Beed, Maharashtra 431122",,,https://jmcbeed.com,,,9422332137,https://www.google.com/maps/place/Joshis+Math+Classes/data=!4m7!3m6!1s0x3bc52ac3f63e95b9:0xb40a3299e936d07b!8m2!3d18.9956774!4d75.7501136!16s%2Fg%2F1262hptkp!19sChIJuZU-9sMqxTsRe9A26ZkyCrQ?authuser=0&hl=en&rclk=1,,FULL_LEAD,YES,,2026-06-19 10:06:31
