business_name,category,rating,reviews,phone,whatsapp,full_address,district,taluka,city,maps_link,website,has_website,lead_score,premium_lead,branch_count,digital_presence,rejection_reason
I Can Training Institute Ahilyanagar,NEET coaching,5.0,21,8668604127,8668604127,"Tapovan Rd, near Bade Avenue, near Indo Irish Hospital, Dhavan Vasti, Savedi, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/I+Can+Training+Institute+Ahilyanagar/data=!4m7!3m6!1s0x3bdcbb1be50cdd4d:0xbcf880ea706d11bd!8m2!3d19.13999!4d74.7419145!16s%2Fg%2F11ywj62zsp!19sChIJTd0M5Ru73DsRvRFtcOqA-Lw?authuser=0&hl=en&rclk=1,,no,100,yes,1,none_found,
Maths World Academy,IIT JEE coaching,5.0,26,7020844450,7020844450,"Maths World Academy, chowk, Pipeline Rd, opposite to Nakshatra mobile shoppee, Bhistabag, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/Maths+World+Academy/data=!4m7!3m6!1s0x3bdcbb55217d70a1:0x2d01fb4ce017bd04!8m2!3d19.1292841!4d74.7320018!16s%2Fg%2F11fkdyqj07!19sChIJoXB9IVW73DsRBL0X4Ez7AS0?authuser=0&hl=en&rclk=1,,no,100,yes,1,none_found,
Pendharkar Classes Rahata NEET IIT JEE MHT CET Foundation Science Commerce 11th & 12th 5th 10th Degree & Diploma Engineering,JEE Coaching,5.0,22,8805844172,8805844172,"Pendharkar Classes,Sutar Lane,Sambhaji Chowk, Tal, Rahata, Maharashtra 423107",Ahmednagar,Akole,,"https://www.google.com/maps/place/PENDHARKAR+CLASSES,+RAHATA(NEET%2FIIT%2FJEE%2FMHT-CET%2FFOUNDATION%2FSCIENCE%2FCOMMERCE%2F11TH+%26+12TH%2F5TH-10TH%2FDEGREE+%26+DIPLOMA+ENGINEERING/@19.7159778,74.4813819,17z/data=!3m1!4b1!4m6!3m5!1s0x3bdc59e861cf5537:0x7f2ace36317a32fe!8m2!3d19.7159778!4d74.4813819!16s%2Fg%2F11p0fwnm1y?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",,no,100,yes,1,none_found,
Trill Music Academy Savedi Branch,Private tuition,5.0,40,9890998283,9890998283,"Miskin Mala, 3rd Floor, City Center, Road, Tarakpur Rd, Savedi, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/Trill+Music+Academy+Savedi+Branch/data=!4m7!3m6!1s0x3bdcb17a25d33825:0xa7684659c866fb7e!8m2!3d19.1122751!4d74.7376343!16s%2Fg%2F11lgqkbq_7!19sChIJJTjTJXqx3DsRfvtmyFlGaKc?authuser=0&hl=en&rclk=1,,no,100,yes,2,none_found,
Ramdin Physics Academy,IIT JEE coaching,4.9,57,8308667003,8308667003,"Sona Nagar, Rasane Nagar, Savedi, Ahilyanagar, Maharashtra 414003",Ahmednagar,,,https://www.google.com/maps/place/Ramdin+Physics+Academy/data=!4m7!3m6!1s0x3bdcba7d1f39f007:0x97d4ca2a8423ba02!8m2!3d19.1235483!4d74.7304162!16s%2Fg%2F11fy953dq8!19sChIJB_A5H3263DsRArojhCrK1Jc?authuser=0&hl=en&rclk=1,,no,100,yes,1,none_found,
Vision Coaching Institute,JEE Coaching,4.8,141,9150412412,9150412412,"Gunjal Plaza, New, Navin Nagar Rd, Vidhyanagar, Sangamner, Maharashtra 422605",Ahmednagar,Akole,,"https://www.google.com/maps/place/Vision+Coaching+Institute/@19.5728461,74.2123158,17z/data=!3m1!4b1!4m6!3m5!1s0x3bdd0189e9678f75:0xf4603e838cdf44ab!8m2!3d19.5728461!4d74.2123158!16s%2Fg%2F11p0z6db0f?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",,no,100,yes,1,none_found,
Urja IIT Academy,IIT JEE Classes,4.7,62,9970124108,9970124108,"Dhamangaon Road, near Abhinav School, Akole, Maharashtra 422601",Ahmednagar,Akole,,"https://www.google.com/maps/place/Urja+IIT+Academy/@19.5311464,73.999084,17z/data=!3m1!4b1!4m6!3m5!1s0x3bdd096e775f650b:0x6e570e961cfff8be!8m2!3d19.5311464!4d73.999084!16s%2Fg%2F11s8l73pxk?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",,no,100,yes,1,none_found,
Achievers Educare,IIT JEE coaching,4.6,28,8600400200,8600400200,"Jogging Track Road, Savedi, Ahilyanagar, Maharashtra 414001",Ahmednagar,,,https://www.google.com/maps/place/Achievers+Educare/data=!4m7!3m6!1s0x3bdcba80c62cb2cf:0x2e33db4ef8fe7b96!8m2!3d19.1193159!4d74.735812!16s%2Fg%2F11gb3qxsg4!19sChIJz7IsxoC63DsRlnv--E7bMy4?authuser=0&hl=en&rclk=1,,no,100,yes,1,none_found,
Gawande Maths Classes,NEET coaching,4.5,31,9955352323,9955352323,"Lendkar Mala, Balikashram Rd, opposite New Arts College Gate, Bagade Mala, Ahilyanagar, Maharashtra 414001",Ahmednagar,,,https://www.google.com/maps/place/Gawande+Maths+Classes/data=!4m7!3m6!1s0x3bdcb0625bd6f1e1:0xac93ca03b8317d34!8m2!3d19.1044228!4d74.7303813!16s%2Fg%2F11g6ypbh0k!19sChIJ4fHWW2Kw3DsRNH0xuAPKk6w?authuser=0&hl=en&rclk=1,,no,100,yes,1,none_found,
Ameen Classes,IIT JEE coaching,5.0,28,7021610412,7021610412,"2nd Floor, Momin Mension, above Zahoor Hospital, opp. Society Petrol Pump, Bhawani Peth, Akola, Maharashtra 444006",Akola,,,https://www.google.com/maps/place/Ameen+Classes/data=!4m7!3m6!1s0x3bd731a431b6db0f:0xf0c5d29617aa569b!8m2!3d20.7164101!4d76.9975511!16s%2Fg%2F11rqx2j3sf!19sChIJD9u2MaQx1zsRm1aqF5bSxfA?authuser=0&hl=en&rclk=1,,no,100,yes,1,none_found,
