business_name,category,phone,whatsapp_phone,rating,reviews,address,city,district,state,website,maps_link
HOTEL SAI PRASADAMM,Restaurant,+919370701523,+919370701523,4.8,0,"MH SH 14, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/HOTEL+SAI+PRASADAMM/data=!4m7!3m6!1s0x3bd8df1b6f02f58d:0x328201c7879782fb!8m2!3d21.2242701!4d75.2805895!16s%2Fg%2F11k932xx3y!19sChIJjfUCbxvf2DsR-4KXh8cBgjI?authuser=0
Bapu Tea House,Tea store,+919011512728,+919011512728,4.3,0,"near Gramin police steshan, Gautam Nagar, Vidya Vihar Colony, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/Bapu+Tea+House/data=!4m7!3m6!1s0x3bd8df0712b52331:0xf91acdcfe11b62a1!8m2!3d21.2442455!4d75.2930679!16s%2Fg%2F11gfgl2_0s!19sChIJMSO1Egff2DsRoWIb4c_NGvk?authuser=0
BEYOND CAFE (CHOPDA) NEAR MG COLLEGE,Coffee shop,,,5.0,0,"67PV+87H, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/BEYOND+CAFE+%28CHOPDA%29+NEAR+MG+COLLEGE/data=!4m7!3m6!1s0x3bd8df005e511819:0x62e3750830ce71ff!8m2!3d21.2363703!4d75.2925191!16s%2Fg%2F11w36vv3t6!19sChIJGRhRXgDf2DsR_3HOMAh142I?authuser=0
Zorko- Brand of Food Lover,Restaurant,+918668857174,+918668857174,4.1,0,"Cafe Zorko, 12A, opp. Pankaj Highschool, Pankaj Nagar, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/Zorko-+Brand+of+Food+Lover/data=!4m7!3m6!1s0x3bd8df29a28920cf:0x880740a2aa74f9e7!8m2!3d21.2388001!4d75.3025272!16s%2Fg%2F11yhd0ckf9!19sChIJzyCJoinf2DsR5_l0qqJAB4g?authuser=0
Roll House,Restaurant,+917020847073,+917020847073,4.7,0,"Shop No 15, Savitri Bai Phule Complex, Gautam Nagar, Vidya Vihar Colony, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/Roll+House/data=!4m7!3m6!1s0x3bd8dfc9ae4c6b4f:0x17b33babe65a6f1a!8m2!3d21.2442825!4d75.292737!16s%2Fg%2F11pts8nsrz!19sChIJT2tMrsnf2DsRGm9a5qs7sxc?authuser=0
Cafe love bite,Cafe,+917757838572,+917757838572,5.0,0,"lilavati sankulan, Dhanwadi, rod, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,https://instagram.com/cafe_love_bite?igshid=NTc4MTIwNjQ2YQ==,https://www.google.com/maps/place/Cafe+love+bite/data=!4m7!3m6!1s0x3bd8df9304ca6caf:0x38b9422fa50a26c7!8m2!3d21.2388724!4d75.2990546!16s%2Fg%2F11kk7bq94q!19sChIJr2zKBJPf2DsRxyYKpS9CuTg?authuser=0
Royal Cafe,Cafe,+918308390478,+918308390478,5.0,0,"Shop No.1, Narayan Wadi, Vidya Vihar Colony, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/Royal+Cafe/data=!4m7!3m6!1s0x3bd8dfae709c23f5:0x97ba2b3a58a0a3b2!8m2!3d21.2380676!4d75.2947587!16s%2Fg%2F11k9f1fl9v!19sChIJ9SOccK7f2DsRsqOgWDorupc?authuser=0
ALI CAFE,Cafe,+919834943636,+919834943636,4.0,0,"ALI CAFE, K.G.N Colony, Gajanan Co Operative Housing Society, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/ALI+CAFE/data=!4m7!3m6!1s0x3bd8dfe6714201af:0xf27a8c46d845b910!8m2!3d21.2478572!4d75.3066975!16s%2Fg%2F11sqkqzt49!19sChIJrwFCcebf2DsRELlF2EaMevI?authuser=0
Graduated Chaiwala,Coffee shop,+919309530013,+919309530013,5.0,0,"Shop No .1, Narayan Wadi, Vidya Vihar Colony, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/Graduated+Chaiwala/data=!4m7!3m6!1s0x3bd8dff76cc5e5bf:0x5f5511a23eafa81b!8m2!3d21.2384615!4d75.2939019!16s%2Fg%2F11scv5yzny!19sChIJv-XFbPff2DsRG6ivPqIRVV8?authuser=0
Shivshakti restaurant,Fast food restaurant,+919950127007,+919950127007,4.2,0,"Golmandir, Main Rd, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/Shivshakti+restaurant/data=!4m7!3m6!1s0x3bd8dff8b510627f:0xfc4ff9a4702c7098!8m2!3d21.2487388!4d75.2979281!16s%2Fg%2F11rwwkl1cw!19sChIJf2IQtfjf2DsRmHAscKT5T_w?authuser=0
PRINCE CAFE CORNER,Cafe,+916261121328,+916261121328,5.0,0,"Shop No 01, Azad Chowk, near Maharashtra Hard Wear, Panchshil Nagar, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/PRINCE+CAFE+CORNER/data=!4m7!3m6!1s0x3bd8df1f2377154b:0x9e20bc72834cd108!8m2!3d21.2460329!4d75.2971775!16s%2Fg%2F11vz277j4c!19sChIJSxV3Ix_f2DsRCNFMg3K8IJ4?authuser=0
Monginis Cake Shop,Cake shop,+919420085771,+919420085771,4.4,0,"S No 25, Savitribai Phule Shopping Cplx, near Gramin Police Station, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,https://www.monginis.net/,https://www.google.com/maps/place/Monginis+Cake+Shop/data=!4m7!3m6!1s0x3bd8df0714707a6b:0x963bb608886dbc20!8m2!3d21.2442331!4d75.2926753!16s%2Fg%2F11h9rq24cq!19sChIJa3pwFAff2DsRILxtiAi2O5Y?authuser=0
"Chhotu kolhapuri Restaurant, chopda",Fast food restaurant,,,4.4,0,"Chatrapati Shivaji Chowk, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,http://chhotukolhapuri.com/,"https://www.google.com/maps/place/Chhotu+kolhapuri+Restaurant,+chopda/data=!4m7!3m6!1s0x3bd8df2dd276fae7:0x8c8d012be75e931b!8m2!3d21.2438937!4d75.294834!16s%2Fg%2F11j7vd7dqw!19sChIJ5_p20i3f2DsRG5Ne5ysBjYw?authuser=0"
Famous Poha Center,Breakfast restaurant,+918087802413,+918087802413,4.3,0,"Main Rd, in front of Bharat General Stores, near Gol Mandir, Panchshil Nagar, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/Famous+Poha+Center/data=!4m7!3m6!1s0x3bd8dfcf021ae7ef:0xe9fb230c0a9e6634!8m2!3d21.2483869!4d75.2976563!16s%2Fg%2F11gsmtpf98!19sChIJ7-caAs_f2DsRNGaeCgwj--k?authuser=0
Dream date coffee & restaurant,Fast food restaurant,,,,0,"MG, College Rd, Narayan Wadi, Vidya Vihar Colony, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/Dream+date+coffee+%26+restaurant/data=!4m7!3m6!1s0x3bd8df60b6d9a28b:0x6fda331ab3c89983!8m2!3d21.2382832!4d75.2943165!16s%2Fg%2F11yzb5slyv!19sChIJi6LZtmDf2DsRg5nIsxoz2m8?authuser=0
Pankaj Chaulafalli,Food manufacturer,+917588817778,+917588817778,4.1,0,"Pankaj Food Products and Namkeen, Thalner Darwaja, Nagalwadi Rd, Panchshil Nagar, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,https://pankaj-chaulafalli.grexa.site/,https://www.google.com/maps/place/Pankaj+Chaulafalli/data=!4m7!3m6!1s0x3bd8dfa453a8f5b9:0xfbd48a0d694ff8c1!8m2!3d21.2494554!4d75.2937072!16s%2Fg%2F1tl0vt2z!19sChIJufWoU6Tf2DsRwfhPaQ2K1Ps?authuser=0
Pailwan tea,Coffee shop,+917387266449,+917387266449,4.7,0,"Pankaj stop, above Pankaj stop, Sanjivani Nagar, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/Pailwan+tea/data=!4m7!3m6!1s0x3bd8df7df07e394d:0x251675502d9ce103!8m2!3d21.2403168!4d75.3017005!16s%2Fg%2F11vs2vmbfh!19sChIJTTl-8H3f2DsRA-GcLVB1FiU?authuser=0
