business_name,category,phone,whatsapp_phone,rating,reviews,address,city,district,state,website,maps_link
"(SICD)SAMARTH INSTITUTE OF CAREER DEVELOPMENT ,YEOLA",Educational institution,+919923346984,+919923346984,4.0,0,"BADAPUR ROAD, DIST, opposite to TALUKA, Yeola, Maharashtra 423401",Yeola,Nashik,Maharashtra,,"https://www.google.com/maps/place/%28SICD%29SAMARTH+INSTITUTE+OF+CAREER+DEVELOPMENT+,YEOLA/data=!4m7!3m6!1s0x3bdc38b0afb9400f:0x98eaec3487131ce6!8m2!3d20.0355509!4d74.488349!16s%2Fg%2F11f40l00f6!19sChIJD0C5r7A43DsR5hwThzTs6pg?authuser=0"
zero to one infotech - best computer classes in yeola,Educational institution,+918857047977,+918857047977,4.7,0,"balaji compelx, front of bus stop, near by hotel baliraja, Yeola, Maharashtra 423401",Yeola,Nashik,Maharashtra,http://www.zerotooneinfotechyeola.com/,https://www.google.com/maps/place/zero+to+one+infotech+-+best+computer+classes+in+yeola/data=!4m7!3m6!1s0x3bdc39b8c327ae69:0x55e85629b672b03f!8m2!3d20.0449364!4d74.4828612!16s%2Fg%2F11vt7stt7c!19sChIJaa4nw7g53DsRP7BytilW6FU?authuser=0
SK ACADEMY YEOLA,Coaching Center,+919860248854,+919860248854,5.0,0,"Patel colony, Plot 20, Vinchur road, Angan, Angangaon, Maharashtra 423401",Yeola,Nashik,Maharashtra,,https://www.google.com/maps/place/SK+ACADEMY+YEOLA/data=!4m7!3m6!1s0x3bdc397b4f728bc5:0x601a7974a8e8cc8b!8m2!3d20.0390919!4d74.4767855!16s%2Fg%2F11xrzdl61j!19sChIJxYtyT3s53DsRi8zoqHR5GmA?authuser=0
The Moraya Academy,Coaching Center,+918208520095,+918208520095,4.9,0,"Plot No.4, Vivekanand Nagar, 12/2/1, to, opposite to Mahatma Phule Halle, Angan, Angangaon, Maharashtra 423401",Yeola,Nashik,Maharashtra,https://www.instagram.com/themorayaacademy21/,https://www.google.com/maps/place/The+Moraya+Academy/data=!4m7!3m6!1s0x3bdc39b6926b748b:0xc547286ab707869f!8m2!3d20.0441612!4d74.4705211!16s%2Fg%2F11rkldv4rt!19sChIJi3RrkrY53DsRn4YHt2ooR8U?authuser=0
Smart India IT Training Institute & E-learning Hub Yeola,Educational institution,+919226720721,+919226720721,4.9,0,"1st Floor, Eknath khmchand Complex, opp. Bus stand, Yeola, Maharashtra 423401",Yeola,Nashik,Maharashtra,,https://www.google.com/maps/place/Smart+India+IT+Training+Institute+%26+E-learning+Hub+Yeola/data=!4m7!3m6!1s0x3bdc39bf7ff33179:0x84133e2a7a5e2e4c!8m2!3d20.0443938!4d74.4833823!16s%2Fg%2F11x8fdrm6q!19sChIJeTHzf7853DsRTC5eeio-E4Q?authuser=0
uma classes,Education center,,,4.7,0,"1, Kala Maruti Rd, Patil Wada, Yeola, Maharashtra 423401",Yeola,Nashik,Maharashtra,,https://www.google.com/maps/place/uma+classes/data=!4m7!3m6!1s0x3bdc39e1d009c40b:0xaa7464aa0b6119e9!8m2!3d20.0418737!4d74.4906534!16s%2Fg%2F11k3kym4sb!19sChIJC8QJ0OE53DsR6RlhC6pkdKo?authuser=0
Venture Coaching Classes,Education center,,,5.0,0,"2FPP+P7M, Unnamed Road, Hudco Colony, Yeola, Maharashtra 423401",Yeola,Nashik,Maharashtra,,https://www.google.com/maps/place/Venture+Coaching+Classes/data=!4m7!3m6!1s0x3bdc392d827c6653:0xc95fc63a408dcbde!8m2!3d20.0368423!4d74.485676!16s%2Fg%2F11g1gp4gnj!19sChIJU2Z8gi053DsR3suNQDrGX8k?authuser=0
THE STUDY CIRCLE FOUNDATION ACADEMY YEOLA MPSC POLICE ARMY ACADEMY YEOLA,Coaching Center,,,5.0,0,"PRASHANT NAGAR, UTTAMRAO SHINDE COMPLEX, Paregaon Rd, Yeola, Maharashtra 423401",Yeola,Nashik,Maharashtra,,https://www.google.com/maps/place/THE+STUDY+CIRCLE+FOUNDATION+ACADEMY+YEOLA+MPSC+POLICE+ARMY+ACADEMY+YEOLA/data=!4m7!3m6!1s0x3bdc396eb0468331:0x946fa82c72c00080!8m2!3d20.0399155!4d74.4822054!16s%2Fg%2F11j0kmxb7b!19sChIJMYNGsG453DsRgADAciyob5Q?authuser=0
SHREE TRADING ACADEMY,Education center,,,4.1,0,"Paregaon Rd, Bajirao Nagar, Raje Sambhji Nagar, Yeola, Maharashtra 423401",Yeola,Nashik,Maharashtra,http://shreetrading.live/,https://www.google.com/maps/place/SHREE+TRADING+ACADEMY/data=!4m7!3m6!1s0x3bdc390031597a1b:0x7a4de60af45b84e7!8m2!3d20.039907!4d74.4821683!16s%2Fg%2F11lf205gxv!19sChIJG3pZMQA53DsR54Rb9ArmTXo?authuser=0
Bankar Patil Educational Campus,Education center,,,4.2,0,"Yeola- Nashik Highway, Angangaon, Yeola, Maharashtra 423401",Yeola,Nashik,Maharashtra,,https://www.google.com/maps/place/Bankar+Patil+Educational+Campus/data=!4m7!3m6!1s0x3bdc39faee8bdfd3:0x2d9873ea6af159e8!8m2!3d20.0458782!4d74.4452936!16s%2Fg%2F11l1179f2d!19sChIJ09-L7vo53DsR6FnxaupzmC0?authuser=0
